 89 ; Алтын ; 1704 ; БК ; Ag ; VF-XF ; 36 ; 186500 ; 6182 
 90 ; Алтын ; 1718 ;  ; Ag ; XF ; 34 ; Продано в зале ; 24000 
 91 ; 1,5 рубля-10 злотых (Ильин-4р) ; 1837 ; НГ Рус.-Пол. ; Ag ; VF-XF ; 15 ; 654321 ; 13914 
 92 ; 5 злотых ; 1834 ; IP Польша ; Ag ; XF- ; 24 ; verunk1 ; 15000 
 93 ; 1 злотый ; 1832 ; KG Польша ; Ag ; XF- ; 40 ; Lisik ; 15300 
 94 ; 6 грошей ; 1761 ; Для Пруссии ; Ag ; VF+ ; 61 ; Продано в зале ; 12500 
 95 ; 2 марки ; 1865 ; S Финляндия ; Ag ; XF+ ; 6 ; Продано в зале ; 2200 
 96 ; 2 марки ; 1907 ; L Финляндия ; Ag ; VF-XF ; 15 ; нумизмат ; 2200 
 97 ; 2 марки ; 1908 ; L Финляндия ; Ag ; XF ; 2 ; Продано в зале ; 1500 
 98 ; 1 марка ; 1866 ; S Финляндия ; Ag ; XF/AU ; 6 ; Продано в зале ; 5500 
 99 ; 1 марка ; 1890 ; L Финляндия ; Ag ; VF-XF ; 10 ; Продано в зале ; 1100 
 100 ; 1 марка ; 1907 ; L Финляндия ; Ag ; VF-XF ; 4 ; Продано в зале ; 950 
 1 ; 5 рублей ; 1841 ; СПБ АЧ ; Au ; XF ; 31 ; lelic ; 30000 
 2 ; 3 рубля-20 злотых. М-3,89гр ; 1836 ; СПБ ПД Рус.-Пол. ; Au ; AU/XF ; 35 ; Продано в зале ; 82000 
 3 ; Рубль. Ремонт - 12 часов ; 1719 ; ILL OK ; Ag ; VF ; 27 ; Продано в зале ; 18500 
 4 ; Рубль ; 1720 ;  ; Ag ; VF+ ; 10 ; Продано в зале ; 60000 
 5 ; Рубль ; 1720 ;  ; Ag ; VF+ ; 34 ; GlueStick ; 58140 
 6 ; Рубль ; 1723 ;  ; Ag ; VF+ ; 17 ; Продано в зале ; 36000 
 7 ; Рубль (Редкий. Петров-25р) ; 1725 ; СПБ ; Ag ; F-VF ; 23 ; Продано в зале ; 58000 
 8 ; Рубль (Ильин - 5 р.) ; 1731 ;  ; Ag ; VF ; 30 ; supreme ; 20000 
 9 ; Рубль ; 1731 ;  ; Ag ; VF+ ; 19 ; Продано в зале ; 26000 
 10 ; Рубль ; 1731 ;  ; Ag ; VF+ ; 29 ; Горюн ; 18000 
 11 ; Рубль ; 1734 ;  ; Ag ; VF+ ; 10 ; Продано в зале ; 80000 
 12 ; Рубль ; 1740 ;  ; Ag ; XF ; 31 ; нумизмат ; 34000 
 13 ; Рубль ; 1743 ; СПБ ; Ag ; VF+ ; 13 ; Продано в зале ; 23000 
 14 ; Рубль (Ильин-5р) ; 1766 ; СПБ АШ ; Ag ; VF+ ; 17 ; Продано в зале ; 34000 
 15 ; Рубль ; 1768 ; ММД EI ; Ag ; VF-XF ; 19 ; Продано в зале ; 13500 
 16 ; Рубль ; 1773 ; СПБ ЯЧ TИ ; Ag ; XF+ ; 18 ; Продано в зале ; 20000 
