 17 ; Рубль ; 1743 ; СПБ ; Ag ; XF- ; 26 ; coinlover ; 32640 
 18 ; Рубль ; 1744 ; ММД ; Ag ; VF+ ; 23 ; Ohotnik ; 16586 
 19 ; Гривенник ; 1744 ;  ; Ag ; VF+ ; 19 ; TDN ; 1530 
 20 ; Гривенник ; 1746 ;  ; Ag ; VF+ ; 24 ; TDN ; 1530 
 21 ; Гривенник ; 1747 ;  ; Ag ; VF+ ; 41 ; ААФ ; 2083 
 22 ; Гривенник ; 1748 ;  ; Ag ; VF+ ; 28 ; ААФ ; 1654 
 23 ; Гривенник ; 1751 ;  ; Ag ; VF-XF ; 25 ; Участник № 1461 ; 3200 
 24 ; Рубль (Петров-10р, Ильин-8р) ; 1752 ; ММД I ; Ag ; VF- ; 53 ; Участник № 392 ; 29500 
 25 ; Гривенник ; 1754 ; IП ; Ag ; VF-XF ; 44 ; ААФ ; 3501 
 26 ; Копейка (Петров-2р, Ильин-1р) ; 1756 ;  ; Cu ; VF- ; 29 ; Участник № 51 ; 5500 
 27 ; Гривенник ; 1757 ; МБ ; Ag ; VF-XF ; 27 ; Участник № 392 ; 5000 
 28 ; 5 копеек ; 1757 ; СПБ ; Ag ; VF-XF ; 19 ; coinlover ; 3368 
 29 ; 4 копейки ; 1757 ; Ливонез ; Ag ; VF+ ; 31 ; TDN ; 3672 
 30 ; 2 гроша ; 1759 ; Для Пруссии ; Ag ; VF+ ; 23 ; Участник № 392 ; 23000 
 31 ; 3 гроша ; 1761 ; Для Пруссии ; Ag ; VF ; 52 ; TDN ; 5500 
 32 ; 4 копейки ; 1762 ;  ; Cu ; F-VF ; 11 ; art67 ; 8500 
 33 ; 5 копеек ; 1763 ; ЕМ ; Cu ; VF ; 12 ; Sky2 ; 283 
 34 ; 20 копеек (Петров-1р) ; 1764 ; ММД ; Ag ; VF+ ; 42 ; elpohit ; 7100 
 35 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; VF+ ; 19 ; Ч.С. ; 10720 
 36 ; 2 копейки ; 1765 ; СПМ ; Cu ; VF ; 35 ; Участник № 66 ; 1200 
 37 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; VF-XF ; 29 ; leo 2 ; 14150 
 38 ; Рубль ; 1768 ; СПБ СА TI ; Ag ; VF+ ; 41 ; Sky2 ; 6901 
 39 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF- ; 21 ; Участник № 636 ; 12000 
 40 ; Полуполтинник ; 1769 ; ММД ЕI ; Ag ; VF+ ; 51 ; elpohit ; 5304 
 41 ; Полуполтинник ; 1769 ; ММД ЕI ; Ag ; VF+ ; 27 ; TDN ; 6120 
 42 ; 20 копеек ; 1769 ; СПБ TI ; Ag ; VF+ ; 34 ; elpohit ; 7140 
 43 ; 5 копеек ; 1769 ; ЕМ ; Cu ; VF+ ; 6 ; Участник № 114 ; 500 
 44 ; 5 копеек ; 1772 ; ЕМ ; Cu ; VF+ ; 33 ; 439 ; 550 
 45 ; Пара-3 деньги ; 1772 ; Валахия ; Cu ; VF- ; 12 ; SSK ; 5000 
 46 ; Рубль ; 1773 ; СПБ ЯЧ TИ ; Ag ; XF+ ; 26 ; serg2010 ; 13827 
 47 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; AU ; 30 ; Участник № 7 ; 16000 
 48 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF ; 28 ; Участник № 1556 ; 17500 
 49 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 18 ; Участник № 148 ; 6000 
 50 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; XF ; 11 ; Ч.С. ; 12000 
