 6470 ; Каталог. Коллекционные монеты и медали. Аукцион №40, 26 ноября 2019. Аукционный дом Егоровых ;  ;  ;  ;  ; 25 ; Affliction ; 101 
 6471 ; С.В. Потемкин. Благородный 79-й. Москва "Недра" 1988 ;  ;  ;  ;  ; 5 ; Meshok ; 25 
 6472 ; Лот каталогов почтовых марок: 3 шт. ;  ;  ;  ;  ; 3 ; жених ; 10 
 6473 ; Фалеристика всесоюзного студенческого отряда. Санкт-Петербург "Александр ПРИНТ" 2009 ;  ;  ;  ;  ; 38 ; Спортсмен13 ; 341 
 6474 ; Лот из 4 журналов Деньга ;  ;  ;  ;  ; 22 ; Антип Водогон ; 276 
 6475 ; Каталог частной коллекции. Античные монеты и артефакты. Санкт-Петербург ; 2019 ;  ;  ;  ; 16 ; Бигль ; 306 
 6476 ; Советский коллекционер. 26. Москва 1988. ;  ;  ;  ;  ; 18 ; Антип Водогон ; 100 
 6477 ; Аукционный каталог Frankfurter Munzhandlung Nachf. GmbH. Аукцион 153. 8 ноября 2019г ;  ;  ;  ;  ; 24 ; Чуча ; 101 
 6478 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 8 ; Коста ; 192 
 6479 ; Аукционный каталог Christoph Gartner. Аукцион 44. 6 июня 2019г ;  ;  ;  ;  ; 37 ; Affliction ; 150 
 6480 ; Аукционный каталог Christoph Gartner. Аукцион 45. 9 октября 2019г ;  ;  ;  ;  ; 25 ; Affliction ; 150 
 6481 ; Аукционный каталог St James s Auction. Аукцион 23. 4 февраля 2013г ;  ;  ;  ;  ; 26 ; Affliction ; 129 
 6482 ; Аукционный каталог VENTE PUBLIQUE. Аукцион 142. 14 сентября 2019г ;  ;  ;  ;  ; 33 ; Affliction ; 153 
 6483 ; Аукционный каталог Fritz Rudolf Kuenker GmbH. Аукцион 268. 30 сентября 2015г ;  ;  ;  ;  ; 21 ; Affliction ; 122 
 6484 ; Аукционный каталог Fritz Rudolf Kuenker GmbH. Аукцион 1. The Preussag Collection. Часть 1. 30 октября 2015г ;  ;  ;  ;  ; 24 ; Affliction ; 123 
 6485 ; А.И. Малышев, В.И. Таранков, И.Н. Смиренный. Бумажные денежные знаки России и СССР. Москва, "Финансы и Статистика", 1991 ;  ;  ;  ;  ; 20 ; lavist ; 567 
 6486 ; Аукционный каталог DNW. Каталог 135. 21 и 24 марта 2016г ;  ;  ;  ;  ; 20 ; Affliction ; 123 
 6487 ; Аукционный каталог Warszawskie Centrum Numizmatyczne. Аукцион 62. 7 ноября 2015г ;  ;  ;  ;  ; 23 ; Affliction ; 118 
 6488 ; Аукционный каталог Kolner Munzkabinett. Аукцион 112. 19 октября 2019г ;  ;  ;  ;  ; 33 ; Affliction ; 153 
 6489 ; А.С. Мельникова. Русские монеты от Ивана Грозного до Петра Первого. Москва, "Финансы и Статистика", 1989 ;  ;  ;  ;  ; 26 ; aziya11 ; 315 
 6490 ; Журнал Древность и старина №1. 2002 ;  ;  ;  ;  ; 2 ; Markgraf ; 3 
 6491 ; Оптовый лот, 72 книги (коробка). Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов ;  ;  ;  ;  ; 55 ; всемоё ; 1801 
 6492 ; Оптовый лот, 52 книги (коробка). Псевдонимы российского рубля ;  ;  ;  ;  ; 43 ; zabor ; 765 
 6493 ; Оптовый лот. 7 книг (коробка).  В.Е. Семенов. Монетный передел 1700-1917 гг. ;  ;  ;  ;  ; 15 ; торгаш ; 1530 
 6494 ; Оптовый лот. 8 книг (коробка). Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 24 ; горный ; 1561 
 6495 ; Оптовый лот, 20 книг (коробка). Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 40 ; zabor ; 3641 
 6496 ; Оптовый лот. 12 книг (3 коробки).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 19 ; торгаш ; 7042 
 6497 ; Оптовый лот. 36 книг (9 коробок).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 11 ; всемоё ; 20637 
 6601 ; Амулет Рука Фатимы (Хамса) ;  ;  ; Au585 ;  ; 32 ; aleks1943 ; 1615 
 6602 ; Кольцо золотое с бриллиантами. ;  ;  ; Au585 ;  ; 71 ; манома ; 18054 
 6603 ; Ситечко серебро, чернение. ;  ;  ; Ag875 ;  ; 41 ; манома ; 1530 
 6604 ; Пудреница серебро. ;  ;  ; Ag875 ;  ; 68 ; Meshok ; 3642 
 6605 ; Сливочник серебро. Европа ;  ;  ; Ag830 ;  ; 74 ; Elena76 ; 4104 
 6606 ; Сахарница серебро. Европа ;  ;  ; Ag830 ;  ; 65 ; Elena76 ; 5110 
 6607 ; Ситечко для чая Дракон, серебро. Вьетнам ;  ;  ; Ag900 ;  ; 47 ; Elena76 ; 3188 
 6608 ; Медальон серебро. ;  ;  ; Ag84 ;  ; 21 ; alapabula ; 1581 
 6609 ; Щипцы для сахара, серебро 84. ;  ;  ; Ag84 ;  ; 30 ; крлкв ; 1256 
 6610 ; Ложка чайная, серебро. ;  ;  ; Ag84 ;  ; 117 ; Dahan ; 573 
 6611 ; Ложка чайная, серебро. ;  ;  ; Ag84 ;  ; 74 ; Стёпа ; 838 
 6612 ; Чайные ложки, серебро, 3 шт. Европа. ;  ;  ; Ag800 ;  ; 73 ; Alexdav ; 1406 
 6613 ; Щипцы для сахара, серебро. Европа. ;  ;  ; Ag813 ;  ; 36 ; ronen ; 1061 
 6614 ; Ложка чайная, серебро. Европа. ;  ;  ; Ag813 ;  ; 58 ; Alexdav ; 669 
 6615 ; Вилочка для сыра, серебро, эмаль. ;  ;  ; Ag ;  ; 31 ; Приор ; 500 
 6616 ; Чайная ложка Колос серебро ;  ;  ; Ag875 ;  ; 22 ; Meshok ; 930 
 6414 ; Капсулы для монет – 23 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 29 ; prostor.71 ; 102 
 6415 ; Капсулы для монет – 33 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 28 ; ДУНКАН МАКЛАУД ; 177 
 6416 ; Капсулы Caps 34 для монет – 34 мм, упаковка 10 шт. Leuchtturm, #310430 ;  ;  ;  ;  ; 28 ; mustang ; 200 
 6417 ; Капсулы CAPS 35 для монет – 35 мм, упаковка 10 шт. Leuchtturm, #318983 ;  ;  ;  ;  ; 18 ; VVE ; 159 
 6418 ; Капсулы для монет – 36 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 14 ; ДУНКАН МАКЛАУД ; 159 
 6419 ; Капсулы CAPS 37 для монет – 37 мм, упаковка 10 шт. Leuchtturm, #315520 ;  ;  ;  ;  ; 15 ; лампедуза ; 152 
 6420 ; Капсулы для монет – 38 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 11 ; птичка16 ; 140 
 6421 ; Капсулы для монет – 39 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 31 ; Чуча ; 152 
 6422 ; Капсулы для монет – 39 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 18 ; Чуча ; 151 
 6423 ; Капсулы для монет – 40 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 17 ; arusakov02 ; 159 
 6424 ; Капсулы для монет – 41 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 21 ; ermii ; 159 
 6425 ; Капсулы для монет – 41 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 13 ; лампедуза ; 135 
 6426 ; Лист КЛБ-3 в альбом Optima, на 3 банкноты. Упаковка (10 шт.). Сомс, #2025003 ;  ;  ;  ;  ; 26 ; lenohota ; 254 
 6427 ; Лист КЛБ-3 в альбом Optima, на 3 банкноты. Упаковка (10 шт.). Сомс, #2025003 ;  ;  ;  ;  ; 19 ; ashep ; 207 
 6428 ; Лист КЛБ-3 в альбом Optima, на 3 банкноты. Упаковка (10 шт.). Сомс, #2025003 ;  ;  ;  ;  ; 11 ; voron-74-47 ; 208 
 6429 ; Лист КЛБ-1 в альбом Optima, на 1 банкноты. Упаковка (10 шт.). Сомс, #2025001 ;  ;  ;  ;  ; 10 ; Yustas69 ; 146 
 6430 ; Лист КЛБ-1 в альбом Optima, на 1 банкноты. Упаковка (10 шт.). Сомс, #2025001 ;  ;  ;  ;  ; 12 ; russich ; 161 
 6431 ; Лист КЛБ-1 в альбом Optima, на 1 банкноты. Упаковка (10 шт.). Сомс, #2025001 ;  ;  ;  ;  ; 13 ; russich ; 153 
 6432 ; Лист на 24 монеты в альбом - СТАНДАРТ, Монеты России. (Упаковка 10 шт.). Россия ;  ;  ;  ;  ; 9 ; Leshy77 ; 170 
 6433 ; Лист для монет ЛМБ-88, на 88 ячеек. Упаковка 10 шт. Россия ;  ;  ;  ;  ; 15 ; Yustas69 ; 160 
 6434 ; Разделитель картонный в альбом OPTIMA. Упаковка (50 шт.). Lindner ;  ;  ;  ;  ; 39 ; SeregaHot ; 431 
 6435 ; Альбом на 48 монет ;  ;  ;  ;  ; 19 ; spartak217 ; 100 
 6436 ; Альбом R010808 на 180 монет, с листами. Россия ;  ;  ;  ;  ; 9 ; Astarot ; 169 
 6437 ; Холдеры для монет, самоклеющиеся - 32,5 мм, упаковка 25 шт."Lindner" ;  ;  ;  ;  ; 18 ; srwqqq ; 95 
 6438 ; Холдеры для монет, самоклеющиеся - 32,5 мм, упаковка 25 шт."Lindner" ;  ;  ;  ;  ; 18 ; srwqqq ; 104 
 6439 ; Холдеры для монет, самоклеющиеся - 32,5 мм, упаковка 25 шт."Lindner" ;  ;  ;  ;  ; 14 ; Elena76 ; 102 
 6440 ; Холдеры для монет, самоклеющиеся - 32,5 мм, упаковка 25 шт."Lindner" ;  ;  ;  ;  ; 23 ; arusakov02 ; 130 
 6441 ; Перчатки нитриловые, размер 9/L. Упаковка ( 3 шт.). Shine Coins ;  ;  ;  ;  ; 13 ; Meshok ; 75 
 6442 ; Перчатки нитриловые, размер 9/L. Упаковка ( 3 шт.). Shine Coins ;  ;  ;  ;  ; 16 ; Декарт ; 69 
 6443 ; Нумизматические перчатки, размер 9/L. Shine Coins, #PS007 ;  ;  ;  ;  ; 33 ; Misha ; 153 
 6444 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 50 ; alexxxxx ; 1011 
 6445 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 75 ; л842 ; 1039 
