 270 ; 3 копейки (Ильин-2р) ; 1850 ; ЕМ ; Cu ; VF- ; 13 ; Участник № 9 ; 5000 
 271 ; Денежка ; 1850 ; ЕМ ; Cu ; XF- ; 6 ; Участник № 132 ; 600 
 272 ; Денежка ; 1850 ; ЕМ ; Cu ; XF+ ; 20 ; andreyx  ; 3570 
 273 ; Полушка ; 1850 ; ЕМ ; Cu ; AU ; 13 ; Участник № 9 ; 3200 
 274 ; 2 копейки ; 1851 ; ЕМ ; Cu ; VF-XF ; 17 ; Участник № 1204 ; 1600 
 275 ; Копейка ; 1851 ; ВМ ; Cu ; XF+ ; 37 ; kol ; 8000 
 276 ; Рубль ; 1852 ; СПБ ПА ; Ag ; VF-XF ; 18 ; Участник № 1068 ; 5000 
 277 ; 2 копейки ; 1852 ; ЕМ ; Cu ; XF+ ; 13 ; Участник № 1204 ; 4600 
 278 ; 2 копейки ; 1852 ; ВМ ; Cu ; VF+ ; 29 ; kol ; 3042 
 279 ; Копейка ; 1852 ; ЕМ ; Cu ; VF-XF ; 6 ; dimon46 ; 310 
 280 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 16 ; sail ; 2800 
 281 ; Полтина ; 1854 ; MW ; Ag ; VF+ ; 42 ; Участник № 147 ; 6800 
 282 ; 3 копейки ; 1854 ; ВМ ; Cu ; XF- ; 21 ; Участник № 1204 ; 14000 
 283 ; Копейка (Петров-3р) ; 1855 ; ВМ ; Cu ; VF+ ; 20 ; Участник № 567 ; 3200 
 284 ; Копейка ; 1855 ; ЕМ ; Cu ; XF+ ; 15 ; andreyx  ; 3000 
 285 ; Денежка (Петров-1,5р, Ильин-1р) ; 1855 ; ВМ ; Cu ; VF ; 13 ; ААФ ; 1122 
 286 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 25 ; Участник № 132 ; 17000 
 287 ; 3 копейки ; 1856 ; ВМ ; Cu ; VF-XF ; 38 ; andreyx  ; 8915 
 288 ; 3 копейки ; 1856 ; ЕМ ; Cu ; XF- ; 10 ; Участник № 1204 ; 3600 
 289 ; 2 копейки (Ильин-2р) ; 1856 ; ВМ ; Cu ; VF-XF ; 13 ; Участник № 9 ; 4200 
 290 ; Копейка ; 1856 ; ВМ ; Cu ; VF+ ; 13 ; kol ; 2040 
 291 ; Рубль (редкая датировка) ; 1857 ; СПБ ФБ ; Ag ; VF+ ; 23 ; Участник № 54 ; 58000 
 292 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 39 ; Участник № 1204 ; 3600 
 293 ; 20 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 21 ; Участник № 6 ; 7300 
 294 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; AU/XF+ ; 26 ; Aleksey ; 7182 
 295 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 31 ; andreyx  ; 6344 
 296 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; proof-like ; 60 ; Участник № 133 ; 20000 
 297 ; Полушка (Ильин-1р) ; 1859 ; ЕМ ; Cu ; AU ; 19 ; kol ; 4500 
 298 ; Полушка ; 1859 ; ЕМ ; Cu ; XF+ ; 19 ; Участник № 18 ; 4400 
 299 ; Полтина ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 44 ; Участник № 147 ; 13000 
 300 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 35 ; Участник № 147 ; 10500 
 201 ; 5 грошей ; 1825 ; IB Польша ; Ag ; VF+ ; 16 ; SАП ; 3500 
 202 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; AU ; 19 ; Участник № 147 ; 6000 
 203 ; Двойной абаз ; 1826 ; АТ Грузия ; Ag ; VF+ ; 9 ; Участник № 545 ; 3200 
 204 ; 25 копеек (Петров-2р) ; 1828 ; СПБ НГ ; Ag ; XF ; 43 ; Участник № 30 ; 34000 
 205 ; Рубль ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 34 ; Участник № 1341 ; 6000 
 206 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF+ ; 28 ; Участник № 1177 ; 16000 
 207 ; 20 копеек ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 11 ; Участник № 9 ; 4000 
 208 ; 10 копеек ; 1830 ; СПБ НГ ; Ag ; XF+ ; 19 ; Участник № 6 ; 15000 
 209 ; 1 злотый ; 1830 ; FH Польша ; Ag ; XF- ; 23 ; 462 ; 8466 
 210 ; Двойной абаз ; 1830 ; АТ Грузия ; Ag ; VF+ ; 11 ; Участник № 545 ; 3200 
