 101 ; А. В. Орешников. Денежные знаки домонгольской Руси. Выпуск шестой ;  ;  ;  ;  ; 26 ; cr3131 ; 1000 
 11 ; Рубль ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 20 ; keen ; 7500 
 12 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF ; 38 ; krugerrand ; 21516 
 13 ; Рубль ; 1844 ; MW ; Ag ; XF ; 21 ; snupi ; 11000 
 14 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF ; 28 ; iustas ; 10500 
 15 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF ; 37 ; Продано в зале ; 80000 
 16 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF- ; 15 ; Гавр ; 7000 
 17 ; Рубль ; 1896 ; (АГ) ; Ag ; XF ; 45 ; Sky2 ; 8000 
 18 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF- ; 41 ; vic-dmitri ; 26000 
 19 ; Рубль ; 1897 ; (АГ) ; Ag ; XF ; 27 ; Alexey0575 ; 9000 
 20 ; Рубль ; 1898 ; (АГ) ; Ag ; XF ; 33 ; snupi ; 9000 
 21 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU ; 43 ; Продано в зале ; 105000 
 22 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF+ ; 45 ; sm-dc ; 11028 
 23 ; Полтина (Петров - 2,5р. Ильин - 3р.) ; 1738 ;  ; Ag ; VF ; 22 ; snupi ; 22000 
 24 ; Полтина (Петров-3,5р, Ильин-3р) ; 1796 ; СПБ IC ; Ag ; F-VF ; 51 ; Продано в зале ; 30000 
 25 ; Полтина ; 1819 ; СПБ ПС ; Ag ; VF-XF ; 27 ; vasek ; 6936 
 26 ; Полтина, в надписи "П" без верхней черты, "золотиика" ; 1846 ; MW ; Ag ; VF- ; 17 ; tecsam ; 8369 
 27 ; Полтина. Капсула NGC ; 1854 ; MW ; Ag ;  ; 35 ; Продано в зале ; 11000 
 28 ; Полтина ; 1856 ; СПБ ФБ ; Ag ; VF-XF ; 18 ; -$$$- ; 4598 
 29 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF+ ; 44 ; Акоп ; 9680 
 30 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF ; 59 ; papinazu ; 6678 
 31 ; 25 копеек ; 1887 ; (АГ) АГ ; Ag ; XF+ ; 38 ; snupi ; 57500 
 32 ; 20 копеек (Ильин-8р) ; 1775 ; ММД ; Ag ; F+ ; 24 ; snupi ; 15000 
 33 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 39 ; ААФ ; 2175 
