 1033 ; Рубль ; 1731 ;  ; Ag ; XF- ; 9 ; luda ; 28728 
 1034 ; Рубль. (Петров-3,5 рубля) ; 1731 ;  ; Ag ; VF+ ; 11 ; Продано в зале ; 36000 
 1035 ; Рубль ; 1735 ;  ; Ag ; XF+ ; 6 ; Продано в зале ; 29000 
 1036 ; Рубль ; 1735 ;  ; Ag ; XF- ; 7 ; A.G. ; 17340 
 1037 ; Рубль ; 1737 ;  ; Ag ; XF- ; 9 ; Продано в зале ; 28000 
 1038 ; Рубль ; 1738 ;  ; Ag ; XF- ; 1 ; Продано в зале ; 50000 
 1039 ; Рубль ; 1739 ;  ; Ag ; VF+ ; 3 ; A.G. ; 30600 
 1040 ; Рубль. (Петров-15 рублей) ; 1741 ; СПБ ; Ag ; VF+ ; 14 ; Стемп ; 190000 
 1041 ; Рубль ; 1746 ; СПБ ; Ag ; XF- ; 3 ; dron777 ; 27030 
 1042 ; Рубль ; 1747 ; ММД ; Ag ; XF ; 1 ; Продано в зале ; 30000 
 1043 ; Рубль ; 1751 ; СПБ IM ; Ag ; XF- ; 1 ; брат ; 25000 
 1044 ; Рубль ; 1755 ; СПБ ЯI BS ; Ag ; XF+ ; 3 ; pavel32 ; 38000 
 1045 ; Рубль ; 1756 ; СПБ IM BS ; Ag ; XF ; 6 ; dron777 ; 42000 
 1046 ; Рубль ; 1762 ; СПБ НК ; Ag ; VF+ ; 7 ; Продано в зале ; 46000 
 1047 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; XF- ; 4 ; брат ; 16000 
 1048 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; XF- ; 4 ; Продано в зале ; 16000 
 1049 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; XF+ ; 6 ; 462 ; 18870 
 1050 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; XF ; 3 ; Продано в зале ; 18000 
 1051 ; Рубль. Редка ; 1767 ; СПБ АШ ; Ag ; XF ; 3 ; Продано в зале ; 420000 
 1052 ; Рубль ; 1768 ; ММД EI ; Ag ; VF+ ; 11 ; Продано в зале ; 26000 
 1053 ; Рубль ; 1771 ; СПБ ЯЧ TI ; Ag ; XF- ; 3 ; 462 ; 12240 
 1054 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF ; 0 ; Не продан ; 0 
 1055 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF ; 3 ; Продано в зале ; 30000 
 1056 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF+ ; 18 ; брат ; 23878 
 1057 ; Рубль ; 1782 ; СПБ ИЗ ; Ag ; XF ; 1 ; Skyline ; 22000 
 1058 ; Рубль ; 1786 ; СПБ ЯА TI ; Ag ; XF- ; 0 ; Не продан ; 0 
 1059 ; Рубль ; 1802 ; СПБ АИ ; Ag ; XF ; 11 ; Стемп ; 28000 
 1060 ; Рубль ; 1805 ; СПБ ФГ ; Ag ; XF ; 16 ; 496 ; 41106 
 1061 ; Рубль ; 1813 ; СПБ ПС ; Ag ; XF ; 9 ; Продано в зале ; 8500 
 1062 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF ; 18 ; Продано в зале ; 10000 
 1063 ; Рубль ; 1820 ; СПБ ПД ; Ag ; XF+ ; 16 ; Продано в зале ; 16000 
 101 ; Копейка ; 1775 ; КМ "Сибирь" ; Cu ; VF ; 29 ; ОМВ ; 999 
 102 ; Копейка ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 8 ; Продано в зале ; 1150 
 103 ; Копейка ; 1811 ; ИМ МК ; Cu ; VF+ ; 17 ; SSK ; 527 
 104 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; XF ; 39 ; ZOLTAN333 ; 5235 
 105 ; Денга (Петров-1р, Ильин-1р) ; 1702 ;  ; Cu ; VF+ ; 20 ; Продано в зале ; 11000 
 106 ; Денга ; 1704 ;  ; Cu ; VF ; 24 ; Продано в зале ; 1800 
 107 ; Денга ; 1705 ;  ; Cu ; VF ; 33 ; lvd ; 4692 
 108 ; Денга ; 1792 ; КМ ; Cu ; VF ; 13 ; ANK ; 1200 
 109 ; Денга ; 1795 ; КМ ; Cu ; VF ; 19 ; Продано в зале ; 1800 
 110 ; Деньга (Ильин-3р) ; 1797 ; КМ ; Cu ; VF ; 23 ; брат ; 3000 
 111 ; Полушка (Петров-2,5р, Ильин-3р) ; 1805 ; КМ ; Cu ; F-VF ; 23 ; Стемп ; 9690 
 112 ; Деньга ; 1811 ; ИМ МК ; Cu ; VF-XF ; 15 ; Продано в зале ; 2800 
 113 ; Деньга ; 1828 ; ЕМ ИК ; Cu ; VF+ ; 17 ; ostman22 ; 600 
