 29 ; 5 копеек ; 1767 ; ЕМ ; Cu ; VF+ ; 18 ; SSK ; 600 
 30 ; 5 копеек ; 1769 ; ЕМ ; Cu ; VF+ ; 7 ; Участник № 66 ; 420 
 31 ; Полушка ; 1769 ; ЕМ ; Cu ; VF+ ; 62 ; Участник № 1 ; 3200 
 32 ; Полуполтинник (Ильин-4р) ; 1770 ; ММД ЕI ; Ag ; VF- ; 22 ; int1965708 ; 6629 
 33 ; 5 копеек ; 1770 ; ЕМ ; Cu ; VF+ ; 22 ; Участник № 66 ; 440 
 34 ; Полушка ; 1771 ; ЕМ ; Cu ; XF- ; 35 ; Cristofel ; 3000 
 35 ; 2 копейки ; 1772 ; ЕМ ; Cu ; VF+ ; 32 ; Cristofel ; 6500 
 36 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; XF- ; 10 ; Участник № 1792 ; 17500 
 37 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; VF-XF ; 19 ; ksv11 ; 7344 
 38 ; 5 копеек ; 1780 ; ЕМ ; Cu ; VF-XF ; 14 ; Участник № 66 ; 550 
 39 ; 10 копеек (Петров-1,5р) ; 1781 ; КМ "Сибирь" ; Cu ; VF ; 30 ; ksv11 ; 6000 
 40 ; 5 копеек ; 1781 ; ЕМ ; Cu ; VF-XF ; 2 ; Участник № 66 ; 550 
 41 ; 5 копеек ; 1782 ; ЕМ ; Cu ; VF-XF ; 13 ; Участник № 66 ; 420 
 42 ; Гривенник ; 1783 ; СПБ ; Ag ; VF-XF ; 17 ; Sky2 ; 2833 
 43 ; 5 копеек ; 1783 ; ЕМ ; Cu ; VF-XF ; 3 ; Участник № 66 ; 360 
 44 ; 5 копеек ; 1786 ; ЕМ ; Cu ; VF-XF ; 3 ; Участник № 66 ; 360 
 45 ; 20 копеек ; 1787 ; СПБ ; Ag ; VF ; 20 ; Участник № 133 ; 4600 
 46 ; 5 копеек ; 1788 ; ЕМ ; Cu ; VF-XF ; 11 ; Участник № 66 ; 360 
 47 ; Копейка (Петров-3р) ; 1788 ;  ; Cu ; F-VF ; 48 ; Участник № 1 ; 5800 
 48 ; 5 копеек ; 1789 ; ЕМ ; Cu ; VF-XF ; 3 ; Участник № 66 ; 420 
 49 ; 5 копеек ; 1789 ; АМ ; Cu ; VF-XF ; 7 ; Участник № 66 ; 1100 
 50 ; Гривенник ; 1792 ; СПБ ; Ag ; VF+ ; 41 ; int1965708 ; 3445 
