 19 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF ; 54 ; volkov ; 16000 
 20 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; VF-XF ; 36 ; eastern wind ; 48763 
 21 ; Рубль ; 1878 ; СПБ НФ ; Ag ; AU ; 37 ; 23011976 ; 17000 
 22 ; Рубль. С экспертным заключением организации поддержки и развития ГИМ ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 66 ; Продано в зале ; 130000 
 23 ; Рубль. Капсула NGC ; 1883 ; ЛШ На коронацию Александра III ; Ag ;  ; 13 ; SwaggaRakka ; 18000 
 24 ; Рубль ; 1891 ; (АГ) ; Ag ; XF+ ; 39 ; амбал ; 44000 
 25 ; Рубль ; 1898 ; (АГ) ; Ag ; VF-XF ; 29 ; Alex22D ; 6250 
 26 ; Рубль ; 1913 ; (ЭБ) ; Ag ; XF+ ; 62 ; 333985 ; 86355 
 27 ; Полтина ; 1820 ; СПБ ПД ; Ag ; VF-XF ; 94 ; *@*#* ; 72500 
 28 ; Полтина ; 1910 ; (ЭБ) АГ ; Ag ; VF+ ; 43 ; 333985 ; 7000 
 29 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; VF-XF ; 21 ; eastern wind ; 9500 
 30 ; 25 копеек ; 1855 ; СПБ HI ; Ag ; XF ; 26 ; 23011976 ; 6500 
 31 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; XF- ; 21 ; Инструктор ; 3273 
 32 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; VF-XF ; 49 ; Рас ; 10113 
 33 ; 20 копеек. В капсуле ННР ; 1769 ; СПБ TI ; Ag ;  ; 33 ; Як2345 ; 12000 
 34 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 39 ; klavd ; 6234 
 35 ; 20 копеек ; 1829 ; СПБ НГ ; Ag ; XF- ; 86 ; Акоп ; 34000 
 36 ; 20 копеек. Инкузный брак. M-4,15г. ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 66 ; ctc ; 30000 
 37 ; 20 копеек ; 1849 ; СПБ ПА ; Ag ; XF- ; 43 ; iustas ; 9293 
 38 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; XF ; 37 ; Инструктор ; 2540 
 39 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; XF ; 7 ; klavd ; 1020 
 40 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 28 ; dagomas00 ; 2257 
 41 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; XF+ ; 36 ; klavd ; 1867 
 42 ; Гривенник. В капсуле ННР ; 1770 ; СПБ TI ; Ag ;  ; 29 ; 12555 ; 8176 
 43 ; 10 копеек ; 1842 ; СПБ АЧ ; Ag ; XF- ; 40 ; CapsulЪ ; 8000 
 44 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; XF ; 34 ; sdv75-2010 ; 2200 
 45 ; 10 копеек ; 1898 ; СПБ АГ ; Ag ; XF+ ; 16 ; max96 ; 3162 
 46 ; 5 копеек ; 1831 ; СПБ НГ ; Ag ; XF+ ; 50 ; Alex22D ; 11500 
 47 ; 5 копеек ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 69 ; cotangens ; 10000 
 48 ; 5 копеек. В капсуле ННР ; 1849 ; СПБ ПА ; Ag ;  ; 50 ; Продано в зале ; 6200 
 49 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; XF+ ; 62 ; *@*#* ; 13000 
 50 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; XF ; 28 ; oleg1430 ; 2511 
