 32 ; 25 копеек ; 1837 ; СПБ НГ ; Ag ; XF- ; 12 ; Продано в зале ; 4600 
 33 ; 25 копеек ; 1838 ; СПБ НГ ; Ag ; VF+ ; 26 ; Продано в зале ; 3200 
 34 ; 25 копеек ; 1840 ; СПБ НГ ; Ag ; VF+ ; 38 ; Дурындин ; 5327 
 35 ; 25 копеек ; 1845 ; СПБ КБ ; Ag ; XF+/XF- ; 23 ; Продано в зале ; 5600 
 36 ; 25 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 37 ; Продано в зале ; 12000 
 37 ; 25 копеек-50 грошей ; 1848 ; MW Рус.-Пол. ; Ag ; XF- ; 47 ; 0987654321 ; 6185 
 38 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; AU/XF ; 15 ; Lisik ; 3820 
 39 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 14 ; Lisik ; 4364 
 40 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 17 ; Lisik ; 4470 
 41 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 21 ; Продано в зале ; 5400 
 42 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 27 ; Продано в зале ; 4800 
 43 ; 20 копеек-40 грошей ; 1843 ; MW Рус.-Пол. ; Ag ; VF+ ; 51 ; antiquar ; 8772 
 44 ; 20 копеек-40 грошей ; 1850 ; MW Рус.-Пол. ; Ag ; VF-XF ; 61 ; Karajan ; 5405 
 45 ; 20 копеек ; 1870 ; СПБ HI ; Ag ; AU/XF ; 17 ; Продано в зале ; 1500 
 46 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 10 ; коваль ; 1020 
 47 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; AU/XF ; 25 ; Продано в зале ; 4000 
 48 ; 15 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 26 ; VAP20 ; 6222 
 49 ; 15 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 32 ; Алексей Викторович ; 4592 
 50 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 18 ; VAP20 ; 5667 
