 309 ; Денга ; 1707 ;  ; Cu ; F-VF ; 9 ; TDN ; 918 
 310 ; Копейка ; 1708 ; МД ; Cu ; F-VF ; 7 ; Участник № 114 ; 1600 
 311 ; Копейка (Ильин-2р) ; 1710 ; БК ; Cu ; F-VF ; 11 ; Участник № 168 ; 2400 
 312 ; Копейка ; 1711 ; ·Б·К· ; Cu ; F-VF ; 10 ; Участник № 115 ; 950 
 313 ; Копейка ; 1712 ; МД ; Cu ; F-VF ; 12 ; boroda ; 714 
 314 ; Копейка ; 1713 ; НД ; Cu ; F-VF ; 9 ; Олег33 ; 657 
 315 ; Копейка ; 1713 ; НД ; Cu ; F-VF ; 7 ; dimon46 ; 786 
 316 ; Копейка (Петров-3р) ; 1713 ;  ; Cu ; F-VF ; 10 ; Alexdav ; 2100 
 317 ; Рубль (Петров-5р) ; 1718 ; OK ; Ag ; VF+ ; 40 ; 4758 ; 120000 
 318 ; Рубль (Петров-10р) ; 1719 ; OK ; Ag ; VF- ; 29 ; boroda ; 66300 
 319 ; Рубль ; 1721 ;  ; Ag ; VF ; 13 ; boroda ; 45900 
 320 ; Рубль ; 1721 ; K ; Ag ; VF+ ; 24 ; 462 ; 34000 
 321 ; Полтина (Петров-6р) ; 1722 ;  ; Ag ; VF- ; 11 ; 4758 ; 30000 
 322 ; Рубль ; 1723 ; ОК ; Ag ; VF+ ; 21 ; 4758 ; 49686 
 323 ; Полтина ; 1723 ;  ; Ag ; F-VF ; 19 ; Участник № 1 ; 29000 
 324 ; Рубль (Петров-5р) ; 1724 ; ОК ; Ag ; VF- ; 12 ; aleks-2007 ; 25500 
 325 ; 5 копеек ; 1724 ; Хвост в 3 пера ; Cu ; F-VF ; 11 ; boroda ; 2206 
 326 ; Рубль (Ильин-8р, ошибка "САМОДЕРИЦА") ; 1725 ; СПБ ; Ag ; F-VF ; 12 ; TDN ; 18360 
 327 ; 5 копеек ; 1725 ; МД Дата снизу вверх ; Cu ; F-VF ; 9 ; Участник № 114 ; 2400 
 328 ; Рубль ; 1726 ;  ; Ag ; VF-XF ; 11 ; Участник № 62 ; 85000 
 329 ; Полтина ; 1726 ;  ; Ag ; VF- ; 31 ; boroda ; 26295 
 330 ; 5 копеек ; 1726 ; МД Хвост узкий ; Cu ; VF- ; 19 ; Участник № 1205 ; 1400 
 331 ; Рубль ; 1727 ; СПБ ; Ag ; VF- ; 20 ; Участник № 1168 ; 20000 
 332 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF ; 7 ; Участник № 114 ; 1900 
 333 ; Рубль ; 1729 ;  ; Ag ; VF ; 18 ; TDN ; 18360 
 334 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; F-VF ; 20 ; dimon46 ; 1020 
 335 ; Рубль ; 1733 ;  ; Ag ; VF ; 21 ; TDN ; 17000 
 336 ; Рубль ; 1734 ;  ; Ag ; VF+ ; 30 ; Участник № 1 ; 26000 
 337 ; Рубль ; 1738 ;  ; Ag ; XF- ; 28 ; boroda ; 45000 
 338 ; Полтина ; 1738 ; СПБ ; Ag ; VF- ; 23 ; TDN ; 8211 
 339 ; Полуполтинник ; 1750 ; ММД ; Ag ; VF+ ; 15 ; igors1969 ; 5893 
 340 ; Гривенник ; 1750 ;  ; Ag ; VF+ ; 12 ; Участник № 18 ; 3600 
 341 ; 4 копейки ; 1757 ; Ливонез ; Ag ; VF+ ; 8 ; boroda ; 7650 
 342 ; Солид (Петров-6р) ; 1759 ; Для Пруссии ; Ag ; VF- ; 7 ; dimon46 ; 1000 
 343 ; Полтина (Ильин-5р) ; 1760 ; СПБ ЯI BS ; Ag ; F-VF ; 11 ; igors1969 ; 8324 
 344 ; 5 копеек ; 1760 ; СПБ ; Ag ; VF+ ; 17 ; andreyx  ; 3734 
 345 ; 1/6 талера (Петров-5р, Ильин-2р) ; 1761 ; Для Пруссии ; Ag ; AU ; 29 ; Участник № 30 ; 26000 
 346 ; Рубль ; 1762 ; СПБ НК ; Ag ; VF- ; 23 ; Участник № 1168 ; 23000 
 347 ; Полтина ; 1763 ; СПБ ЯI ; Ag ; F-VF ; 12 ; boroda ; 19380 
 348 ; 5 рублей ; 1764 ; СПБ ; Au ; VF ; 22 ; boroda ; 154134 
 349 ; Гривенник ; 1766 ; СПБ TI ; Ag ; VF+ ; 9 ; Участник № 9 ; 5500 
 350 ; Гривенник ; 1769 ; СПБ TI ; Ag ; VF-XF ; 9 ; hummer ; 4592 
 251 ; Копейка ; 1860 ; ЕМ ; Cu ; VF- ; 3 ; volod ; 306 
 252 ; Копейка ; 1860 ; ВМ ; Cu ; VF ; 13 ; Участник № 114 ; 1100 
 253 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 41 ; ААФ ; 1251 
 254 ; Копейка ; 1861 ; ЕМ ; Cu ; XF+ ; 7 ; aae2006 ; 1275 
 255 ; Копейка ; 1862 ; ЕМ ; Cu ; XF ; 9 ; Участник № 523 ; 900 
 256 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 8 ; tisa66 ; 3000 
 257 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 15 ; A.G. ; 1514 
 258 ; 5 копеек ; 1864 ; ЕМ ; Cu ; XF ; 8 ; Участник № 168 ; 1600 
 259 ; 2 копейки ; 1865 ; ЕМ ; Cu ; VF-XF ; 6 ; Участник № 132 ; 1900 
 260 ; Копейка ; 1865 ; ЕМ ; Cu ; XF+ ; 12 ; Участник № 1204 ; 1600 
 261 ; 3 копейки ; 1868 ; ЕМ ; Cu ; XF+/AU ; 29 ; S.r.l. ; 7500 
 262 ; 20 копеек ; 1869 ; СПБ HI ; Ag ; AU ; 19 ; Участник № 30 ; 2700 
 263 ; 2 копейки ; 1869 ; СПБ ; Cu ; XF ; 44 ; Участник № 18 ; 7500 
 264 ; Копейка ; 1869 ; ЕМ ; Cu ; XF ; 3 ; Участник № 30 ; 800 
 265 ; 1/4 копейки ; 1870 ; ЕМ ; Cu ; XF+ ; 21 ; S.r.l. ; 4335 
 266 ; Рубль ; 1872 ; СПБ HI ; Ag ; VF+ ; 9 ; A.G. ; 11000 
 267 ; 5 копеек ; 1872 ; ЕМ ; Cu ; XF+ ; 19 ; VAG ; 3627 
 268 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 21 ; ksv11 ; 2550 
 269 ; 15 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 6 ; Участник № 30 ; 1200 
 270 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 17 ; A.G. ; 2040 
 271 ; 1/4 копейки ; 1876 ; СПБ ; Cu ; AU ; 28 ; max7421 ; 1836 
 272 ; Рубль ; 1877 ; СПБ HI ; Ag ; XF+ ; 20 ; Участник № 1177 ; 9500 
 273 ; Полтина ; 1877 ; СПБ HI ; Ag ; XF+/XF- ; 12 ; 462 ; 6687 
 274 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 60 ; Участник № 133 ; 1900 
 275 ; 25 копеек. Цифра 4 в весе развернута на 90 градусов ; 1878 ; СПБ НФ ; Ag ; VF-XF ; 20 ; батя ; 3115 
 276 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 24 ; Участник № 42 ; 10000 
 277 ; 5 копеек ; 1878 ; СПБ ; Cu ; VF-XF ; 13 ; лопух ; 906 
 278 ; 15 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 39 ; vvt ; 4935 
 279 ; 5 копеек ; 1879 ; СПБ ; Cu ; XF ; 19 ; Участник № 23 ; 2100 
 280 ; 20 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 10 ; ksv11 ; 1813 
 281 ; 5 копеек ; 1880 ; СПБ ; Cu ; XF ; 17 ; Участник № 114 ; 2300 
 282 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF+ ; 22 ; boroda ; 22440 
 283 ; 20 копеек ; 1885 ; СПБ АГ ; Ag ; AU ; 48 ; Участник № 30 ; 3800 
 284 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 45 ; tisa66 ; 3555 
 285 ; 1/4 копейки ; 1887 ; СПБ ; Cu ; XF+ ; 15 ; max7421 ; 1969 
 286 ; 5 рублей. М-6,45гр ; 1889 ; (АГ) АГ ; Au ; XF+ ; 62 ; kelban ; 27000 
 287 ; Копейка ; 1889 ; СПБ ; Cu ; AU ; 11 ; лопух ; 1896 
 288 ; 20 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 26 ; S.r.l. ; 3448 
 289 ; 10 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 23 ; andreyx  ; 3000 
 290 ; Копейка ; 1893 ; СПБ ; Cu ; AU ; 24 ; Участник № 133 ; 3600 
 291 ; 3 копейки ; 1899 ; СПБ ; Cu ; AU ; 12 ; Участник № 148 ; 3000 
 292 ; Полтина ; 1900 ; (ФЗ) АГ ; Ag ; VF-XF ; 27 ; Участник № 1177 ; 4000 
 293 ; 10 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 32 ; max7421 ; 5327 
 294 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 17 ; max7421 ; 3165 
 295 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 29 ; mihelsonn ; 3059 
 296 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 18 ; 59 ; 2285 
 297 ; 10 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 5 ; Участник № 30 ; 1100 
 298 ; 5 копеек ; 1911 ; СПБ ; Cu ; AU ; 15 ; ghjk ; 3000 
 299 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 9 ; Участник № 1177 ; 10000 
 300 ; Рубль ; 1912 ; На столетие отечественной войн ; Ag ; AU/XF+ ; 28 ; Участник № 1179 ; 75000 
 201 ; Полтина ; 1850 ; СПБ ПА ; Ag ; XF+ ; 38 ; 462 ; 9100 
 202 ; 25 копеек ; 1850 ; СПБ ПА ; Ag ; XF+ ; 12 ; 462 ; 4682 
 203 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 24 ; monos72 ; 4592 
 204 ; Полушка ; 1850 ; ЕМ ; Cu ; XF ; 5 ; toto ; 999 
 205 ; 10 копеек ; 1851 ; СПБ ПА ; Ag ; XF+ ; 17 ; dimon46 ; 1872 
 206 ; 2 копейки ; 1851 ; ЕМ ; Cu ; AU ; 35 ; andreyx  ; 21750 
 207 ; 2 копейки (Ильин-1р) ; 1851 ; ВМ ; Cu ; VF-XF ; 27 ; S.r.l. ; 8741 
 208 ; Денежка ; 1851 ; ЕМ ; Cu ; XF ; 15 ; toto ; 510 
 209 ; 25 копеек (Петров-2,5р, Ильин-3р) ; 1852 ; СПБ HI ; Ag ; VF-XF ; 39 ; Участник № 42 ; 28000 
 210 ; 5 копеек ; 1852 ; ЕМ ; Cu ; VF-XF ; 12 ; Олег33 ; 2039 
 211 ; 2 копейки ; 1852 ; ЕМ ; Cu ; VF+ ; 24 ; Олег33 ; 1029 
 212 ; Копейка ; 1852 ; ЕМ ; Cu ; XF ; 20 ; toto ; 1473 
 213 ; Копейка ; 1852 ; ВМ ; Cu ; VF-XF ; 17 ; S.r.l. ; 2267 
 214 ; Денежка ; 1852 ; ЕМ ; Cu ; XF ; 18 ; aae2006 ; 1734 
 215 ; Рубль ; 1853 ; СПБ HI ; Ag ; XF+ ; 12 ; Участник № 1179 ; 11000 
 216 ; Полтина ; 1853 ; СПБ HI ; Ag ; XF ; 2 ; ZOLTAN333 ; 7854 
 217 ; 25 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 12 ; Участник № 1204 ; 4800 
 218 ; 20 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 54 ; vvt ; 7916 
 219 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 10 ; andreyx  ; 3570 
 220 ; Копейка ; 1853 ; ЕМ ; Cu ; VF+ ; 9 ; inxs ; 567 
