 31 ; Полуполтинник ; 1767 ; ММД ЕI ; Ag ; VF-XF ; 35 ; icebreaker ; 10729 
 32 ; 25 копеек. В капсуле PCGS ; 1858 ; СПБ ФБ ; Ag ;  ; 35 ; Продано в зале ; 8000 
 33 ; 25 копеек ; 1887 ; (АГ) АГ ; Ag ; VF+ ; 98 ; vic-dmitri ; 26000 
 34 ; 20 копеек-40 грошей ; 1850 ; MW Рус.-Пол. ; Ag ; XF ; 48 ; прохожий ; 16000 
 35 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 59 ; Продано в зале ; 10000 
 36 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 23 ; Продано в зале ; 1300 
 37 ; 20 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 22 ; Продано в зале ; 2000 
 38 ; 20 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 32 ; Продано в зале ; 4000 
 39 ; Гривенник ; 1769 ; СПБ TI ; Ag ; VF+ ; 19 ; vic-dmitri ; 3400 
 40 ; Гривенник ; 1770 ; СПБ TI ; Ag ; VF ; 14 ; Продано в зале ; 2200 
 41 ; Гривенник ; 1783 ; СПБ ; Ag ; XF ; 61 ; 😺 ; 9000 
 42 ; 10 копеек ; 1798 ; СМ МБ ; Ag ; VF ; 25 ; vic-dmitri ; 9500 
 43 ; 5 копеек ; 1755 ; СПБ ; Ag ; VF-XF ; 33 ; обморок ; 6690 
 44 ; 5 копеек ; 1758 ; СПБ ; Ag ; XF+ ; 40 ; Продано в зале ; 7000 
 45 ; 5 копеек ; 1761 ; СПБ ; Ag ; XF- ; 40 ; Karhu ; 2900 
 46 ; 5 копеек ; 1801 ; СМ АИ ; Ag ; VF+ ; 59 ; cr67 ; 11500 
 47 ; 5 копеек (Петров-2р. Ильин-3р) ; 1811 ; СПБ ФГ ; Ag ; VF+ ; 78 ; CapsulЪ ; 11000 
 48 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; XF+ ; 39 ; Продано в зале ; 6500 
 49 ; 5 копеек ; 1816 ; СПБ МФ ; Ag ; XF- ; 33 ; AlexMar ; 2407 
 50 ; 5 копеек (Петров-3р. Ильин-4р) ; 1817 ; СПБ ПС ; Ag ; VF+ ; 44 ; alex-54 ; 10710 
