 95 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF+/VF ; 38 ; Продано в зале ; 6500 
 96 ; 2 копейки ; 1865 ; ЕМ ; Cu ; VF+ ; 7 ; Продано в зале ; 800 
 97 ; Копейка ; 1705 ; МД ; Cu ; F-VF ; 21 ; taa ; 1224 
 98 ; Копейка. Инкузный след ; 1709 ; МД ; Cu ; F+ ; 9 ; dimon46 ; 1914 
 99 ; Копейка (Петров - 10р, Ильин - 12р) ; 1717 ; НДЗ ; Cu ; F+ ; 21 ; SSK ; 6111 
 100 ; Копейка ; 1755 ; СПБ ; Cu ; F-VF ; 39 ; Восток ; 3874 
 1 ; 5 рублей. М-6,54г ; 1818 ; СПБ МФ ; Au ; XF- ; 49 ; весенnik ; 100000 
 2 ; 5 рублей. М-6,52г ; 1841 ; СПБ АЧ ; Au ; XF+ ; 22 ; Продано в зале ; 34000 
 3 ; 5 рублей. М-6,54г ; 1842 ; СПБ АЧ ; Au ; XF+ ; 21 ; Продано в зале ; 36000 
 4 ; 5 рублей. М-6,54г ; 1878 ; СПБ НФ ; Au ; AU ; 39 ; 496 ; 40576 
 5 ; 5 рублей. М-6,42г ; 1886 ; (АГ) Борода длиннее ; Au ; VF-XF ; 23 ; INRI ; 36600 
 6 ; 3 рубля. М-3,86г ; 1874 ; СПБ НI ; Au ; XF+ ; 27 ; INRI ; 84660 
 7 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; XF ; 22 ; Сыч ; 18000 
 8 ; Рубль ; 1721 ;  ; Ag ; XF ; 23 ; Сыч ; 55203 
 9 ; Рубль ; 1723 ;  ; Ag ; XF- ; 39 ; Продано в зале ; 36000 
 10 ; Рубль ; 1732 ;  ; Ag ; VF+ ; 24 ; 108 ; 18870 
 11 ; Рубль ; 1744 ; СПБ ; Ag ; VF-XF ; 26 ; 333355 ; 16212 
 12 ; Рубль ; 1748 ; СПБ ; Ag ; VF-XF ; 24 ; ANK ; 15919 
 13 ; Рубль ; 1749 ; ММД ; Ag ; XF ; 22 ; весенnik ; 37000 
 14 ; Рубль ; 1765 ; СПБ СА TI ; Ag ; VF-XF ; 29 ; Продано в зале ; 13000 
 15 ; Рубль ; 1775 ; СПБ QЛ TИ ; Ag ; VF-XF ; 21 ; hummer ; 11000 
 16 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF- ; 19 ; Lisik ; 6500 
 17 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 28 ; inveterate ; 5967 
 18 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF- ; 17 ; Buzikin ; 8559 
 19 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF+ ; 36 ; 496 ; 19000 
 20 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF ; 27 ; Продано в зале ; 14000 
 21 ; Рубль ; 1892 ; (АГ) ; Ag ; AU ; 27 ; nikolas1957 ; 46818 
 22 ; Рубль ; 1892 ; (АГ) ; Ag ; AU ; 49 ; elac ; 34068 
 23 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF/AU ; 22 ; elac ; 27234 
 24 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF+ ; 25 ; INRI ; 19482 
 25 ; Рубль ; 1911 ; (ЭБ) ; Ag ; AU ; 127 ; Lisik ; 36000 
 26 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF+ ; 26 ; sergfokin ; 8262 
 27 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF- ; 23 ; volvoinblood ; 56162 
 28 ; Лот снят ;  ;  ;  ;  ; 0 ; Не продан ; 0 
 29 ; Полтина (Петров-3р) ; 1764 ; СПБ СА TI ; Ag ; VF+ ; 50 ; Продано в зале ; 27000 
 30 ; Полтина (Петров-1р) ; 1826 ; СПБ НГ ; Ag ; XF- ; 16 ; Продано в зале ; 15000 
 31 ; Полтина. Корона шире ; 1839 ; СПБ НГ ; Ag ; VF-XF ; 21 ; Продано в зале ; 4600 
 32 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; AU ; 41 ; rused ; 11000 
 33 ; Полтина ; 1887 ; (АГ) ; Ag ; VF- ; 12 ; Восток ; 8324 
 34 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF+ ; 29 ; Продано в зале ; 7800 
 35 ; Полуполтинник ; 1787 ; СПБ ЯА ; Ag ; VF+ ; 17 ; hummer ; 5668 
 36 ; Полуполтинник (Петров-1,5р) ; 1798 ; СМ МБ ; Ag ; VF+ ; 34 ; 108 ; 29300 
 37 ; 25 копеек ; 1848 ; СПБ ПА ; Ag ; XF ; 9 ; Продано в зале ; 2400 
 38 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 14 ; Frapin ; 5100 
 39 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; AU ; 27 ; Продано в зале ; 16000 
 40 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 42 ; INRI ; 6120 
 41 ; 20 копеек (Петров-1р) ; 1767 ; СПБ TI ; Ag ; VF+ ; 21 ; Продано в зале ; 8500 
 42 ; 20 копеек ; 1787 ; СПБ ; Ag ; VF-XF ; 17 ; kucz.79 ; 8000 
 43 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF- ; 9 ; Продано в зале ; 2000 
 44 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 10 ; serg2010 ; 7650 
 45 ; 20 копеек ; 1861 ; СПБ ; Ag ; XF+ ; 8 ; Продано в зале ; 650 
 46 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 11 ; ААФ ; 1530 
 47 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; XF+ ; 15 ; Продано в зале ; 950 
 48 ; 20 копеек ; 1868 ; СПБ HI ; Ag ; AU/XF ; 31 ; taa ; 1200 
 49 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; VF-XF ; 27 ; нумизмат ; 2042 
 50 ; 15 копеек ; 1785 ; СПБ ; Ag ; VF+ ; 32 ; sergfokin ; 6630 
