 259 ; 2 копейки ; 1854 ; ЕМ ; Cu ; XF+ ; 26 ; смит ; 6885 
 260 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; Unc/AU ; 19 ; maka ; 3062 
 261 ; Полушка ; 1855 ; ВМ ; Cu ; Unc/AU ; 35 ; kol ; 25000 
 262 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; Unc/AU ; 20 ; Участник № 1204 ; 4600 
 263 ; 5 копеек ; 1856 ; ЕМ ; Cu ; XF+ ; 17 ; SSK ; 8150 
 264 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; AU ; 19 ; Участник № 132 ; 5500 
 265 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; AU ; 39 ; maka ; 6324 
 266 ; 5 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 27 ; Участник № 1127 ; 13000 
 267 ; Рубль ; 1859 ; На открытие памятника Николаю  ; Ag ; XF- ; 128 ; Участник № 1444 ; 42000 
 268 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 21 ; Участник № 636 ; 3600 
 269 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 17 ; vvt ; 3200 
 270 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; Unc/AU ; 46 ; Участник № 1127 ; 20000 
 271 ; Денежка ; 1859 ; ВМ ; Cu ; VF+ ; 18 ; valenok ; 3026 
 272 ; 15 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 17 ; Участник № 636 ; 6000 
 273 ; 10 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; XF ; 10 ; Участник № 133 ; 2600 
 274 ; 5 копеек ; 1860 ; СПБ ФБ ; Ag ; Unc/AU ; 16 ; 439 ; 5500 
 275 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 23 ; Участник № 131 ; 7000 
 276 ; 3 копейки. Инкузный след от застрявшей в штемпеле монеты ; 1861 ; ЕМ ; Cu ; VF+ ; 17 ; кабан ; 8262 
 277 ; 2 копейки. Брак чеканки ; 1862 ; ЕМ ; Cu ; VF-XF ; 23 ; кабан ; 9299 
 278 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 6 ; ААФ ; 1001 
 279 ; 2 копейки ; 1867 ; СПБ ; Cu ; XF+ ; 7 ; kol ; 5100 
 280 ; 20 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 17 ; Участник № 133 ; 1400 
 281 ; 1/4 копейки ; 1868 ; ЕМ ; Cu ; XF+ ; 24 ; dimon46 ; 2142 
 282 ; 5 копеек ; 1869 ; СПБ HI ; Ag ; AU/XF ; 20 ; Участник № 222 ; 6000 
 283 ; 5 копеек ; 1869 ; ЕМ ; Cu ; VF-XF ; 28 ; SSK ; 1926 
 284 ; Копейка ; 1870 ; ЕМ ; Cu ; AU ; 14 ; Участник № 51 ; 15000 
