 32 ; 25 копеек ; 1830 ; СПБ НГ ; Ag ; XF ; 34 ; electra ; 6750 
 33 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 14 ; Pharrell ; 1530 
 34 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; XF+ ; 20 ; electra ; 1800 
 35 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; XF ; 30 ; Rare Breed ; 1926 
 36 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; XF+ ; 16 ; electra ; 1600 
 37 ; 20 копеек ; 1869 ; СПБ HI ; Ag ; XF ; 14 ; Pharrell ; 1400 
 38 ; 20 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 22 ; Gerodot ; 2000 
 39 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; XF ; 17 ; Pharrell ; 1530 
 40 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; XF ; 15 ; Alexdav ; 1505 
 41 ; 20 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 48 ; 878877 ; 2600 
 42 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 29 ; Продано в зале ; 1700 
 43 ; 10 копеек. в капсуле NGC ; 1893 ; СПБ АГ ; Ag ;  ; 36 ; Продано в зале ; 12000 
 44 ; 10 копеек. в капсуле NGC ; 1894 ; СПБ АГ ; Ag ;  ; 27 ; NikTop ; 17000 
 45 ; 5 копеек ; 1816 ; СПБ МФ ; Ag ; XF+ ; 41 ; Gerodot ; 3800 
 46 ; 5 копеек (Петров-3р, Ильин-4р) ; 1817 ; СПБ ПС ; Ag ; VF ; 43 ; legallegal ; 10500 
 47 ; 5 копеек ; 1819 ; СПБ ПС ; Ag ; AU ; 26 ; -- --- . ; 3629 
 48 ; 5 копеек ; 1820 ; СПБ ПС ; Ag ; XF+ ; 69 ; tisa66 ; 11000 
 49 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 29 ; tisa66 ; 6000 
 50 ; 5 копеек ; 1829 ; СПБ НГ ; Ag ; XF ; 63 ; Alex22D ; 16038 
