 92 ; 3 копейки ; 1840 ; ЕМ ; Cu ; VF-XF ; 56 ; Продано в зале ; 13000 
 93 ; 3 копейки ; 1844 ; ЕМ ; Cu ; XF ; 53 ; Продано в зале ; 15000 
 94 ; 3 копейки ; 1852 ; ЕМ ; Cu ; VF-XF ; 22 ; Продано в зале ; 3800 
 95 ; 3 копейки ; 1860 ; ЕМ ; Cu ; VF-XF ; 30 ; Продано в зале ; 3000 
 96 ; 3 копейки ; 1872 ; ЕМ ; Cu ; XF ; 28 ; Продано в зале ; 8000 
 97 ; 3 копейки ; 1877 ; СПБ ; Cu ; XF ; 64 ; бабушка ; 4590 
 98 ; 2 копейки ; 1791 ; ЕМ ; Cu ; VF-XF ; 29 ; Продано в зале ; 5200 
 99 ; 2 копейки ; 1838 ; ЕМ НА ; Cu ; XF ; 35 ; Продано в зале ; 5500 
 100 ; 2 копейки ; 1840 ; СПМ ; Cu ; VF-XF ; 11 ; Продано в зале ; 1700 
 1 ; 10 рублей (М = 12,9 г) ; 1894 ; (АГ) АГ ; Au ; XF+ ; 56 ; Boss Orange ; 369921 
 2 ; 5 рублей ; 1889 ; (АГ) Борода короче ; Au ; MS61 ; 18 ; yurbor ; 52020 
 3 ; Рубль ; 1723 ;  ; Ag ; VF-XF ; 42 ; Продано в зале ; 36000 
 4 ; Рубль ; 1729 ;  ; Ag ; VF-XF ; 35 ; ddv kv ; 37060 
 5 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 17 ; Продано в зале ; 16000 
 6 ; Рубль ; 1735 ;  ; Ag ; XF- ; 18 ; cr3609 ; 44000 
 7 ; Рубль ; 1736 ;  ; Ag ; XF ; 34 ; leo 2 ; 22667 
 8 ; Рубль ; 1737 ;  ; Ag ; VF-XF ; 16 ; Lisik ; 32000 
 9 ; Рубль ; 1738 ;  ; Ag ; XF ; 20 ; cr3609 ; 100000 
 10 ; Рубль ; 1740 ;  ; Ag ; VF-XF ; 15 ; Lisik ; 18921 
 11 ; Рубль ; 1745 ; ММД ; Ag ; VF-XF ; 20 ; Sky2 ; 18000 
 12 ; Рубль ; 1752 ; ММД Е ; Ag ; XF- ; 27 ; Продано в зале ; 22000 
 13 ; Рубль ; 1755 ; ММД МБ ; Ag ; VF-XF/VF= ; 14 ; Продано в зале ; 19000 
 14 ; Рубль ; 1756 ; СПБ IM BS ; Ag ; VF-XF/XF- ; 25 ; Продано в зале ; 32000 
 15 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; VF-XF ; 18 ; форсаж ; 9055 
 16 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+ ; 22 ; sotnik ; 6286 
 17 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF+ ; 33 ; Продано в зале ; 7000 
 18 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF ; 35 ; Продано в зале ; 12000 
