 24 ; Полтина (Петров-2,5р) ; 1736 ;  ; Ag ; VF ; 17 ; братва ; 22000 
 25 ; Полтина (Петров-3р) ; 1740 ;  ; Ag ; VF+ ; 31 ; Продано в зале ; 36000 
 26 ; Полтина (Петров-3р. Ильин-3р.) ; 1766 ; СПБ АШ ; Ag ; VF+ ; 16 ; братва ; 36000 
 27 ; 20 копеек ; 1838 ; СПБ НГ ; Ag ; VF-XF ; 58 ; SSK ; 3734 
 28 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+/AU ; 73 ; vic-dmitri ; 16000 
 29 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; XF ; 20 ; Продано в зале ; 1800 
 30 ; 15 копеек ; 1865 ; СПБ НФ ; Ag ; XF+ ; 44 ; Dude8220 ; 4000 
 31 ; 15 копеек ; 1866 ; СПБ НФ ; Ag ; XF ; 41 ; Dude8220 ; 3500 
 32 ; Гривенник ; 1769 ; СПБ TI ; Ag ; VF-XF ; 35 ; Sky2 ; 3000 
 33 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 63 ; Продано в зале ; 17000 
 34 ; 10 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 25 ; tisa66 ; 5750 
 35 ; 10 копеек ; 1853 ; СПБ HI ; Ag ; XF+ ; 19 ; tisa66 ; 3800 
 36 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 62 ; lesnik1 ; 8000 
 37 ; 10 копеек (Петров-2р) ; 1861 ; СПБ МИ ; Ag ; XF- ; 43 ; Продано в зале ; 10500 
 38 ; 10 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 62 ; Gbwwf ; 10000 
 39 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 38 ; Продано в зале ; 4600 
 40 ; 10 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 34 ; dsidorov ; 4000 
 41 ; 10 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 42 ; Gbwwf ; 12000 
 42 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 38 ; niki ; 10500 
 43 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 56 ; Gbwwf ; 20000 
 44 ; 10 копеек ; 1884 ; СПБ АГ ; Ag ; AU ; 95 ; I3 ; 22000 
 45 ; 10 копеек. Капсула ; 1900 ; СПБ ФЗ ; Ag ;  ; 37 ; I3 ; 19000 
 46 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 28 ; I3 ; 3800 
 47 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 38 ; двусторонняя пневм ; 4400 
 48 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; XF ; 10 ; madmax1390@ ; 2500 
 49 ; 5 копеек ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 46 ; I3 ; 14000 
 50 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 11 ; I3 ; 3600 
