 136 ; 5 копеек. В капсуле NGC ; 1835 ; ЕМ ФХ ; Cu ; XF 45BN ; 16 ; koll ; 1281 
 137 ; 5 копеек ; 1858 ; ЕМ ; Cu ; VF+ ; 12 ; cotangens ; 1587 
 138 ; 5 копеек. В капсуле NGC ; 1861 ; ЕМ ; Cu ; AU 53BN ; 65 ; Продано в зале ; 6200 
 139 ; 5 копеек ; 1864 ; ЕМ ; Cu ; VF-XF ; 7 ; Продано в зале ; 1600 
 140 ; 4 копейки ; 1762 ;  ; Cu ; VF- ; 29 ; pmaster ; 6732 
 141 ; 3 копейки ; 1840 ; СПМ ; Cu ; VF-XF ; 23 ; igor56 ; 2902 
 142 ; 3 копейки ; 1862 ; ВМ ; Cu ; VF+ ; 49 ; vvt ; 14847 
 143 ; 3 копейки ; 1873 ; ЕМ ; Cu ; VF-XF ; 23 ; Продано в зале ; 2200 
 144 ; 3 копейки ; 1909 ; СПБ ; Cu ; AU ; 36 ; verunk1 ; 6573 
 145 ; 2 копейки ; 1778 ; ЕМ ; Cu ; VF+ ; 10 ; Продано в зале ; 1600 
 146 ; 2 копейки Петров-8р, Ильин-3р) ; 1788 ; ММ ; Cu ; F+ ; 1 ; арбат ; 8751 
 147 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF+ ; 26 ; igor56 ; 1801 
 148 ; 2 копейки (Ильин-15р) ; 1797 ; АМ ; Cu ; F-VF ; 40 ; Продано в зале ; 45000 
 149 ; 2 копейки ; 1811 ; ЕМ НМ ; Cu ; XF+ ; 21 ; igor56 ; 3060 
 150 ; 2 копейки ; 1853 ; ЕМ ; Cu ; VF+ ; 23 ; tpls ; 1401 
 51 ; Полтина ; 1896 ; (АГ) АГ ; Ag ; XF/AU ; 18 ; Продано в зале ; 5500 
 52 ; Полтина ; 1897 ; ( * ) ; Ag ; XF/AU ; 23 ; амбал ; 7000 
 53 ; Полтина ; 1899 ; ( * ) ; Ag ; XF-/XF+ ; 29 ; Продано в зале ; 4000 
 54 ; Полтина ; 1901 ; (ФЗ) АГ ; Ag ; XF-/XF+ ; 34 ; Isay ; 20400 
 55 ; Полтина ; 1908 ; (ЭБ) АГ ; Ag ; XF- ; 36 ; Продано в зале ; 32000 
 56 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; AU ; 15 ; Продано в зале ; 9500 
 57 ; Полтина ; 1913 ; (ЭБ) АГ ; Ag ; XF+ ; 23 ; Bolt ; 6500 
 58 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF+ ; 37 ; Продано в зале ; 9000 
 59 ; Полуполтинник ; 1755 ; ММД МБ ; Ag ; XF- ; 26 ; валенок ; 7242 
 60 ; Полуполтинник ; 1765 ; ММД ЕI ТI ; Ag ; XF- ; 28 ; Sky2 ; 10067 
 61 ; 25 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 20 ; Продано в зале ; 8000 
 62 ; 20 копеек ; 1769 ; СПБ TI ; Ag ; VF+ ; 40 ; Sky2 ; 6222 
 63 ; 20 копеек ; 1815 ; СПБ МФ ; Ag ; XF+ ; 37 ; Продано в зале ; 12000 
 64 ; 20 копеек ; 1824 ; СПБ ПД ; Ag ; XF- ; 23 ; digh ; 10000 
 65 ; 20 копеек ; 1852 ; СПБ ПА ; Ag ; XF+ ; 23 ; Продано в зале ; 6200 
 66 ; 15 копеек ; 1775 ; ММД ; Ag ; VF+ ; 34 ; Продано в зале ; 7800 
 67 ; 15 копеек ; 1785 ; СПБ ; Ag ; VF-XF ; 34 ; Vitalik1 ; 4182 
 68 ; 15 копеек ; 1866 ; СПБ HI ; Ag ; AU/XF ; 28 ; verunk1 ; 7010 
 69 ; 15 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 25 ; валенок ; 3600 
 70 ; 15 копеек ; 1899 ; СПБ АГ ; Ag ; XF ; 16 ; Продано в зале ; 1900 
 71 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 11 ; Продано в зале ; 4200 
 72 ; Гривенник ; 1757 ; МБ ; Ag ; XF/XF- ; 17 ; leo 2 ; 5225 
 73 ; Гривенник ; 1778 ; СПБ ; Ag ; VF-XF ; 5 ; Продано в зале ; 3600 
 74 ; Гривенник ; 1788 ; СПБ ; Ag ; XF ; 9 ; Продано в зале ; 14000 
 75 ; 10 копеек ; 1798 ; СМ МБ ; Ag ; XF ; 44 ; Продано в зале ; 36000 
 76 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF ; 18 ; benc ; 15300 
 77 ; 10 копеек (Петров-5р, Ильин-5р) ; 1832 ; СПБ НГ ; Ag ; VF+ ; 31 ; Isay ; 15810 
 78 ; 10 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 10 ; Продано в зале ; 5000 
 79 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 19 ; Продано в зале ; 7200 
 80 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 15 ; Lisik ; 4200 
 81 ; 10 копеек ; 1899 ; СПБ ЭБ ; Ag ; AU ; 27 ; Продано в зале ; 7000 
 82 ; 5 копеек ; 1758 ; СПБ ; Ag ; XF- ; 25 ; Продано в зале ; 2800 
 83 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 8 ; Lisik ; 2155 
 84 ; 5 копеек ; 1825 ; СПБ ПД ; Ag ; XF+ ; 16 ; Продано в зале ; 3200 
 85 ; 5 копеек ; 1835 ; СПБ НГ ; Ag ; XF+ ; 17 ; Продано в зале ; 2600 
 86 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; XF/AU ; 16 ; Продано в зале ; 4200 
 87 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; XF+ ; 27 ; Продано в зале ; 4000 
 88 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; XF+ ; 15 ; Продано в зале ; 3600 
 89 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; XF+ ; 13 ; Продано в зале ; 3400 
 90 ; 5 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 54 ; verunk1 ; 9500 
 91 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; XF/AU ; 26 ; sdfg ; 6477 
 92 ; Алтын ; 1704 ; БК ; Ag ; VF+ ; 31 ; Sky2 ; 9012 
 93 ; 2 марки ; 1865 ; S Финляндия ; Ag ; AU ; 13 ; 575/575 ; 8727 
 94 ; 1 марка ; 1865 ; S Финляндия ; Ag ; AU/XF ; 11 ; Продано в зале ; 2000 
 95 ; 1 марка ; 1874 ; S Финляндия ; Ag ; AU ; 9 ; Продано в зале ; 1500 
 96 ; 50 пенни ; 1911 ; L Финляндия ; Ag ; AU ; 9 ; Продано в зале ; 520 
 97 ; 25 пенни ; 1873 ; S Финляндия ; Ag ; AU/XF ; 14 ; Продано в зале ; 2400 
 98 ; 25 пенни ; 1875 ; S Финляндия ; Ag ; AU/XF ; 11 ; Продано в зале ; 2200 
 99 ; 25 пенни ; 1897 ; L Финляндия ; Ag ; AU/XF ; 9 ; Продано в зале ; 800 
