 273 ; 2 копейки ; 1861 ; ВМ ; Cu ; VF ; 12 ; evgenijzhuk ; 3062 
 274 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 24 ; okalo ; 3222 
 275 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 7 ; Участник № 42 ; 1600 
 276 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; XF+ ; 5 ; ААФ ; 2550 
 277 ; 5 рублей ; 1863 ; СПБ МИ ; Au ; AU ; 19 ; hugo ; 55206 
 278 ; Полтина (Петров-3р). Редкая датировка ; 1863 ; СПБ АБ ; Ag ; VF-XF ; 47 ; HSS ; 47634 
 279 ; 15 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 28 ; Участник № 42 ; 3800 
 280 ; 2 копейки ; 1863 ; ЕМ ; Cu ; VF+ ; 15 ; 4758 ; 421 
 281 ; 5 копеек ; 1864 ; ЕМ ; Cu ; XF ; 19 ; HSS ; 3519 
 282 ; 3 копейки ; 1864 ; ЕМ ; Cu ; AU ; 38 ; HSS ; 14178 
 283 ; 2 копейки ; 1864 ; ЕМ ; Cu ; VF+ ; 14 ; Участник № 133 ; 1200 
 284 ; Копейка ; 1864 ; ВМ ; Cu ; VF-XF ; 20 ; HSS ; 5102 
 285 ; 15 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 31 ; okalo ; 1838 
 286 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; XF+ ; 17 ; AVA01 ; 6619 
 287 ; 5 копеек ; 1865 ; ЕМ ; Cu ; VF-XF ; 3 ; Участник № 147 ; 1600 
 288 ; Копейка ; 1865 ; ЕМ ; Cu ; XF- ; 8 ; o.k. ; 255 
 289 ; 5 копеек ; 1866 ; ЕМ ; Cu ; VF-XF ; 8 ; ААФ ; 2001 
 290 ; 5 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 18 ; Участник № 1078 ; 9000 
 291 ; 20 копеек ; 1868 ; СПБ HI ; Ag ; XF+ ; 6 ; luda ; 1022 
 292 ; 15 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 26 ; AVA01 ; 7650 
 293 ; Копейка ; 1869 ; ЕМ ; Cu ; XF- ; 17 ; ААФ ; 1001 
 294 ; Рубль ; 1872 ; СПБ HI ; Ag ; VF+ ; 23 ; sas ; 10314 
 295 ; Полтина. Редкая датировка ; 1872 ; СПБ HI ; Ag ; XF+ ; 35 ; Участник № 9 ; 120000 
 296 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; XF+ ; 12 ; luda ; 2380 
 297 ; Копейка ; 1875 ; ЕМ ; Cu ; AU ; 32 ; berson ; 6834 
 298 ; 2 копейки ; 1876 ; СПБ ; Cu ; AU ; 23 ; HSS ; 9000 
 299 ; 5 рублей ; 1877 ; СПБ НI ; Au ; AU ; 11 ; Участник № 30 ; 40000 
 300 ; 5 рублей ; 1877 ; СПБ НI ; Au ; AU/XF+ ; 13 ; Участник № 30 ; 33000 
 201 ; 25 копеек ; 1839 ; СПБ НГ ; Ag ; XF+ ; 17 ; sem ; 4182 
 202 ; 5 рублей ; 1840 ; СПБ АЧ ; Au ; XF ; 7 ; Участник № 132 ; 21000 
 203 ; Рубль (Ильин-5р).  Ошибка ЗОЛОТННКА ; 1840 ; СПБ НГ ; Ag ; VF-XF/VF+ ; 52 ; Участник № 9 ; 15000 
 204 ; 3/4 рубля-5 злотых ; 1840 ; MW Рус.-Пол. ; Ag ; VF+ ; 18 ; finger ; 4087 
 205 ; 10 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU ; 13 ; luda ; 1836 
 206 ; 5 копеек ; 1840 ; СПБ НГ ; Ag ; XF ; 25 ; Участник № 147 ; 9000 
 207 ; 3 копейки ; 1840 ; ЕМ ; Cu ; VF+ ; 18 ; ААФ ; 2043 
 208 ; 3 копейки ; 1840 ; ЕМ ; Cu ; VF+ ; 20 ; monos72 ; 3406 
 209 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF- ; 8 ; abakan ; 4200 
 210 ; Копейка. Инкузный след от застрявшей в штемпеле монеты ; 1841 ; СПМ ; Cu ; F-VF ; 11 ; hummer ; 2001 
 211 ; 1/4 копейки ; 1841 ; СПМ ; Cu ; VF-XF ; 9 ; ААФ ; 510 
 212 ; Полтина ; 1842 ; СПБ АЧ ; Ag ; XF- ; 37 ; vid ; 10050 
 213 ; 3 копейки ; 1842 ; ЕМ ; Cu ; VF+ ; 13 ; ААФ ; 867 
 214 ; 1/4 копейки ; 1842 ; СПМ ; Cu ; XF- ; 8 ; ААФ ; 467 
 215 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; AU ; 18 ; sem ; 16200 
 216 ; Рубль ; 1843 ; MW ; Ag ; VF-XF ; 21 ; Basilio ; 8159 
