 287 ; Копейка ; 1891 ; СПБ ; Cu ; AU ; 15 ; Глол ; 2550 
 288 ; 1/2 копейки ; 1892 ; СПБ ; Cu ; AU ; 25 ; kol ; 5100 
 289 ; 1/4 копейки ; 1892 ; СПБ ; Cu ; AU ; 19 ; Участник № 16 ; 3800 
 290 ; 1/2 копейки ; 1893 ; СПБ ; Cu ; AU ; 11 ; kol ; 2800 
 291 ; Полтина. Ремонт гурта 12 часов ; 1894 ; (АГ) ; Ag ; VF-XF ; 11 ; Участник № 62 ; 3200 
 292 ; 3 копейки ; 1895 ; СПБ ; Cu ; AU ; 278 ; Ghb ; 10098 
 293 ; Копейка ; 1895 ; СПБ ; Cu ; XF+ ; 5 ; ZOLTAN333 ; 1019 
 294 ; Полтина ; 1896 ; ( * ) ; Ag ; XF+ ; 3 ; Участник № 62 ; 2600 
 295 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 48 ; Участник № 16 ; 4400 
 296 ; Копейка ; 1896 ; СПБ ; Cu ; AU ; 7 ; Участник № 133 ; 2200 
 297 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF+/AU ; 86 ; Участник № 1179 ; 8500 
 298 ; Рубль (редкий) ; 1898 ; (АГ) На открытие папмятника Ал ; Ag ; XF+ ; 21 ; Участник № 640 ; 170000 
 299 ; Рубль ; 1898 ; (АГ) ; Ag ; AU ; 27 ; Участник № 1179 ; 9500 
 300 ; 10 копеек ; 1898 ; СПБ АГ ; Ag ; AU ; 60 ; Участник № 147 ; 1900 
 201 ; 10 копеек (Ильин-3р) ; 1837 ; СМ ; Cu ; F-VF ; 41 ; Глол ; 26000 
 202 ; 5 копеек ; 1837 ; ЕМ НА ; Cu ; VF-XF ; 7 ; Участник № 51 ; 5500 
 203 ; 15 копеек-1 злотый ; 1838 ; НГ Рус.-Пол. ; Ag ; XF- ; 15 ; Ghb ; 2142 
 204 ; 5 копеек ; 1838 ; СПБ НГ ; Ag ; AU ; 23 ; Участник № 4 ; 6500 
 205 ; Полтина ; 1839 ; СПБ НГ ; Ag ; XF- ; 7 ; Участник № 132 ; 7500 
 206 ; 25 копеек ; 1839 ; СПБ НГ ; Ag ; XF+ ; 9 ; Участник № 133 ; 3200 
 207 ; Копейка ; 1840 ; СПМ ; Cu ; VF-XF ; 5 ; AVA 101 ; 255 
 208 ; 1,5 рубля-10 злотых ; 1841 ; MW Рус.-Пол. ; Ag ; XF-/VF+ ; 36 ; TDN ; 14282 
 209 ; 3/4 рубля-5 злотых ; 1841 ; MW Рус.-Пол. ; Ag ; VF-XF ; 20 ; Alexdav ; 7202 
 210 ; 1/4 копейки ; 1841 ; СПМ ; Cu ; XF- ; 5 ; AVA 101 ; 255 
 211 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF+ ; 13 ; Участник № 147 ; 7500 
 212 ; Рубль ; 1842 ; MW ; Ag ; XF ; 9 ; kor ; 7500 
 213 ; 10 копеек ; 1842 ; СПБ АЧ ; Ag ; XF- ; 30 ; Участник № 42 ; 8500 
 214 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; AU/XF+ ; 32 ; Участник № 1177 ; 7000 
 215 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF ; 9 ; Участник № 9 ; 4200 
 216 ; 3 копейки ; 1843 ; ЕМ ; Cu ; VF-XF ; 13 ; Участник № 9 ; 1400 
 217 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF+ ; 33 ; Участник № 132 ; 8500 
 218 ; Рубль (Петров-5р). Герб 1842 года ; 1844 ; MW ; Ag ; VF+ ; 46 ; A.G. ; 15810 
 219 ; модуль полуимпериала ; 1845 ;  ; Ag ; AU ; 36 ; Участник № 9 ; 44000 
 220 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 45 ; 1088 ; 7500 
 221 ; Рубль ; 1846 ; СПБ ПА ; Ag ; AU ; 89 ; gerz ; 10000 
 222 ; 3 копейки ; 1847 ; СМ ; Cu ; VF+ ; 22 ; fikus ; 4408 
 223 ; Полтина ; 1848 ; СПБ HI ; Ag ; XF+ ; 36 ; Участник № 62 ; 4600 
 224 ; 5 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 32 ; vvt ; 3060 
 225 ; 5 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 48 ; monos72 ; 10200 
 226 ; 25 копеек ; 1850 ; СПБ ПА ; Ag ; AU/XF+ ; 20 ; Участник № 133 ; 2700 
 227 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 37 ; Участник № 133 ; 3400 
 228 ; Копейка ; 1851 ; ВМ ; Cu ; AU ; 23 ; Участник № 30 ; 6000 
 229 ; Полушка ; 1851 ; ЕМ ; Cu ; AU ; 7 ; Участник № 133 ; 2500 
