 90 ; 3 копейки (Ильин-1р) ; 1858 ; ВМ ; Cu ; VF- ; 46 ; TDN ; 4558 
 91 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF ; 25 ; Sky2 ; 5000 
 92 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 33 ; bazis ; 5007 
 93 ; Полушка ; 1859 ; ЕМ ; Cu ; XF+ ; 30 ; Участник № 51 ; 2600 
 94 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 9 ; rused ; 1022 
 95 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 20 ; Участник № 9 ; 3000 
 96 ; 20 копеек ; 1861 ; СПБ ; Ag ; AU ; 7 ; Участник № 222 ; 1100 
 97 ; 15 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 5 ; Участник № 9 ; 3000 
 98 ; 15 копеек ; 1861 ; СПБ ; Ag ; AU ; 19 ; 462 ; 1504 
 99 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 11 ; ААФ ; 1000 
 100 ; 15 копеек ; 1862 ; СПБ МИ ; Ag ; XF+ ; 9 ; Участник № 222 ; 1050 
 1 ; Полтина (Петров-4р) ; 1724 ;  ; Ag ; VF+ ; 65 ; monos72 ; 32130 
 2 ; Рубль ; 1725 ; СПБ ; Ag ; VF ; 33 ; Участник № 1 ; 33000 
 3 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; F-VF ; 32 ; lsp25 ; 1428 
 4 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; F-VF ; 20 ; OMT ; 3200 
 5 ; Рубль ; 1734 ;  ; Ag ; VF-XF ; 41 ; Участник № 222 ; 19000 
 6 ; Денга ; 1734 ;  ; Cu ; XF ; 9 ; Участник № 222 ; 3200 
 7 ; Денга ; 1735? ;  ; Cu ; VF- ; 38 ; Участник № 51 ; 1300 
 8 ; Рубль ; 1738 ; СПБ ; Ag ; VF/VF+ ; 17 ; Участник № 1739 ; 15500 
 9 ; Гривенник ; 1747 ;  ; Ag ; VF+ ; 29 ; Участник № 7 ; 1700 
 10 ; Денга ; 1747 ;  ; Cu ; VF ; 20 ; Участник № 1390 ; 850 
 11 ; Копейка (Петров-2р, Ильин-1р) ; 1756 ;  ; Cu ; F-VF ; 60 ; Участник № 7 ; 5400 
 12 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF+ ; 22 ; Участник № 66 ; 700 
 13 ; 2 копейки (Петров-10р, Ильин-3р) ; 1758 ;  ; Cu ; VF- ; 51 ; Участник № 9 ; 6800 
 14 ; 4 копейки ; 1762 ;  ; Cu ; VF- ; 37 ; мяу ; 10665 
 15 ; 2 копейки ; 1763 ; СПМ ; Cu ; VF+ ; 24 ; Участник № 51 ; 3200 
 16 ; Копейка (Петров-15р, Ильин-8р) ; 1764 ; СПМ ; Cu ; F+ ; 46 ; polushka ; 8426 
 17 ; 10 копеек (Петров-6р, Ильин-3р) ; 1766 ; "Сибирь" ; Cu ; F-VF ; 43 ; Участник № 2 ; 21000 
 18 ; 20 копеек ; 1771 ; СПБ TI ; Ag ; VF+ ; 26 ; Участник № 1442 ; 4800 
 19 ; 5 копеек ; 1771 ; ЕМ ; Cu ; VF+ ; 17 ; Участник № 114 ; 650 
 20 ; Рубль (Петров-12р, Ильин-5р, редкий) ; 1772 ; СПБ ЯЧ TИ ; Ag ; VF- ; 36 ; TDN ; 20000 
 21 ; 2 пара-3 копейки  (Петров-1,5р) ; 1772 ; Валахия ; Cu ; VF- ; 36 ; Участник № 222 ; 8000 
 22 ; Копейка ; 1777 ; КМ "Сибирь" ; Cu ; VF ; 15 ; lvd ; 2400 
 23 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF ; 22 ; Участник № 1866 ; 2700 
 24 ; 2 копейки ; 1778 ; КМ "Сибирь" ; Cu ; VF ; 15 ; Участник № 1866 ; 1500 
 25 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF+ ; 45 ; Участник № 1739 ; 5000 
 26 ; Денга ; 1779 ; КМ "Сибирь" ; Cu ; F-VF ; 34 ; Участник № 1866 ; 750 
 27 ; 10 копеек (Петров-1,5р) ; 1781 ; КМ "Сибирь" ; Cu ; VF-XF ; 43 ; Участник № 1866 ; 8500 
 28 ; Копейка. Шахин-Гирей (5-ый год правления) ; 1781 ;  ; Cu ; F-VF ; 9 ; Участник № 66 ; 650 
 29 ; Рубль (Петров-5р, Ильин-8р) ; 1784 ; СПБ ММ TI ; Ag ; F+ ; 21 ; Участник № 222 ; 4500 
 30 ; 5 копеек ; 1784 ; КМ ; Cu ; XF- ; 44 ; Участник № 2 ; 3000 
 31 ; Денга (Петров-1р) ; 1785 ; КМ ; Cu ; VF+ ; 26 ; Участник № 1390 ; 1200 
 32 ; 2 копейки ; 1788 ; ММ ; Cu ; F-VF ; 5 ; Участник № 66 ; 500 
