 92 ; Копейка ; 1820 ; КМ АД ; Cu ; VF+ ; 25 ; Продано в зале ; 2500 
 93 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; XF ; 19 ; 550055 ; 1266 
 94 ; Копейка ; 1852 ; ЕМ ; Cu ; XF+ ; 71 ; Продано в зале ; 10000 
 95 ; Копейка ; 1891 ; СПБ ; Cu ; AU ; 56 ; Продано в зале ; 9500 
 96 ; Копейка ; 1898 ; СПБ ; Cu ; XF+ ; 11 ; ervin ; 2369 
 97 ; Денга. Петербургский тип вензеля ; 1768 ; ЕМ ; Cu ; F ; 26 ; Pablo1 ; 11000 
 98 ; Денежка ; 1850 ; ЕМ ; Cu ; XF+ ; 31 ; Продано в зале ; 5500 
 99 ; Денежка ; 1855 ; ЕМ ; Cu ; XF ; 29 ; 222211 ; 3055 
 100 ; 1/2 копейки ; 1869 ; СПБ ; Cu ; XF ; 133 ; ct200h ; 12000 
 1 ; Дукат. Нидерланды. Петербургской чеканки ; 1838 ;  ; Au ; XF+ ; 46 ; Isay ; 30246 
 2 ; Рубль ; 1721 ;  ; Ag ; VF+ ; 50 ; Костян 92 ; 42505 
 3 ; Рубль ; 1724 ; СПБ ; Ag ; VF-XF ; 54 ; Продано в зале ; 120000 
 4 ; Рубль ; 1724 ;  ; Ag ; VF+ ; 42 ; sax ; 31317 
 5 ; Рубль ; 1732 ;  ; Ag ; XF ; 32 ; Trevor ; 27542 
 6 ; Рубль ; 1733 ;  ; Ag ; AU ; 25 ; Продано в зале ; 92500 
 7 ; Рубль ; 1736 ;  ; Ag ; XF+ ; 36 ; Trevor ; 46670 
 8 ; Рубль ; 1737 ;  ; Ag ; XF+ ; 35 ; Продано в зале ; 49000 
 9 ; Рубль. Следы перечекана ; 1742 ; СПБ ; Ag ; XF ; 28 ; Продано в зале ; 38000 
 10 ; Рубль (Петров-3р) ; 1751 ; ММД ; Ag ; VF-XF ; 39 ; Костян 92 ; 21200 
 11 ; Рубль (Петров-7р, Ильин-5р) ; 1754 ; ММД МБ ; Ag ; XF+/XF- ; 40 ; Продано в зале ; 64000 
 12 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; XF/AU ; 54 ; Продано в зале ; 40000 
 13 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; AU ; 32 ; AG ; 32640 
 14 ; Рубль ; 1770 ; СПБ ЯЧ ; Ag ; XF/AU ; 46 ; Продано в зале ; 26000 
 15 ; Рубль ; 1771 ; СПБ ЯЧ TI ; Ag ; XF ; 42 ; Продано в зале ; 25000 
 16 ; Рубль (Петров-12р, Ильин-5р) ; 1772 ; СПБ ЯЧ TИ ; Ag ; VF-XF/XF- ; 23 ; Продано в зале ; 62000 
 17 ; Рубль. Ильин-4 р. ; 1837 ; СПБ НГ ; Ag ; XF- ; 26 ; Trevor ; 35000 
 18 ; Рубль ; 1844 ; СПБ КБ ; Ag ; AU ; 33 ; Trevor ; 22984 
 19 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF+ ; 24 ; Trevor ; 23462 
 20 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF+ ; 27 ; Trevor ; 22386 
 21 ; Рубль. Петров-4 р. ; 1852 ; СПБ HI ; Ag ; XF ; 52 ; Продано в зале ; 28000 
 22 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF ; 50 ; Trevor ; 20221 
 23 ; Рубль ; 1855 ; СПБ HI ; Ag ; XF ; 34 ; нумизмат ; 24384 
 24 ; Рубль ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 39 ; Trevor ; 16630 
 25 ; Рубль ; 1875 ; СПБ HI ; Ag ; XF+ ; 21 ; Продано в зале ; 29000 
 26 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 56 ; polo1 ; 37241 
 27 ; Рубль ; 1892 ; (АГ) ; Ag ; XF ; 33 ; Trevor ; 31112 
 28 ; Рубль ; 1893 ; (АГ) ; Ag ; XF-/XF+ ; 71 ; Продано в зале ; 32000 
 29 ; Рубль ; 1899 ; (ФЗ) ; Ag ; AU/XF ; 18 ; Продано в зале ; 17000 
 30 ; Полтина ; 1852 ; СПБ ПА ; Ag ; AU/XF ; 26 ; ervin ; 17175 
 31 ; Полтина ; 1855 ; СПБ HI ; Ag ; AU/XF ; 30 ; нумизмат ; 17146 
 32 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 29 ; Продано в зале ; 13000 
 33 ; Полтина ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 24 ; Костян 92 ; 17907 
 34 ; Полуполтинник ; 1779 ; СПБ ФЛ ; Ag ; XF+ ; 32 ; Продано в зале ; 34000 
 35 ; 25 копеек ; 1840 ; СПБ НГ ; Ag ; AU/XF ; 24 ; Продано в зале ; 28000 
 36 ; 25 копеек ; 1852 ; СПБ ПА ; Ag ; XF+ ; 26 ; Продано в зале ; 4600 
