 5452 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 9 ; 54заза ; 239 
 5453 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 9 ; 54заза ; 239 
 5454 ; 2 доллара Белиз ;  ;  ;  ; AU ; 19 ; Maxim914 ; 149 
 5455 ; 5 долларов Восточные Карибы ;  ;  ;  ; AU ; 35 ; S.P. ; 350 
 5456 ; Бона иностранная. Великобритания ;  ;  ;  ;  ; 13 ; krugerrand ; 161 
 5457 ; Бона иностранная. Канада ;  ;  ;  ;  ; 11 ; гудзон ; 111 
 5458 ; Бона иностранная. Канада ;  ;  ;  ;  ; 39 ; гус4 ; 144 
 5459 ; Бона иностранная. Канада ;  ;  ;  ;  ; 11 ; avs ; 153 
 5460 ; Бона иностранная Канада ; 1986 ;  ;  ; AU ; 13 ; Плутос ; 183 
 5461 ; Бона иностранная Каймановы о-ва ; 2006 ;  ;  ; AU ; 11 ; Olimpia ; 283 
 5462 ; 100 долларов Гвиана ;  ;  ;  ; AU ; 10 ; xxxl ; 102 
 5463 ; Бона иностранная Гаяна ;  ;  ;  ; AU ; 9 ; grimbo ; 114 
 5464 ; 1 песо Аргентина ;  ;  ;  ;  ; 13 ; banks ; 126 
 5465 ; 100 песо Аргентина ;  ;  ;  ;  ; 3 ; vladmarkin ; 11 
 5466 ; Лот бон 2 шт. Бразилия ;  ;  ;  ; AU ; 28 ; fadeev.dima ; 159 
 5467 ; Лот бон 3 шт. Никарагуа ;  ;  ;  ; AU ; 8 ; tolegv ; 35 
 5468 ; Лот бон иностранных 4 шт ;  ;  ;  ; AU ; 8 ; xxxl ; 114 
 5469 ; Бона иностранная Израиль ;  ;  ;  ;  ; 15 ; sos1 ; 357 
 5470 ; Бона иностранная Израиль ;  ;  ;  ; AU ; 25 ; andreygrishinspb ; 520 
 5471 ; Бона иностранная Израиль ;  ;  ;  ;  ; 10 ; Жигурда ; 114 
 5472 ; Бона иностранная Израиль ;  ;  ;  ;  ; 9 ; ufa ; 153 
 5473 ; Бона иностранная Израиль ;  ;  ;  ;  ; 16 ; Lex2000 ; 104 
 5474 ; Бона иностранная Израиль ;  ;  ;  ; AU ; 17 ; Жигурда ; 159 
 5475 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 21 ; alesjane ; 70 
 5476 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 69 ; Lex2000 ; 257 
 5477 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 9 ; ufa ; 60 
 5478 ; Бона иностранная Индонезия ;  ;  ;  ;  ; 3 ; Вадим Скифский ; 11 
 5479 ; Бона иностранная Катар ;  ;  ;  ; AU ; 62 ; Maxim914 ; 160 
 5480 ; Лот бон иностранных 2 шт ;  ;  ;  ; AU ; 57 ; Моряк-собиратель ; 420 
 5481 ; 5 динар Ливия ;  ;  ;  ;  ; 25 ; 6x6 ; 138 
 5482 ; 5 динар Тунис ;  ;  ;  ;  ; 20 ; tolegv ; 126 
 5483 ; 5 динар Тунис ;  ;  ;  ;  ; 13 ; ufa ; 104 
 5384 ; 1 доллар США ; 1957 ;  ;  ;  ; 23 ; boroda ; 340 
 5385 ; 1 доллар США ; 1957 ;  ;  ;  ; 14 ; boroda ; 255 
 5386 ; Бона иностранная. США ;  ;  ;  ;  ; 11 ; heavy_fly ; 304 
 5387 ; 1  доллар США ; 1957 ;  ;  ;  ; 10 ; puhetv ; 255 
 5388 ; 1  доллар США ; 1957 ;  ;  ;  ; 12 ; Нумик2016 ; 227 
 5389 ; 1  доллар США ; 1963 ;  ;  ;  ; 37 ; vasianao ; 466 
 5390 ; 1  доллар США ; 1963 ;  ;  ;  ; 14 ; Моряк-собиратель ; 255 
 5391 ; 1  доллар США ; 1969 ;  ;  ;  ; 50 ; heavy_fly ; 517 
 5392 ; 2 доллара США ; 2013 ;  ;  ; AU ; 19 ; Smart ; 165 
 5393 ; Лист бон США (4шт): 1 доллар. Сертификат, альбом ;  ;  ;  ;  ; 38 ; heavy_fly ; 1062 
 5394 ; Бона иностранная ;  ;  ;  ;  ; 13 ; alesjane ; 101 
 5395 ; 20 шиллингов Австрия ; 1967 ;  ;  ;  ; 48 ; Maxim914 ; 159 
 5396 ; 50 шиллингов Австрия ; 1970 ;  ;  ;  ; 24 ; ufa ; 155 
 5397 ; 100 шиллингов Австрия ; 1969 ;  ;  ;  ; 31 ; Lex2000 ; 257 
