 21 ; Рубль ; 1872 ; СПБ HI ; Ag ; XF- ; 21 ; 16 ; 14407 
 22 ; Рубль ; 1873 ; СПБ HI ; Ag ; XF+ ; 62 ; Горюн ; 64505 
 23 ; Рубль ; 1877 ; СПБ HI ; Ag ; AU/XF ; 5 ; serg2010 ; 5779 
 24 ; Рубль ; 1880 ; СПБ НФ ; Ag ; XF- ; 15 ; Продано в зале ; 10500 
 25 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF+ ; 34 ; serg2010 ; 18360 
 26 ; Рубль ; 1892 ; (АГ) ; Ag ; VF-XF ; 12 ; Олег2401 ; 10314 
 27 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF ; 34 ; Продано в зале ; 18500 
 28 ; Рубль ; 1912 ; (ЭБ) На открытие памятника Александру III ; Ag ; XF ; 59 ; Продано в зале ; 410000 
 29 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU ; 45 ; Продано в зале ; 72000 
 30 ; 3/4 рубля-5 злотых ; 1839 ; MW Рус.-Пол. ; Ag ; VF-XF ; 19 ; verunk1 ; 6120 
 31 ; Полтина ; 1858 ; СПБ ФБ ; Ag ; XF ; 16 ; serg2010 ; 6600 
 32 ; Полтина ; 1866 ; СПБ НФ ; Ag ; XF- ; 33 ; Горюн ; 43862 
 33 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF ; 8 ; Эфес ; 7200 
 34 ; 25 копеек ; 1833 ; СПБ НГ ; Ag ; VF+ ; 19 ; Горюн ; 5400 
 35 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 22 ; Продано в зале ; 5600 
 36 ; 20 копеек ; 1827 ; СПБ НГ ; Ag ; VF+ ; 48 ; Продано в зале ; 7600 
 37 ; 20 копеек ; 1835 ; СПБ НГ ; Ag ; VF-XF ; 34 ; 16 ; 3053 
 38 ; 20 копеек ; 1857 ; СПБ ФБ ; Ag ; AU/XF ; 46 ; verunk1 ; 7615 
 39 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 22 ; tisa66 ; 2244 
 40 ; 20 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 18 ; Алексей Викторович ; 2313 
 41 ; 20 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 47 ; tisa66 ; 4095 
 42 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 46 ; verunk1 ; 4379 
 43 ; 15 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 13 ; verunk1 ; 1700 
 44 ; Гривенник ; 1770 ; ММД ; Ag ; VF ; 37 ; ZOLTAN333 ; 6788 
 45 ; Гривенник ; 1770 ; СПБ TI ; Ag ; XF- ; 25 ; ВС ; 9907 
 46 ; 10 копеек ; 1805 ; СПБ ФГ ; Ag ; XF- ; 63 ; Горюн ; 44382 
 47 ; 10 копеек (Ильин-3р) ; 1819 ; СПБ ПС ; Ag ; VF ; 27 ; Продано в зале ; 3100 
 48 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; XF ; 17 ; verunk1 ; 2600 
 49 ; 10 копеек ; 1861 ; СПБ ; Ag ; AU ; 8 ; Продано в зале ; 1100 
 50 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 17 ; нумизмат ; 1838 
