 153 ; 3 копейки ; 1843 ; ЕМ ; Cu ; VF+ ; 18 ; Продано в зале ; 1350 
 53 ; 15 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 76 ; Продано в зале ; 2100 
 54 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 24 ; VAP20 ; 1375 
 55 ; 15 копеек ; 1917 ; ВС ; Ag ;  ; 27 ; ЛАВ-13 ; 5712 
 56 ; Гривенник ; 1783 ; СПБ ; Ag ;  ; 32 ; Продано в зале ; 9000 
 57 ; 10 копеек ; 1811 ; СПБ ФГ ; Ag ; VF+ ; 18 ; Продано в зале ; 4000 
 58 ; 10 копеек ; 1815 ; СПБ МФ ; Ag ; VF-XF ; 18 ; taa ; 1600 
 59 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU/XF ; 21 ; Продано в зале ; 15500 
 60 ; 10 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 13 ; Продано в зале ; 950 
 61 ; 10 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 8 ; tisa66 ; 2457 
 62 ; 10 копеек ; 1870 ; СПБ HI ; Ag ; XF+ ; 12 ; Продано в зале ; 3600 
 63 ; 10 копеек ; 1871 ; СПБ HI ; Ag ; XF+ ; 26 ; ravs ; 2246 
 64 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 17 ; ravs ; 3174 
 65 ; 10 копеек ; 1891 ; СПБ АГ ; Ag ; AU/XF ; 19 ; Isay ; 3291 
 66 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 71 ; Vitalik1 ; 10202 
 67 ; 10 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 22 ; Эфес ; 3276 
 68 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 43 ; ЛАВ-13 ; 5658 
 69 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 45 ; Продано в зале ; 13000 
 70 ; 5 копеек ; 1857 ; СПБ ФБ ; Ag ; XF+ ; 23 ; Продано в зале ; 14000 
 71 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 34 ; нумизмат ; 21329 
 72 ; 5 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 67 ; Продано в зале ; 12500 
 73 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 48 ; нумизмат ; 6122 
 74 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 69 ; Продано в зале ; 9200 
 75 ; 5 копеек ; 1872 ; СПБ HI ; Ag ; UNC/AU ; 51 ; Продано в зале ; 74000 
