 26 ; 5 копеек ; 1761 ; СПБ ; Ag ; VF+ ; 37 ; Sky2 ; 7000 
 27 ; 5 копеек (Петров-3р) ; 1797 ; СМ ФЦ ; Ag ; VF- ; 77 ; Путеец ; 28000 
 28 ; Алтын (Петров-2р) ; 1712 ;  ; Ag ; VF ; 92 ; max96 ; 38100 
 29 ; Копейка (Петров-2р) ; 1718 ; L перевернута ; Ag ; VF ; 61 ; 333985 ; 22000 
 30 ; Копейка (Петров-2р) ; 1718 ; L перевернута ; Ag ; VF ; 57 ; Продано в зале ; 20000 
 31 ; Копейка (Петров-5р) ; 1718 ;  ; Ag ; VF ; 79 ; 333985 ; 40000 
 32 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; XF ; 35 ; I3 ; 10500 
 33 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; VF+ ; 27 ; sdv75-2010 ; 3600 
 34 ; 5 копеек ; 1727 ; КД Дата снизу вверх ; Cu ; VF- ; 38 ; I3 ; 3400 
 35 ; 5 копеек ; 1729 ; МД Хвост узкий ; Cu ; VF ; 26 ; Hokusai ; 4800 
 36 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF ; 26 ; 324ууц32 ; 3400 
 37 ; 5 копеек. Подделка в ущерб обращения. М-10,6г ; 1737 ;  ; Cu ; F+ ; 23 ; Брат ; 10000 
 38 ; 5 копеек ; 1764 ; СПМ ; Cu ; F+ ; 22 ; CapsulЪ ; 4200 
 39 ; 5 копеек (Петров-3р, Ильин-5р) ; 1767 ; СПМ ; Cu ; F-VF ; 63 ; Rarik ; 20000 
 40 ; 5 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 16 ; Чук ; 4900 
 41 ; 5 копеек (Ильин-5р) ; 1788 ; ЕМ ; Cu ; VF ; 45 ; Hokusai ; 17000 
 42 ; 5 копеек ; 1792 ; КМ ; Cu ; VF-XF ; 37 ; sdv75-2010 ; 2800 
 43 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF- ; 46 ; Продано в зале ; 8500 
 44 ; 5 копеек ; 1803 ; ЕМ ; Cu ; VF+ ; 7 ; sm-dc ; 3400 
 45 ; 5 копеек ; 1804 ; ЕМ ; Cu ; VF-XF ; 25 ; поехали ; 3434 
 46 ; 2 копейки . Гурт Московского двора. Базовый каталог 191/250. R3 ; 1757 ; Гурт надп. МОСКВА ; Cu ; VF ; 73 ; Rumpel ; 40000 
 47 ; 2 копейки ; 1757 ; Номинал над гербом ; Cu ; VF-XF ; 87 ; Alexdav ; 9500 
 48 ; 2 копейки ; 1758 ;  ; Cu ; VF+ ; 20 ; Rumpel ; 1200 
 49 ; 2 копейки ; 1762 ;  ; Cu ; VF- ; 35 ; Hokusai ; 9000 
 50 ; 2 копейки ; 1762 ;  ; Cu ; F ; 52 ; eastern wind ; 5250 
