 100 ; 1/2 копейки ; 1840 ; СМ ; Cu ; VF ; 7 ; Sky2 ; 150 
 1 ; 5 рублей. М-6,47гр ; 1818 ; СПБ МФ ; Au ; VF+ ; 30 ; каламбурчик ; 91800 
 2 ; Рубль ; 1724 ; СПБ ; Ag ; VF ; 30 ; AVA ; 74607 
 3 ; Рубль (Петров-3р). Гравировка ; 1727 ;  ; Ag ; VF+ ; 19 ; WOK ; 29000 
 4 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 27 ; int1965708 ; 30702 
 5 ; Рубль. В капсуле NGC ; 1732 ;  ; Ag ; AU 55 ; 35 ; Продано в зале ; 36000 
 6 ; Рубль ; 1732 ;  ; Ag ; VF-XF ; 26 ; Продано в зале ; 22000 
 7 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 8 ; AVA ; 18364 
 8 ; Рубль ; 1742 ; ММД ; Ag ; VF ; 22 ; Продано в зале ; 18000 
 9 ; Рубль ; 1748 ; СПБ ; Ag ; XF- ; 31 ; Продано в зале ; 30000 
 10 ; Рубль (Петров-3р) ; 1749 ; ММД ; Ag ; XF- ; 33 ; WOK ; 18289 
 11 ; Рубль (Петров-3р) ; 1750 ; ММД ; Ag ; XF- ; 32 ; амбал ; 18360 
 12 ; Рубль ; 1752 ; ММД IШ ; Ag ; VF+ ; 35 ; 2372 ; 11220 
 13 ; Рубль ; 1754 ; СПБ ЯI ; Ag ; VF+/XF- ; 21 ; Восток ; 19266 
 14 ; Рубль ; 1755 ; ММД МБ ; Ag ; VF-XF ; 9 ; AVA ; 21000 
 15 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; XF ; 26 ; Trien ; 21420 
 16 ; Рубль ; 1768 ; ММД EI ; Ag ; VF-XF ; 38 ; Продано в зале ; 20000 
 17 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF+ ; 27 ; Продано в зале ; 16000 
 18 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF ; 36 ; Продано в зале ; 18000 
 19 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF+ ; 52 ; Продано в зале ; 34000 
 20 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; XF- ; 51 ; avka ; 15302 
 21 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; VF-XF ; 16 ; Продано в зале ; 16000 
 22 ; Рубль ; 1799 ; СМ МБ ; Ag ; VF-XF ; 35 ; pda ; 20202 
 23 ; Рубль ; 1809 ; СПБ МК ; Ag ; VF+ ; 65 ; джокер ; 10404 
 24 ; Рубль ; 1819 ; СПБ ПС ; Ag ; XF- ; 23 ; Продано в зале ; 8500 
 25 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF+ ; 20 ; vc57 ; 80000 
 26 ; Рубль ; 1841 ; СПБ НГ ; Ag ; XF+ ; 14 ; $$$ ; 8215 
 27 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF+ ; 35 ; Продано в зале ; 12000 
 28 ; Рубль ; 1849 ; СПБ ПА ; Ag ; AU/XF ; 46 ; каламбурчик ; 17344 
 29 ; Рубль (Петров-3р) ; 1858 ; СПБ ФБ ; Ag ; VF-XF ; 15 ; Продано в зале ; 22000 
 30 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF ; 25 ; Продано в зале ; 51000 
 31 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 24 ; Jora-05 ; 10000 
 32 ; Полтина ; 1798 ; СМ МБ ; Ag ; VF+ ; 37 ; vvt ; 28152 
 33 ; Полтина ; 1831 ; СПБ НГ ; Ag ; VF+/XF- ; 19 ; kucz.79 ; 11000 
 34 ; Полтина ; 1839 ; СПБ НГ ; Ag ; XF- ; 19 ; спарта ; 2550 
 35 ; Полуполтинник ; 1754 ; ММД МБ ; Ag ; XF- ; 29 ; AVA ; 8108 
 36 ; 25 копеек ; 1836 ; СПБ НГ ; Ag ; XF+ ; 17 ; Продано в зале ; 6200 
 37 ; 25 копеек-50 грошей ; 1847 ; MW Рус.-Пол. ; Ag ; VF-XF ; 34 ; Продано в зале ; 7500 
 38 ; 25 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 36 ; igors1969 ; 7140 
 39 ; 20 копеек ; 1825 ; СПБ ПД ; Ag ; VF-XF ; 22 ; Продано в зале ; 4200 
 40 ; 15 копеек ; 1783 ; СПБ ; Ag ; XF ; 52 ; joper69 ; 16888 
 41 ; 15 копеек ; 1784 ; СПБ ; Ag ; XF ; 32 ; каламбурчик ; 6738 
 42 ; Гривенник ; 1751 ;  ; Ag ; VF+ ; 18 ; джокер ; 3068 
 43 ; Гривенник ; 1771 ; СПБ TI ; Ag ; VF-XF ; 54 ; taa ; 2550 
 44 ; Гривенник ; 1781 ; СПБ ; Ag ; VF-XF ; 36 ; Продано в зале ; 2800 
 45 ; Гривенник ; 1783 ; СПБ ; Ag ; XF ; 27 ; joper69 ; 4896 
 46 ; 10 копеек ; 1813 ; СПБ ПС ; Ag ; XF- ; 19 ; Продано в зале ; 3000 
 47 ; 10 копеек ; 1837 ; СПБ НГ ; Ag ; XF+ ; 3 ; Продано в зале ; 5000 
 48 ; 10 копеек ; 1890 ; СПБ АГ ; Ag ; AU ; 42 ; Продано в зале ; 3400 
 49 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 13 ; WOK ; 4800 
 50 ; 10 копеек ; 1770 ; КМ "Сибирь" ; Cu ; VF-XF ; 16 ; Продано в зале ; 7500 
