 22 ; Рубль ; 1750 ; СПБ ; Ag ; VF-XF ; 28 ; Zorrosha ; 17000 
 23 ; Рубль ; 1754 ; СПБ IM BS ; Ag ; XF ; 50 ; Zorrosha ; 54327 
 24 ; Рубль ; 1761 ; СПБ НК TI ; Ag ; VF+ ; 51 ; андрей&ка ; 70000 
 25 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; XF+ ; 21 ; Продано в зале ; 30000 
 26 ; Рубль ; 1766 ; СПБ ЯI TI ; Ag ; VF-XF ; 17 ; Продано в зале ; 11000 
 27 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF ; 16 ; Продано в зале ; 16000 
 28 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; XF+ ; 22 ; Продано в зале ; 13000 
 29 ; Рубль ; 1824 ; СПБ ПД ; Ag ; XF+ ; 39 ; verunk1 ; 13741 
 30 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF+ ; 44 ; харитон ; 36000 
 31 ; Рубль ; 1834 ; СПБ НГ ; Ag ; XF+ ; 43 ; 8128 ; 12000 
 32 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF- ; 37 ; Продано в зале ; 64000 
 33 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF ; 42 ; Продано в зале ; 8000 
 34 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF+ ; 62 ; Продано в зале ; 18000 
 35 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF+ ; 27 ; Продано в зале ; 19000 
 36 ; Рубль ; 1853 ; СПБ HI ; Ag ; XF- ; 37 ; Продано в зале ; 15000 
 37 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF ; 45 ; амбал ; 7000 
 38 ; Рубль ; 1885 ; СПБ АГ ; Ag ; XF- ; 29 ; Продано в зале ; 22000 
 39 ; Рубль ; 1896 ; (АГ) ; Ag ; XF+ ; 37 ; verunk1 ; 15024 
 40 ; Рубль ; 1897 ; ( ** ) ; Ag ; AU ; 35 ; 8128 ; 21094 
 41 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; VF-XF ; 38 ; Продано в зале ; 92000 
 42 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 30 ; arublev ; 22000 
 43 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; VF-XF ; 30 ; Продано в зале ; 49000 
 44 ; Рубль ; 1913 ; (ЭБ) ; Ag ; XF-/XF+ ; 26 ; Zorrosha ; 50000 
 45 ; Полтина ; 1762 ; СПБ НК ; Ag ; XF- ; 42 ; Продано в зале ; 210000 
 46 ; Полтина ; 1856 ; СПБ ФБ ; Ag ; XF- ; 22 ; Продано в зале ; 6000 
 47 ; Полтина ; 1893 ; (АГ) ; Ag ; VF-XF ; 29 ; Продано в зале ; 25000 
 48 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF+ ; 20 ; амбал ; 10000 
 49 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF+ ; 24 ; Zorrosha ; 3661 
 50 ; 25 копеек ; 1895 ; АГ ; Ag ; XF/AU ; 40 ; Продано в зале ; 4800 
