 18 ; Рубль ; 1767 ; СПБ АШ TI ; Ag ; VF/XF ; 37 ; gelo ; 11000 
 19 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; XF ; 19 ; sdv75-2010 ; 17000 
 20 ; Рубль ; 1799 ; СМ МБ ; Ag ; VF-XF ; 21 ; Druya ; 24210 
 21 ; Рубль ; 1808 ; СПБ МК ; Ag ; XF+ ; 45 ; Продано в зале ; 50000 
 22 ; Рубль ; 1817 ; СПБ ПС ; Ag ; AU ; 20 ; grut ; 16000 
 23 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF- ; 21 ; Продано в зале ; 8000 
 24 ; Рубль ; 1854 ; СПБ HI ; Ag ; XF ; 23 ; Asandr ; 16887 
 25 ; Рубль ; 1885 ; СПБ АГ ; Ag ; XF ; 31 ; sdv75-2010 ; 17000 
 26 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF ; 33 ; icebreaker ; 18000 
 27 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; VF-XF ; 13 ; krass ; 17000 
 28 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; VF-XF ; 79 ; Продано в зале ; 22000 
 29 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF- ; 30 ; CapsulЪ ; 25682 
 30 ; Рубль ; 1901 ; (ФЗ) ; Ag ; XF ; 35 ; Вован009 ; 15188 
 31 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 26 ; tisa66 ; 10457 
 32 ; Полуполтинник (Петров-2,5р, Ильин-3р) ; 1803 ; СПБ АИ ; Ag ; XF ; 68 ; Продано в зале ; 115000 
 33 ; 25 копеек В капсуле ННР ; 1856 ; СПБ ФБ ; Ag ;  ; 41 ; Продано в зале ; 6500 
 34 ; 25 копеек ; 1895 ; АГ ; Ag ; XF ; 40 ; UFO ; 10404 
 35 ; 25 копеек ; 1896 ; АГ ; Ag ; XF ; 20 ; taa ; 6000 
 36 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 37 ; CapsulЪ ; 8670 
 37 ; 20 копеек ; 1850 ; СПБ ПА ; Ag ; XF- ; 41 ; JohnSilver ; 2547 
 38 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; XF+ ; 17 ; sm-dc ; 1019 
 39 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 23 ; птичкин ; 1900 
 40 ; Гривна ; 1709 ; БК ; Ag ; VF ; 53 ; Valera G ; 18297 
 41 ; Гривенник ; 1748 ;  ; Ag ; XF- ; 29 ; Прокурор ; 3500 
 42 ; Гривенник ; 1754 ; IП ; Ag ; VF-XF ; 17 ; Sky2 ; 3264 
 43 ; Гривенник (Петров-1р) ; 1769 ; ММД ; Ag ; VF-XF ; 23 ; Продано в зале ; 7000 
 44 ; Гривенник ; 1770 ; СПБ TI ; Ag ; XF ; 25 ; Star. ; 3400 
 45 ; Гривенник ; 1771 ; СПБ TI ; Ag ; AU ; 31 ; grut ; 12000 
 46 ; 10 копеек ; 1799 ; СМ МБ ; Ag ; VF+ ; 41 ; Olimpia ; 30702 
 47 ; 10 копеек ; 1815 ; СПБ МФ ; Ag ; XF ; 25 ; tisa66 ; 4200 
 48 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 19 ; Продано в зале ; 3500 
 49 ; 10 копеек ; 1831 ; СПБ НГ ; Ag ; XF- ; 31 ; Olimpia ; 7121 
 50 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; XF ; 9 ; Грю ; 2392 
