 63 ; Копейка (Ильин-1р) ; 1805 ; ЕМ ; Cu ; VF- ; 33 ; SSK ; 19000 
 64 ; 5 копеек (Петров-2,5р, Ильин-2р) ; 1806 ; КМ ; Cu ; VF ; 18 ; Продано в зале ; 4200 
 65 ; 5 копеек ; 1807 ; ЕМ ; Cu ; XF- ; 22 ; Продано в зале ; 3800 
 66 ; 5 копеек (Петров-3р, Ильин-2р) ; 1807 ; КМ ; Cu ; VF+/VF ; 13 ; Продано в зале ; 6000 
 67 ; 5 копеек (Ильин-3р) ; 1808 ; ЕМ ; Cu ; VF+ ; 19 ; Продано в зале ; 12000 
 68 ; Полушка (Петров-6р, Ильин-5р) ; 1808 ; ЕМ ; Cu ; F-VF ; 28 ; 125346 ; 21420 
 69 ; 5 копеек (Петров-5р, Ильин-3р) ; 1809 ; КМ ; Cu ; VF+/VF ; 29 ; нумизмат ; 8500 
 70 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; VF-XF ; 16 ; Продано в зале ; 1100 
 71 ; 2 копейки ; 1811 ; СПБ МК ; Cu ; XF ; 24 ; Продано в зале ; 5400 
 72 ; Копейка (Петров-10р, Ильин-5р) ; 1811 ; ЕМ НМ ; Cu ; F-VF ; 20 ; Продано в зале ; 15000 
 73 ; Деньга ; 1811 ; ЕМ НМ ; Cu ; VF+ ; 37 ; Продано в зале ; 29000 
 74 ; Деньга ; 1811 ; ИМ МК ; Cu ; VF+ ; 16 ; нумизмат ; 3062 
 75 ; Деньга ; 1812 ; КМ АМ ; Cu ; VF+ ; 24 ; Продано в зале ; 5200 
 76 ; Копейка (Петров-10р, Ильин-8р) ; 1813 ; ЕМ НМ ; Cu ; F ; 21 ; Продано в зале ; 15000 
 77 ; 5 копеек ; 1815 ; СПБ МФ ; Ag ; XF+ ; 31 ; 25 ; 4682 
 78 ; Деньга (Петров-5р) ; 1815 ; ЕМ НМ ; Cu ; F-VF ; 21 ; Продано в зале ; 11000 
 79 ; Полтина ; 1818 ; СПБ ПС ; Ag ; VF+ ; 16 ; Продано в зале ; 3600 
 80 ; Деньга ; 1827 ; ЕМ ИК ; Cu ; VF+ ; 15 ; Продано в зале ; 1600 
 81 ; 5 рублей. М-6,63г ; 1829 ; СПБ ПД ; Au ; XF+ ; 60 ; Продано в зале ; 102000 
 82 ; 10 копеек ; 1830 ; СПБ НГ ; Ag ; VF+ ; 30 ; Продано в зале ; 3600 
 83 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; XF- ; 30 ; serg2010 ; 5555 
 84 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF- ; 10 ; verunk1 ; 16422 
 85 ; Двойной абаз ; 1831 ; ВК Грузия ; Ag ; VF+ ; 30 ; нумизмат ; 8000 
 86 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; VF-XF ; 25 ; DennisG ; 10408 
 87 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; XF- ; 27 ; Продано в зале ; 1500 
 88 ; 3 копейки (Ильин-10р) ; 1840 ; ЕМ ; Cu ; F/VF ; 18 ; Продано в зале ; 26000 
 89 ; 1/2 копейки ; 1840 ; ЕМ ; Cu ; XF- ; 19 ; ksv11 ; 1122 
 90 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF ; 47 ; нумизмат ; 7752 
 91 ; Копейка ; 1842 ; ЕМ ; Cu ; VF+ ; 47 ; ksv11 ; 1632 
 92 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF- ; 42 ; Lisik ; 4600 
 93 ; Рубль ; 1846 ; СПБ ПА ; Ag ; VF-XF ; 36 ; якши37 ; 4593 
 94 ; Полтина ; 1846 ; MW ; Ag ; VF+ ; 26 ; Продано в зале ; 2700 
 95 ; 25 копеек ; 1846 ; СПБ ПА ; Ag ; XF- ; 25 ; verunk1 ; 7933 
 96 ; 3 копейки ; 1846 ; СМ ; Cu ; VF ; 19 ; SSK ; 3200 
 97 ; Рубль ; 1851 ; СПБ ПА ; Ag ; XF+ ; 40 ; RnR ; 9520 
 98 ; 25 копеек ; 1851 ; СПБ ПА ; Ag ; XF- ; 19 ; verunk1 ; 6324 
 99 ; 5 копеек ; 1852 ; ЕМ ; Cu ; VF+ ; 45 ; DennisG ; 3165 
 100 ; Копейка ; 1853 ; ЕМ ; Cu ; VF-XF ; 41 ; ksv11 ; 1020 
 1 ; Копейка ; 1711 ; МД ; Cu ; VF ; 17 ; Продано в зале ; 2100 
 2 ; Копейка ; 1712 ; ·БК· ; Cu ; VF- ; 15 ; нумизмат ; 1300 
 3 ; Копейка ; 1713 ; НД ; Cu ; VF-XF ; 24 ; vvt ; 3978 
 4 ; Копейка ; 1714 ; НД ; Cu ; VF ; 11 ; volod ; 1000 
 5 ; Копейка ; 1715 ; МД ; Cu ; VF- ; 5 ; Продано в зале ; 800 
 6 ; Копейка ; 1715 ;  ; Cu ; VF+ ; 7 ; Продано в зале ; 2100 
 7 ; Полтина (Петров-3р) ; 1723 ;  ; Ag ; VF ; 22 ; якши37 ; 23347 
 8 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF ; 30 ; Продано в зале ; 8000 
 9 ; Рубль ; 1732 ;  ; Ag ; XF- ; 29 ; Продано в зале ; 24000 
 10 ; Полтина ; 1734 ;  ; Ag ; VF+ ; 32 ; якши37 ; 18655 
 11 ; Денга ; 1740 ;  ; Cu ; VF+ ; 58 ; au ; 2800 
 12 ; Рубль ; 1744 ; СПБ ; Ag ; XF ; 25 ; Продано в зале ; 23000 
 13 ; Денга ; 1750 ;  ; Cu ; VF ; 31 ; Lisik ; 1241 
 14 ; Рубль (Петров-3р) ; 1755 ; СПБ IM BS ; Ag ; VF ; 34 ; якши37 ; 28562 
 15 ; 2 копейки ; 1757? ;  ; Cu ; VF+ ; 7 ; Продано в зале ; 1200 
 16 ; Копейка (Петров-2р, Ильин-1р) ; 1756 ;  ; Cu ; VF ; 11 ; Продано в зале ; 15000 
 17 ; Рубль (Петров-10р, Ильин-3р). ; 1762 ; СПБ НК ; Ag ; F+ ; 49 ; 125346 ; 19153 
 18 ; 4 копейки ; 1762 ;  ; Cu ; VF- ; 41 ; Продано в зале ; 14000 
 19 ; Полтина (Петров-3р) ; 1763 ; СПБ ЯI ; Ag ; VF- ; 21 ; якши37 ; 22440 
 20 ; Полуполтинник (Петров-1р) ; 1764 ; ММД ЕI ТI ; Ag ; VF+ ; 39 ; якши37 ; 6474 
 21 ; Рубль ; 1766 ; СПБ АШ TI ; Ag ; XF ; 35 ; Продано в зале ; 22000 
 22 ; 2 копейки (Петров-7р, Ильин-3р) ; 1767 ; СПМ ; Cu ; F-VF ; 26 ; Продано в зале ; 20000 
 23 ; 10 рублей. М-13,04гр ; 1768 ; СПБ ТI ; Au ; XF ; 64 ; Продано в зале ; 355000 
 24 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF- ; 28 ; якши37 ; 24000 
 25 ; Денга ; 1769 ; КМ "Сибирь" ; Cu ; VF ; 25 ; ksv11 ; 1200 
 26 ; Рубль ; 1771 ; СПБ ЯЧ TI ; Ag ; XF ; 30 ; нумизмат ; 26724 
 27 ; 2 копейки ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 35 ; нумизмат ; 3967 
 28 ; Копейка ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 14 ; ksv11 ; 1600 
 29 ; Рубль ; 1773 ; СПБ ЯЧ TИ ; Ag ; AU/XF+ ; 49 ; Продано в зале ; 56000 
 30 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; XF ; 38 ; Продано в зале ; 9000 
 31 ; Копейка ; 1774 ; КМ "Сибирь" ; Cu ; VF+ ; 35 ; DennisG ; 1898 
 32 ; Полушка ; 1776 ; ЕМ ; Cu ; F+ ; 28 ; нумизмат ; 17391 
 33 ; Рубль (Петров-4р) ; 1777 ; СПБ ФЛ ; Ag ; VF-XF ; 41 ; Продано в зале ; 24000 
 34 ; 5 копеек. Новый орел. Редка ; 1778 ; ЕМ ; Cu ; VF+ ; 41 ; Продано в зале ; 4000 
 35 ; 5 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 46 ; Продано в зале ; 8000 
 36 ; 5 копеек ; 1782 ; КМ ; Cu ; XF ; 15 ; Продано в зале ; 4000 
 37 ; 5 копеек ; 1783 ; КМ ; Cu ; VF+ ; 9 ; Продано в зале ; 2000 
 38 ; 15 копеек ; 1784 ; СПБ ; Ag ; VF+ ; 32 ; нумизмат ; 4896 
 39 ; Денга (Петров-1р) ; 1785 ; КМ ; Cu ; VF ; 19 ; DennisG ; 2499 
 40 ; Денга ; 1787 ; КМ ; Cu ; VF ; 30 ; DennisG ; 3001 
 41 ; Полуполтинник ; 1788 ; СПБ ЯА ; Ag ; VF-XF ; 33 ; SSK ; 10710 
 42 ; 5 копеек ; 1789 ; АМ ; Cu ; VF+ ; 17 ; Продано в зале ; 2100 
 43 ; Денга (Петров-5р, Ильин-5р) ; 1789 ; КМ ; Cu ; F-VF ; 29 ; Продано в зале ; 11000 
 44 ; Денга (Петров-6р, Ильин-5р) ; 1794 ;  ; Cu ; VF ; 26 ; Продано в зале ; 23000 
 45 ; Копейка ; 1795 ; ЕМ ; Cu ; VF+ ; 31 ; Продано в зале ; 2100 
 46 ; Денга ; 1795 ; ЕМ ; Cu ; VF+ ; 5 ; Продано в зале ; 1500 
 47 ; 2 копейки ; 1796 ; ЕМ ; Cu ; VF+ ; 31 ; Продано в зале ; 12000 
 48 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; VF ; 37 ; Продано в зале ; 8400 
 49 ; 2 копейки ; 1797 ; КМ ; Cu ; VF+ ; 30 ; DennisG ; 3060 
 50 ; 5 копеек ; 1798 ; СМ МБ ; Ag ; VF ; 30 ; Продано в зале ; 8200 
