 31 ; 25 копеек ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 31 ; serg2010 ; 6687 
 32 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; XF/AU ; 22 ; Продано в зале ; 2500 
 33 ; 25 копеек ; 1896 ; АГ ; Ag ; XF/AU ; 27 ; alex550 ; 3800 
 34 ; 20 копеек ; 1764 ; ММД ; Ag ; VF+ ; 33 ; Стевиа ; 4182 
 35 ; 20 копеек ; 1772 ; СПБ TI ; Ag ; XF- ; 16 ; arsenich-s ; 5100 
 36 ; 20 копеек ; 1815 ; СПБ МФ ; Ag ; XF- ; 42 ; antiquar ; 12240 
 37 ; 20 копеек ; 1839 ; СПБ НГ ; Ag ; XF+ ; 29 ; Продано в зале ; 4200 
 38 ; 20 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 21 ; 462 ; 1145 
 39 ; 15 копеек ; 1898 ; СПБ АГ ; Ag ; XF+ ; 19 ; Продано в зале ; 3400 
 40 ; Гривенник ; 1751 ;  ; Ag ; VF-XF ; 25 ; arsenich-s ; 4194 
 41 ; Гривенник ; 1781 ; СПБ ; Ag ; XF ; 38 ; arsenich-s ; 5667 
 42 ; 10 копеек (Петров-1р) ; 1804 ; СПБ ФГ ; Ag ; VF-XF ; 55 ; Продано в зале ; 25000 
 43 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 49 ; Продано в зале ; 7000 
 44 ; 10 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 29 ; Продано в зале ; 2600 
 45 ; 10 копеек ; 1901 ; СПБ ФЗ ; Ag ; AU ; 55 ; verunk1 ; 5668 
 46 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU/XF ; 32 ; tavid ; 3193 
 47 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; XF+ ; 20 ; Roman_B ; 3174 
 48 ; 5 копеек ; 1877 ; СПБ HI ; Ag ; XF+ ; 32 ; serg2010 ; 5555 
 49 ; Копейка ; 1718 ; L перевернута ; Ag ; VF+ ; 24 ; молли ; 16320 
 50 ; 24 копейки ; 1757 ; Ливонез ; Ag ; VF ; 23 ; Волга 67 ; 21012 
