 5915 ; Почтовая карточка. "Христосъ Воскресе!" ;  ;  ;  ;  ; 20 ; doc2 ; 453 
 5916 ; Почтовая карточка. "Христосъ Воскресе!" ;  ;  ;  ;  ; 11 ; пмт79 ; 246 
 5917 ; Почтовая карточка. "Христосъ Воскресе!" ;  ;  ;  ;  ; 7 ; Gin2268 ; 134 
 5918 ; Почтовая карточка. "Христосъ Воскресе!" ;  ;  ;  ;  ; 9 ; Кеннер ; 160 
 5919 ; Почтовая карточка. "Христосъ Воскресе!" ;  ;  ;  ;  ; 17 ; SS2008 ; 153 
 5920 ; Почтовая карточка. Худ. Елизавета Бёмъ ;  ;  ;  ;  ; 15 ; SS2008 ; 389 
 5921 ; Почтовая карточка. Киевъ ;  ;  ;  ;  ; 4 ; Лрс 21,12 ; 48 
 5922 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 5 ; Лрс 21,12 ; 48 
 5923 ; Почтовая карточка. "Съ Новымъ годомъ!" ;  ;  ;  ;  ; 12 ; RAPAN ; 327 
 5924 ; Почтовая карточка. "Съ Новымъ годомъ!" ;  ;  ;  ;  ; 13 ; птичка16 ; 250 
 5925 ; Почтовая карточка. "Съ Новымъ годомъ!" ;  ;  ;  ;  ; 32 ; doc2 ; 750 
 5926 ; Почтовая карточка. "Съ Новымъ годомъ!" ;  ;  ;  ;  ; 22 ; doc2 ; 544 
 5927 ; Почтовая карточка. "Съ Новымъ годомъ!" ;  ;  ;  ;  ; 30 ; RAPAN ; 712 
 5928 ; Почтовая карточка. "Съ Новымъ годомъ!" ;  ;  ;  ;  ; 16 ; RAPAN ; 263 
 5929 ; Почтовая карточка. "Съ Новымъ годомъ!" ;  ;  ;  ;  ; 26 ; RAPAN ; 291 
 5830 ; Лот почтовых карточек (2 штуки) ;  ;  ;  ;  ; 11 ; Кеннер ; 122 
 5831 ; Лот почтовых карточек (3 штуки) ;  ;  ;  ;  ; 25 ; Ftog ; 726 
 5832 ; Почтовая карточка. ;  ;  ;  ;  ; 9 ; Лрс 21,12 ; 107 
 5833 ; Почтовая карточка. ;  ;  ;  ;  ; 3 ; Лрс 21,12 ; 115 
 5834 ; Почтовая карточка. ;  ;  ;  ;  ; 9 ; Лрс 21,12 ; 80 
 5835 ; Почтовая карточка. Казань ;  ;  ;  ;  ; 23 ; Gin2268 ; 236 
 5836 ; Почтовая карточка. Казань ;  ;  ;  ;  ; 23 ; Komposter ; 303 
 5837 ; Почтовая карточка. Уралъ ;  ;  ;  ;  ; 11 ; птичка16 ; 231 
 5838 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 5 ; Папа с рацией ; 151 
 5839 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 5 ; Gin2268 ; 255 
 5840 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 7 ; Папа с рацией ; 153 
 5841 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 7 ; гудзон ; 155 
 5842 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 9 ; Папа с рацией ; 151 
 5843 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 27 ; Папа с рацией ; 351 
 5844 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 7 ; Папа с рацией ; 151 
 5845 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 15 ; Папа с рацией ; 251 
 5846 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 7 ; гудзон ; 181 
 5847 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 17 ; Папа с рацией ; 151 
 5848 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 7 ; гудзон ; 144 
 5849 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 5 ; yuri.gruzdev ; 204 
