 24 ; Полтина ; 1763 ; СПБ ЯI ; Ag ; VF/VF+ ; 13 ; Волга 67 ; 15000 
 25 ; Полтина ; 1818 ; СПБ ПС ; Ag ; XF- ; 21 ; кве ; 9500 
 26 ; Полтина ; 1830 ; СПБ НГ ; Ag ; VF+ ; 15 ; Стевиа ; 7347 
 27 ; Полтина ; 1849 ; СПБ ПА ; Ag ; XF+ ; 25 ; verunk1 ; 9690 
 28 ; Полтина ; 1856 ; СПБ ФБ ; Ag ; AU ; 22 ; Продано в зале ; 15500 
 29 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 37 ; Sky2 ; 3810 
 30 ; Полтина ; 1897 ; ( * ) ; Ag ; XF+ ; 39 ; OMT ; 5500 
 31 ; Полуполтинник ; 1794 ; СПБ АК ; Ag ; VF+ ; 13 ; Стевиа ; 17000 
 32 ; Полуполтинник ; 1798 ; СМ МБ ; Ag ; VF+ ; 20 ; Продано в зале ; 17000 
 33 ; 25 копеек ; 1849 ; СПБ ПА ; Ag ; AU/XF ; 17 ; taa ; 2825 
 34 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; AU/XF ; 24 ; Продано в зале ; 4200 
 35 ; 25 копеек ; 1860 ; СПБ ФБ ; Ag ; XF ; 12 ; Волга 67 ; 3400 
 36 ; 25 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 25 ; Продано в зале ; 8500 
 37 ; 25 копеек ; 1895 ; АГ ; Ag ; AU ; 30 ; Продано в зале ; 12500 
 38 ; 20 копеек ; 1769 ; СПБ TI ; Ag ; XF ; 38 ; verunk1 ; 8000 
 39 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 17 ; 1999 ; 1882 
 40 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 18 ; alien34 ; 2042 
 41 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; UNC/AU ; 61 ; нумизмат ; 3366 
 42 ; 20 копеек ; 1869 ; СПБ HI ; Ag ; AU ; 18 ; 1999 ; 2011 
 43 ; 20 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 22 ; 1999 ; 2221 
 44 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 19 ; alien34 ; 2154 
 45 ; 20 копеек ; 1882 ; СПБ НФ ; Ag ; XF+ ; 32 ; Стевиа ; 4793 
 46 ; 20 копеек ; 1885 ; СПБ АГ ; Ag ; AU ; 62 ; verunk1 ; 11220 
 47 ; 20 копеек ; 1888 ; СПБ АГ ; Ag ; XF+ ; 36 ; verunk1 ; 3853 
 48 ; 20 копеек ; 1889 ; СПБ АГ ; Ag ; AU ; 21 ; Buzikin ; 2221 
 49 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 28 ; 1999 ; 2221 
 50 ; 15 копеек ; 1861 ; СПБ ; Ag ; AU ; 22 ; alien34 ; 1849 
