 6499 ; Каталог-справочник. Монеты Киргизии, Таджикистана, Туркменистана и Узбекистана. Редакция 1, 2019 год ;  ;  ;  ;  ; 13 ; ___AleX___ ; 98 
 6500 ; Каталог-справочник. Юбилейные и памятные монеты Казахстана 1995-2013 гг. Редакция 3, 2013 год ;  ;  ;  ;  ; 12 ; ___AleX___ ; 36 
 6501 ; Каталог-справочник. Монеты Беларуси 1996-2018 гг. Редакция 5, 2018 год ;  ;  ;  ;  ; 15 ; ___AleX___ ; 84 
 6502 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2018 годов. Редакция 45 ;  ;  ;  ;  ; 18 ; Markgraf ; 69 
 6503 ; Оптовый лот. 8 книг (2 коробки).  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 15 ; mirny ; 7320 
 6504 ; Оптовый лот. 6 книг (коробка).  В.Е. Семенов. Монетный передел 1700-1917 гг. ;  ;  ;  ;  ; 4 ; Terem ; 1733 
 6505 ; Оптовый лот. 8 книг (коробка). Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 39 ; Maksim92 ; 1608 
 6506 ; Оптовый лот. 10 книг. Русские деньги X-XVII вв. Редакция 7, 2019. В. Е. Семенов ;  ;  ;  ;  ; 3 ; Terem ; 713 
 6507 ; Оптовый лот. 72 книги (коробка). Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 9 ; *T*T*T* ; 6630 
 6508 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 19 ; Плотник ; 364 
 6509 ; Аукционный каталог VENTE PUBLIQUE №131. 10 декабря 2016 ;  ;  ;  ;  ; 13 ; Расти ; 77 
 6510 ; Словарь нумизмата. Х Фенглер, Г.Гироу, В.Унгер. Москва "Радио и связь" 1993 ;  ;  ;  ;  ; 18 ; Maksim92 ; 233 
 6511 ; Аукционный каталог Fritz Rudolf Kuenker GmbH. Аукцион 315. 11/12 октября 2018 ;  ;  ;  ;  ; 19 ; Расти ; 155 
 6512 ; Каталог почтовых марок СССР 1918-1980. Том 2. Москва, 1984 ;  ;  ;  ;  ; 15 ; vladimirV ; 77 
 6513 ; Аукционный каталог KOLNER MUNZKABINETT. Аукцион 105. 16 сентября 2016 ;  ;  ;  ;  ; 9 ; uxx ; 136 
 6514 ; Лот газет: 3 шт. ;  ;  ;  ;  ; 3 ; Расти ; 51 
 6515 ; Аукционный каталог Fritz Rudolf Kuenker GmbH. Аукцион 308. 19 июня 2018 ;  ;  ;  ;  ; 11 ; Расти ; 153 
 6516 ; Аукционный каталог Fritz Rudolf Kuenker GmbH. Аукцион 306. 22/23 марта 2018 ;  ;  ;  ;  ; 7 ; Расти ; 155 
 6517 ; Аукционный каталог SPINK. Монеты Северо Восточной Индии (часть2). Лондон 27 сентября 2016 ;  ;  ;  ;  ; 13 ; Токen1973 ; 332 
 6518 ; Шведские монеты 1521-1977гг. Стокгольм 1976 ;  ;  ;  ;  ; 52 ; Токen1973 ; 2267 
 6519 ; Аукционный каталог Fritz Rudolf Kuenker GmbH. Аукцион 300. 1 февраля 2018 ;  ;  ;  ;  ; 15 ; Расти ; 113 
 6520 ; Иконопись Беларуси XV-XVIII. Минск, "Беларусь", 1988 ;  ;  ;  ;  ; 19 ; LEXAI ; 305 
 6521 ; Каталог частной коллекции. Античные монеты и артефакты. Санкт-Петербург. 2019 ; 2019 ;  ;  ;  ; 31 ; Maksim92 ; 423 
 6522 ; Лот из 3-х газет Петербургский коллекционер № 1,2,3. 2002 ;  ;  ;  ;  ; 29 ; Экскурсовод ; 181 
 6523 ; Лот из 4-х журналов Нумизматика и фалеристика № 1,2,3,4. 1997. Украина ;  ;  ;  ;  ; 49 ; uxx ; 397 
 6524 ; Альбом-каталог. Пасхальная открытка. Санкт-Петербург 2014 ;  ;  ;  ;  ; 27 ; cr5400 ; 829 
 6525 ; Аукционный каталог Teutoburger Munzauktion. Аукцион 80. 20/21 февраля 2014 ;  ;  ;  ;  ; 5 ; maymuse ; 79 
 6526 ; Каталог евромонет. Leuchtturm. Euro-Katalog. 2018 ;  ;  ;  ;  ; 17 ; Sky2 ; 220 
 6527 ; Аукционный каталог Teutoburger Munzauktion. Аукцион 106. 02/03 декабря 2016 ;  ;  ;  ;  ; 15 ; Расти ; 91 
 6528 ; М.М. Глейзер. Бонистика в Петрограде-Ленинграде- Санкт-Петербурге. Издательство: "Александр ПРИНТ". Санкт-Петербург 1998 ;  ;  ;  ;  ; 42 ; igor_k2016 ; 340 
 6429 ; Капсулы для монет – 39 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 17 ; птичка16 ; 164 
 6430 ; Капсулы для монет – 39 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 15 ; SpAi ; 144 
 6431 ; Капсулы для монет – 40 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 17 ; SpAi ; 168 
 6432 ; Капсулы для монет – 41 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 17 ; vladimirV ; 165 
 6433 ; Капсулы для монет – 41 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 18 ; птичка16 ; 160 
 6434 ; "Подставка под монету " ;  ;  ;  ;  ; 15 ; Женя50 ; 218 
 6435 ; Холдеры для монет, самоклеющиеся - 32,5 мм, упаковка 25 шт."Lindner" ;  ;  ;  ;  ; 20 ; птичкин ; 125 
 6436 ; Лист КЛБ-1 в альбом Optima, на 1 банкноты. Упаковка (10 шт.). Сомс, #2025001 ;  ;  ;  ;  ; 15 ; salim ; 148 
 6437 ; Лист КЛБ-2 в альбом Optima, на 2 банкноты. Упаковка (10 шт.). Сомс, #2025002 ;  ;  ;  ;  ; 22 ; Maxim914 ; 262 
 6438 ; Лист КЛБ-3 в альбом Optima, на 3 банкноты. Упаковка (10 шт.). Сомс, #2025003 ;  ;  ;  ;  ; 21 ; Maxim914 ; 257 
 6439 ; Лист КЛБ-4 в альбом Optima, на 4 банкноты. Упаковка (10 шт.). Сомс, #2025004 ;  ;  ;  ;  ; 18 ; Maxim914 ; 236 
 6440 ; Лист в альбом Optima, на 1 банкноту. (Упаковка 10 шт.). Нумизмат-С ;  ;  ;  ;  ; 17 ; uhfvv7 ; 141 
 6441 ; Листы КЛФ-3В в альбом GRANDE, на 3 банкноты. Упаковка (10 шт.). СомС, #2431003 ;  ;  ;  ;  ; 39 ; gusar ; 287 
 6442 ; Лист в альбом GRANDE, на 3 банкноты. (Упаковка 10 шт.). Нумизмат-С ;  ;  ;  ;  ; 35 ; gusar ; 287 
 6443 ; Разделитель картонный в альбом OPTIMA. Упаковка (50 шт.). Lindner ;  ;  ;  ;  ; 25 ; SpAi ; 202 
 6444 ; Лист КЛМ-12К в альбом Optima на 12 монет, с карманами. Упаковка (5 шт.). Сомс, #2025012 ;  ;  ;  ;  ; 26 ; Лоцман ; 147 
 6445 ; Лист КЛМ-20К в альбом Optima на 20 монет, с карманами. Упаковка (5 шт.). Сомс, #2025020 ;  ;  ;  ;  ; 28 ; Андрей/Пермь ; 144 
 6446 ; Листы NUMIS NH20 в альбом на 20 монет. Упаковка (5 шт.). Leuchtturm, #323100 ;  ;  ;  ;  ; 25 ; Alex1 ; 145 
 6447 ; Листы NUMIS NH30 в альбом на 30 монет. Упаковка (5 шт.). Leuchtturm, #305956 ;  ;  ;  ;  ; 21 ; Dimitr1 ; 131 
 6448 ; Листы LK 2 в альбом Karat для монет, на 12 ячеек. Упаковка (10 шт.) Lindner ;  ;  ;  ;  ; 9 ; Besar ; 155 
 6449 ; Лист в альбом Optima на 60 монет, скользящий. Упаковка 10 шт. Нумизмат-С ;  ;  ;  ;  ; 35 ; Хуавей ; 148 
 6450 ; Лист ЛММ-12 в альбом NUMIS на 12 монет. Упаковка 10 шт. Россия ;  ;  ;  ;  ; 15 ; DIMA 57 ; 128 
 6451 ; Лист на 24 монеты, горизонтальный. Упаковка 10 шт. Производство Россия ;  ;  ;  ;  ; 9 ; Бигль ; 124 
 6452 ; Комплект листов для значков ТКП-АВ. СомС, 11-643-2025020 ;  ;  ;  ;  ; 24 ; Экскурсовод ; 163 
 6453 ; Лист ENCAP Mini на 24 ячейки в альбом GRANDE . Упаковка (2 шт.). ;  ;  ;  ;  ; 10 ; Ой, я что купил ; 159 
 6454 ; Лист encap 46/47 в альбом GRANDE на 12 монет в капсулах.Упаковка (2 шт.). Leuchtturm, #359437 ;  ;  ;  ;  ; 14 ; Ser_doh ; 146 
 6455 ; Лист в альбом серии Grande и Variо. Упаковка (5шт.). ;  ;  ;  ;  ; 25 ; vladimirV ; 200 
