 70 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; AU/XF ; 13 ; каламбурчик ; 2900 
 71 ; 15 копеек ; 1778 ; СПБ ; Ag ; VF+ ; 26 ; Акцент ; 5667 
 72 ; 15 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; AU ; 34 ; icebreaker ; 5100 
 73 ; 15 копеек ; 1861 ; СПБ ; Ag ; AU/XF ; 11 ; taa ; 603 
 74 ; 15 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 11 ; каламбурчик ; 3200 
 75 ; Гривенник ; 1752 ; IШ ; Ag ; XF+ ; 18 ; serg2010 ; 8888 
 76 ; Гривенник ; 1771 ; СПБ TI ; Ag ; VF+ ; 12 ; serg2010 ; 2042 
 77 ; Гривенник ; 1774 ; СПБ TI ; Ag ; VF+ ; 18 ; Продано в зале ; 8500 
 78 ; Гривенник ; 1784 ; СПБ ; Ag ; VF+ ; 9 ; serg2010 ; 1989 
 79 ; Гривенник ; 1787 ; СПБ ; Ag ; VF-XF ; 13 ; dali ; 4082 
 80 ; 10 копеек ; 1856 ; СПБ НФ ; Ag ; AU ; 60 ; verunk1 ; 9180 
 81 ; 10 копеек ; 1858 ; СПБ ФБ ; Ag ; XF ; 8 ; verunk1 ; 2267 
 82 ; 10 копеек. Тип герба 1859 года ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 17 ; verunk1 ; 9180 
 83 ; 10 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 35 ; verunk1 ; 7140 
 84 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; AU/XF ; 30 ; Продано в зале ; 9000 
 85 ; 10 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 15 ; tisa66 ; 4284 
 86 ; 10 копеек ; 1873 ; СПБ HI ; Ag ; VF-XF ; 21 ; Продано в зале ; 4500 
 87 ; 10 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 18 ; verunk1 ; 4692 
 88 ; 5 копеек ; 1801 ; СМ АИ ; Ag ; VF+ ; 27 ; Акцент ; 14009 
 89 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; XF+ ; 11 ; каламбурчик ; 3876 
 90 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; XF+ ; 22 ; taa ; 2810 
 91 ; 5 копеек ; 1851 ; СПБ ПА ; Ag ; XF+ ; 27 ; serg2010 ; 2810 
 92 ; 5 копеек. ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 28 ; Продано в зале ; 15500 
 93 ; 5 копеек ; 1860 ; СПБ ФБ ; Ag ; XF/AU ; 22 ; verunk1 ; 6732 
 94 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 23 ; verunk1 ; 4987 
 95 ; 5 копеек ; 1868 ; СПБ HI ; Ag ; XF+ ; 17 ; Продано в зале ; 6600 
 96 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; XF+ ; 9 ; Продано в зале ; 6500 
 97 ; 5 копеек ; 1881 ; СПБ НФ ; Ag ; XF+ ; 36 ; Продано в зале ; 8500 
 98 ; 1 марка ; 1915 ; S Финляндия ; Ag ; AU ; 15 ; ravs ; 1000 
 99 ; 5 копеек ; 1723 ; Дата снизу вверх ; Cu ; F-VF ; 29 ; Продано в зале ; 9000 
 100 ; 5 копеек ; 1724 ; Хвост в 3 пера ; Cu ; F-VF ; 26 ; Акцент ; 7933 
 1 ; Полтина. М-0,60гр ; 1777 ; "Для дворцового обихода" ; Au ; VF+ ; 66 ; _kit ; 18728 
 2 ; Рубль ; 1719 ; OK ; Ag ; VF+ ; 17 ; Продано в зале ; 52000 
 3 ; Рубль (Петров-4,5р) ; 1722 ;  ; Ag ; VF ; 35 ; Продано в зале ; 74000 
 4 ; Рубль ; 1723 ; ОК ; Ag ; VF+ ; 28 ; ОЧЕНЬ ГРУСТНЫЙ КОЛОБОК ; 69277 
 5 ; Рубль ; 1724 ;  ; Ag ; VF ; 17 ; Продано в зале ; 17000 
 6 ; Рубль ; 1725 ; СПБ ; Ag ; VF+ ; 20 ; Продано в зале ; 56000 
 7 ; Рубль. Ремонт 12 часов ; 1725 ;  ; Ag ; F-VF ; 18 ; Продано в зале ; 200000 
 8 ; Рубль ; 1727 ;  ; Ag ; XF+ ; 42 ; каламбурчик ; 76500 
 9 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 27 ; Акцент ; 52000 
 10 ; Рубль (Петров-5р) ; 1732 ;  ; Ag ; XF ; 31 ; Продано в зале ; 21000 
 11 ; Рубль (Петров-5р) ; 1732 ;  ; Ag ; XF- ; 37 ; Продано в зале ; 28000 
 12 ; Рубль ; 1733 ;  ; Ag ; VF+ ; 10 ; dali ; 15300 
 13 ; Рубль (Ильин-5р) ; 1734 ;  ; Ag ; VF+ ; 17 ; Продано в зале ; 40000 
 14 ; Рубль ; 1734 ;  ; Ag ; VF ; 22 ; Продано в зале ; 12000 
 15 ; Рубль ; 1735 ;  ; Ag ; VF-XF ; 17 ; Продано в зале ; 26000 
