 29 ; Рубль ; 1901 ; (ФЗ) ; Ag ; XF+ ; 65 ; StepByStep ; 30000 
 30 ; Рубль. Капсула ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ;  ; 65 ; cr4987 ; 25052 
 31 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 50 ; papinazu ; 25000 
 32 ; Полтина В капсуле ; 1913 ; (ВС) АГ ; Ag ;  ; 34 ; rom11 ; 5303 
 33 ; 25 копеек В капсуле ; 1896 ; АГ ; Ag ;  ; 44 ; SLOV ; 6875 
 34 ; 20 копеек (Петров-1р) ; 1810 ; СПБ ФГ ; Ag ; XF- ; 75 ; Продано в зале ; 14000 
 35 ; 20 копеек ; 1816 ; СПБ ПС ; Ag ; XF- ; 46 ; Dude8220 ; 16000 
 36 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 57 ; niki ; 14000 
 37 ; 20 копеек В капсуле ; 1903 ; СПБ АР ; Ag ;  ; 31 ; Адольф Виссорионов ; 7000 
 38 ; 15 копеек ; 1867 ; СПБ HI ; Ag ; XF ; 33 ; Dude8220 ; 4000 
 39 ; 15 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 50 ; Продано в зале ; 17000 
 40 ; 15 копеек В капсуле ; 1916 ;  ; Ag ;  ; 26 ; madmax1390@ ; 2800 
 41 ; 10 копеек ; 1850 ; СПБ ПА ; Ag ; XF ; 44 ; Dude8220 ; 4400 
 42 ; 10 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 50 ; Продано в зале ; 3800 
 43 ; 10 копеек ; 1868 ; СПБ HI ; Ag ; XF+ ; 52 ; lesnik1 ; 1800 
 44 ; 10 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 22 ; tisa66 ; 2500 
 45 ; 10 копеек ; 1876 ; СПБ HI ; Ag ; XF- ; 41 ; Dude8220 ; 4682 
 46 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; XF+ ; 10 ; Dude8220 ; 4500 
 47 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 32 ; vic-dmitri ; 3200 
 48 ; 10 копеек ; 1880 ; СПБ НФ ; Ag ; XF+/AU ; 49 ; Olimpia ; 2800 
 49 ; 10 копеек ; 1901 ; СПБ АР ; Ag ; XF+ ; 87 ; vic-dmitri ; 32000 
 50 ; 10 копеек. Капсула ; 1907 ; СПБ ЭБ ; Ag ;  ; 36 ; Продано в зале ; 12500 
