 88 ; 20 копеек ; 1866 ; СПБ HI ; Ag ; AU ; 28 ; ealiev ; 3111 
 89 ; 10 копеек ; 1867 ; СПБ HI ; Ag ; XF ; 35 ; ф555 ; 716 
 90 ; 20 копеек ; 1868 ; СПБ HI ; Ag ; XF+ ; 23 ; elac ; 1122 
 91 ; Копейка ; 1868 ; СПБ ; Cu ; VF+ ; 25 ; кве ; 2550 
 92 ; 5 копеек ; 1869 ; ЕМ ; Cu ; VF ; 17 ; 1313 ; 725 
 93 ; 1 пенни. Редкая датировка ; 1870 ; Финляндия ; Cu ; F-VF ; 79 ; finger ; 13047 
 94 ; 5 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 23 ; bazis ; 3000 
 95 ; 10 копеек ; 1875 ; СПБ HI ; Ag ; XF+ ; 17 ; ealiev ; 3200 
 96 ; 3 копейки ; 1876 ; СПБ ; Cu ; VF+ ; 17 ; ealiev ; 1717 
 97 ; 1/4 копейки ; 1877 ; СПБ ; Cu ; AU ; 13 ; kalevan ; 2142 
 98 ; Копейка ; 1878 ; СПБ ; Cu ; VF-XF ; 36 ; кве ; 337 
 99 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 18 ; suen-tasu ; 1836 
 100 ; 15 копеек ; 1883 ; СПБ ДС ; Ag ; XF+ ; 22 ; Участник № 384 ; 2600 
 1 ; Денга ; 1704 ;  ; Cu ; F-VF ; 28 ; Sky2 ; 729 
 2 ; Денга ; 1707 ;  ; Cu ; F-VF ; 29 ; Sky2 ; 1012 
 3 ; Полушка ; 1707 ;  ; Cu ; F-VF ; 19 ; FGM ; 1583 
 4 ; Копейка ; 1710 ; МД ; Cu ; F-VF ; 19 ; Пупс ; 1106 
 5 ; Копейка ; 1712 ; МД ; Cu ; VF- ; 18 ; TDN ; 1031 
 6 ; Копейка ; 1714 ; НД ; Cu ; VF- ; 25 ; SSK ; 1037 
 7 ; Денга ; 1714 ;  ; Cu ; VF- ; 40 ; coinlover ; 1300 
 8 ; Копейка ; 1715 ; НД ; Cu ; VF ; 17 ; TDN ; 826 
 9 ; Копейка ; 1715 ; МД ; Cu ; VF ; 27 ; Sky2 ; 1100 
 10 ; Рубль (Петров-4р) ; 1720 ; OK ; Ag ; VF ; 34 ; Участник № 51 ; 34000 
 11 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; F-VF ; 18 ; SSK ; 2601 
 12 ; Рубль ; 1728 ;  ; Ag ; VF-XF ; 34 ; Участник № 1 ; 28000 
 13 ; Рубль ; 1728 ;  ; Ag ; VF+ ; 37 ; ZOLTAN333 ; 26890 
 14 ; Рубль ; 1734 ;  ; Ag ; VF-XF ; 33 ; Участник № 1 ; 24000 
 15 ; Рубль ; 1740 ;  ; Ag ; VF+ ; 37 ; ВДВ ; 23187 
 16 ; Рубль (Петров-3р) ; 1755 ; СПБ IM BS ; Ag ; XF-/XF+ ; 44 ; Участник № 384 ; 31000 
 17 ; Полушка (Петров-2р, Ильин-1р) ; 1758 ;  ; Cu ; VF+ ; 39 ; кве ; 3060 
 18 ; 10 копеек (Петров-1р) ; 1762 ;  ; Cu ; F+ ; 53 ; double ; 21043 
 19 ; Копейка (Петров-3р, Ильин-3р) ; 1770 ; КМ "Сибирь" ; Cu ; F-VF ; 25 ; ANK ; 2204 
 20 ; 5 копеек ; 1771 ; КМ "Сибирь" ; Cu ; VF ; 21 ; TDN ; 1824 
 21 ; Полушка (Петров-1,5, Ильин-1р) ; 1771 ; КМ "Сибирь" ; Cu ; VF+ ; 17 ; finger ; 4794 
 22 ; 5 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 28 ; SSK ; 4597 
 23 ; Денга (Петров-2,5р) ; 1779 ; КМ "Сибирь" ; Cu ; VF- ; 18 ; ANK ; 1022 
 24 ; 15 копеек (Петров-1р) ; 1781 ; СПБ ; Ag ; XF+ ; 25 ; ф555 ; 5889 
 25 ; 5 копеек (Петров-10р) ; 1781 ; КМ ; Cu ; F-VF ; 38 ; 1234567 ; 8772 
 26 ; Денга (Ильин-1р) ; 1784 ; КМ ; Cu ; VF ; 36 ; нумизмат ; 1655 
 27 ; Полуполтинник ; 1785 ; СПБ ЯА ; Ag ; VF+ ; 23 ; ф555 ; 5610 
 28 ; Денга (Петров-1р) ; 1785 ; КМ ; Cu ; VF ; 15 ; ААК ; 1202 
 29 ; Полушка (Петров-2,5р, Ильин-1р) ; 1787 ; КМ ; Cu ; VF- ; 21 ; нумизмат ; 1838 
 30 ; 2 копейки (Петров-2р, Ильин-3р) ; 1790 ; АМ ; Cu ; F-VF ; 34 ; нумизмат ; 5500 
 31 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF ; 35 ; Iova ; 5259 
 32 ; 2 копейки (Петров-6р, Ильин-8р) ; 1793 ; АМ ; Cu ; F-VF ; 17 ; SSK ; 9497 
 33 ; 2 копейки (Петров-1р) ; 1796 ; ЕМ ; Cu ; VF- ; 28 ; dimon46 ; 2204 
 34 ; Денга ; 1796 ; ЕМ ; Cu ; VF+ ; 19 ; crackjack ; 480 
 35 ; 2 копейки (Петров-1р) ; 1797 ;  ; Cu ; VF- ; 44 ; SSK ; 5212 
 36 ; 2 копейки ; 1797 ; ЕМ ; Cu ; XF- ; 29 ; VAG ; 1680 
 37 ; 2 копейки ; 1797 ; АМ ; Cu ; VF+ ; 43 ; OMT ; 1190 
 38 ; 2 копейки (Ильин-15р) ; 1797 ; АМ ; Cu ; F-VF ; 49 ; Участник № 140 ; 36000 
 39 ; 2 копейки ; 1801 ; ЕМ ; Cu ; XF- ; 15 ; OMT ; 2267 
 40 ; 5 копеек (Петров-2р, Ильин-1р) ; 1804 ; КМ ; Cu ; VF+ ; 13 ; dimon46 ; 3825 
 41 ; 5 копеек (Петров-2,5, Ильин-2р) ; 1806 ; КМ ; Cu ; VF+ ; 20 ; OMT ; 5172 
 42 ; 2 копейки (Ильин-3р) ; 1810 ; ЕМ НМ ; Cu ; VF ; 36 ; SSK ; 6834 
 43 ; 2 копейки ; 1810 ; КМ ; Cu ; VF+ ; 17 ; ealiev ; 720 
 44 ; 2 копейки ; 1811 ; КМ ПБ ; Cu ; XF- ; 17 ; robocop ; 1175 
 45 ; 2 копейки ; 1811 ; ИМ ПС ; Cu ; XF+ ; 14 ; robokop ; 1145 
 46 ; Полтина ; 1814 ; СПБ МФ ; Ag ; VF+ ; 15 ; ealiev ; 2267 
 47 ; 10 копеек ; 1814 ; СПБ ПС ; Ag ; XF- ; 27 ; antiquar ; 3213 
 48 ; 2 копейки (Петров-7р) ; 1814 ; СПБ ПС ; Cu ; F-VF ; 23 ; TDN ; 6122 
 49 ; Копейка ; 1818 ; ЕМ НМ ; Cu ; VF-XF ; 17 ; robokop ; 4521 
 50 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF- ; 27 ; 439 ; 2002 
