 241 ; Копейка ; 1767 ; КМ "Сибирь" ; Cu ; VF- ; 20 ; Сhatsky ; 1300 
 242 ; Копейка (Петров-2,5р. Ильин-3р.) ; 1805 ; КМ ; Cu ; VF ; 37 ; Продано в зале ; 27000 
 243 ; Копейка ; 1813 ; ИМ ПС ; Cu ; VF+ ; 36 ; АВС ; 6000 
 244 ; Копейка ; 1825 ; КМ АМ ; Cu ; VF+ ; 22 ; Продано в зале ; 1400 
 245 ; Копейка ; 1832 ; ЕМ ФХ ; Cu ; VF+ ; 29 ; Hokusai ; 1600 
 246 ; Копейка ; 1832 ; СМ ; Cu ; VF ; 52 ; Hokusai ; 1500 
 247 ; Копейка (Петров-1,5р. Ильин-2р.) ; 1836 ; СМ ; Cu ; VF ; 42 ; Hokusai ; 4800 
 248 ; Копейка ; 1839 ; СМ ; Cu ; F+ ; 6 ; electra ; 200 
 249 ; Копейка ; 1839 ; СМ ; Cu ; VF+ ; 25 ; Hokusai ; 1300 
 250 ; Копейка ; 1842 ; СМ ; Cu ; VF ; 19 ; Hokusai ; 850 
 151 ; 5 копеек ; 1803 ; ЕМ ; Cu ; F ; 15 ; АВС ; 1600 
 152 ; 5 копеек (Петров-2р. Ильин-1р.) ; 1804 ; КМ ; Cu ; F ; 23 ; Путеец ; 5500 
 153 ; 5 копеек ; 1805 ; ЕМ ; Cu ; VF ; 17 ; Moryak ; 4000 
 154 ; 5 копеек ; 1806 ; ЕМ ; Cu ; VF+ ; 20 ; Hokusai ; 3600 
 155 ; 5 копеек (Петров-5р. Ильин-3р.) ; 1809 ; КМ ; Cu ; F-VF ; 19 ; eastern wind ; 5250 
 156 ; 5 копеек ; 1810 ; ЕМ ; Cu ; VF- ; 29 ; Продано в зале ; 10000 
 157 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; VF ; 23 ; Hokusai ; 3000 
 158 ; 5 копеек ; 1833 ; СМ ; Cu ; VF+ ; 25 ; Hokusai ; 3400 
 159 ; 5 копеек ; 1850 ; ЕМ ; Cu ; VF- ; 41 ; Hokusai ; 5500 
 160 ; 5 копеек (Ильин-2р.) ; 1854 ; ЕМ ; Cu ; VF- ; 26 ; Moryak ; 9207 
 161 ; 5 копеек ; 1856 ; ЕМ ; Cu ; VF- ; 36 ; Продано в зале ; 2600 
 162 ; 5 копеек ; 1865 ; ЕМ ; Cu ; VF ; 19 ; Moryak ; 3400 
 163 ; 5 копеек ; 1868 ; СПБ ; Cu ; VF+ ; 36 ; Сhatsky ; 3400 
 164 ; 5 копеек ; 1869 ; ЕМ ; Cu ; XF ; 24 ; Сhatsky ; 3400 
 165 ; 5 копеек ; 1870 ; ЕМ ; Cu ; VF-XF ; 46 ; electra ; 2200 
 166 ; 5 копеек (Петров-2р. Ильин-2р.) ; 1870 ; СПБ ; Cu ; VF- ; 57 ; Сhatsky ; 32000 
 167 ; 5 копеек ; 1877 ; СПБ ; Cu ; XF ; 84 ; Hokusai ; 3800 
 168 ; 5 копеек ; 1912 ; СПБ ; Cu ; XF+ ; 69 ; stroganchik87 ; 17000 
 169 ; 3 копейки ; 1840 ; СПМ ; Cu ; VF+ ; 23 ; Moryak ; 6120 
 170 ; 3 копейки ; 1842 ; ЕМ ; Cu ; VF+ ; 31 ; Moryak ; 2800 
 171 ; 3 копейки ; 1843 ; ЕМ ; Cu ; VF ; 31 ; Hokusai ; 3000 
 172 ; 3 копейки ; 1843 ; СПМ ; Cu ; VF- ; 30 ; АВС ; 2600 
 173 ; 3 копейки ; 1845 ; СМ ; Cu ; VF- ; 20 ; Обломов ; 4465 
 174 ; 3 копейки (Ильин-2р.) ; 1850 ; ЕМ ; Cu ; VF+ ; 26 ; Hokusai ; 9000 
 175 ; 3 копейки (Ильин-2р.) ; 1851 ; ВМ ; Cu ; VF+ ; 63 ; АВС ; 21000 
 176 ; 3 копейки ; 1854 ; ЕМ ; Cu ; VF-XF ; 35 ; Сhatsky ; 6750 
 177 ; 3 копейки ; 1854 ; ВМ ; Cu ; VF+ ; 43 ; Alexdav ; 10000 
 178 ; 3 копейки (Петров-5р. Ильин-5р.) ; 1857 ; ВМ ; Cu ; VF- ; 32 ; Обломов ; 19000 
 179 ; 3 копейки ; 1858 ; ЕМ ; Cu ; VF+ ; 49 ; Sky2 ; 5502 
 180 ; 3 копейки ; 1860 ; ЕМ ; Cu ; VF ; 16 ; Hokusai ; 1600 
 181 ; 3 копейки ; 1861 ; ЕМ ; Cu ; VF-XF ; 21 ; Продано в зале ; 6500 
 182 ; 3 копейки ; 1862 ; ВМ ; Cu ; VF ; 97 ; Zoltan 333 ; 19000 
 183 ; 3 копейки ; 1863 ; ВМ ; Cu ; VF+ ; 34 ; Hokusai ; 16000 
 184 ; 3 копейки ; 1864 ; ЕМ ; Cu ; VF-XF ; 15 ; Hokusai ; 4600 
 185 ; 3 копейки ; 1899 ; СПБ ; Cu ; AU ; 96 ; Продано в зале ; 14500 
 186 ; 3 копейки ; 1906 ; СПБ ; Cu ; AU ; 112 ; Продано в зале ; 21000 
 187 ; 3 копейки ; 1915 ;  ; Cu ; AU ; 59 ; МВ ; 3000 
 188 ; 2 копейки ; 1759 ;  ; Cu ; VF ; 44 ; 25 ; 3600 
 189 ; 2 копейки ; 1760 ; Гурт надп. ЕКАТЕРИНБУРГ ; Cu ; VF ; 38 ; Hokusai ; 6500 
 190 ; 2 копейки ; 1763 ; СПМ ; Cu ; F+ ; 4 ; марс ; 102 
 191 ; 2 копейки ; 1764 ; СПМ ; Cu ; F+ ; 12 ; Hokusai ; 1100 
 192 ; 2 копейки (Петров-7р. Ильин-3р.) ; 1767 ; СПМ ; Cu ; F+ ; 36 ; Сhatsky ; 4600 
 193 ; 2 копейки. М-14,18г ; 1776 ; ЕМ ; Cu ; VF- ; 24 ; Hokusai ; 4400 
 194 ; 2 копейки ; 1788 ; СПМ ; Cu ; F+ ; 19 ; кум ; 2800 
 195 ; 2 копейки (Петров-2р. Ильин-3р.) ; 1789 ; АМ ; Cu ; F-VF ; 32 ; Продано в зале ; 9500 
 196 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF+ ; 30 ; Hokusai ; 1600 
 197 ; 2 копейки ; 1791 ; ЕМ ; Cu ; VF- ; 29 ; Продано в зале ; 2400 
 198 ; 2 копейки (Петров-6р. Ильин-8р.) ; 1793 ; АМ ; Cu ; F-VF ; 54 ; 25 ; 21000 
 199 ; 2 копейки ; 1793 ; Е- М Павл.перечекан ; Cu ; F+ ; 37 ; 25 ; 16000 
 200 ; 2 копейки ; 1767 ; КМ "Сибирь" ; Cu ; VF ; 25 ; кабан ; 4500 
 101 ; Солид (Петров-6р) ; 1759 ; Для Пруссии ; Ag ; F-VF ; 29 ; *@*#* ; 5250 
 102 ; Двойной абаз ; 1819 ; АТ Грузия ; Ag ; VF- ; 23 ; eastern wind ; 6500 
 103 ; Двойной абаз ; 1830 ; АТ Грузия ; Ag ; VF ; 47 ; Путеец ; 6000 
 104 ; 5 злотых ; 1817 ; IB Польша ; Ag ; VF- ; 30 ; Alexdav ; 9500 
 105 ; 5 злотых (Ильин-3р) ; 1818 ; IB Польша ; Ag ; VF- ; 51 ; }|{ивотное ; 10500 
 106 ; 5 злотых ; 1832 ; KG Польша ; Ag ; VF+ ; 28 ; Sintez ; 9000 
 107 ; 5 злотых ; 1834 ; IP Польша ; Ag ; VF- ; 26 ; Обломов ; 9500 
 108 ; 1 злотый ; 1829 ; FH Польша ; Ag ; VF+ ; 52 ; ALEX1938 ; 7500 
 109 ; 1,5 рубля-10 злотых ; 1836 ; НГ Рус.-Пол. ; Ag ; VF-XF ; 37 ; АЦТЕК ; 16000 
 110 ; 15 копеек-1 злотый ; 1835 ; MW Рус.-Пол. ; Ag ; XF ; 29 ; Продано в зале ; 6000 
 111 ; 15 копеек-1 злотый ; 1836 ; НГ Рус.-Пол. ; Ag ; VF-XF ; 11 ; Продано в зале ; 1300 
 112 ; 10 копеек ; 1762 ;  ; Cu ; F-VF ; 19 ; Ok203 ; 30604 
 113 ; 10 копеек ; 1762 ;  ; Cu ; F-VF ; 32 ; eastern wind ; 26000 
 114 ; 10 копеек (Петров-6р, Ильин-3р) ; 1766 ; "Сибирь" ; Cu ; F+ ; 21 ; $@€ ; 20000 
 115 ; 10 копеек (Петров-5р. Ильин-3р.) ; 1767 ; "Сибирь" ; Cu ; VF ; 35 ; Брат ; 42000 
 116 ; 10 копеек (Петров-2р.) ; 1767 ; КМ "Сибирь" ; Cu ; VF- ; 16 ; vic-dmitri ; 5500 
 117 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF+ ; 11 ; $@€ ; 7000 
 118 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 21 ; Zakhapisty ; 9272 
 119 ; 10 копеек (Петров-15р.) ; 1796 ;  ; Cu ; F ; 88 ; *@*#* ; 120000 
 120 ; 10 копеек ; 1834 ; ЕМ ФХ ; Cu ; VF+ ; 51 ; Sky2 ; 9500 
 121 ; 10 копеек ; 1835 ; ЕМ ФХ ; Cu ; VF-XF ; 48 ; АВС ; 11000 
 122 ; 10 копеек ; 1837 ; ЕМ НА ; Cu ; VF+ ; 38 ; Hokusai ; 4000 
 123 ; 10 копеек (Ильин-3р.) ; 1838 ; СМ ; Cu ; F+ ; 35 ; Hokusai ; 4800 
 124 ; 5 копеек ; 1723 ; Дата снизу вверх ; Cu ; VF ; 47 ; Hokusai ; 7500 
 125 ; 5 копеек ; 1724 ; МД ; Cu ; VF- ; 33 ; Hokusai ; 6750 
 126 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF ; 36 ; Сhatsky ; 3600 
 127 ; 5 копеек ; 1727 ; КД КОПЪЕКЬ ; Cu ; F ; 33 ; АВС ; 9000 
 128 ; 5 копеек ; 1727 ; КД КОПЪAКЬ ; Cu ; VF ; 34 ; Hokusai ; 3400 
 129 ; 5 копеек. Фальшивая. M-9,3г. ; 1730 ;  ; Cu ; VG ; 35 ; Сhatsky ; 2600 
 130 ; 5 копеек (Петров - 5р., Ильин - 3р.) ; 1760 ; ММ ; Cu ; F ; 12 ; eastern wind ; 1800 
 131 ; 5 копеек (Петров-10р. Ильин-3р.) ; 1761 ; ММ ; Cu ; F ; 50 ; 🐈 ; 7250 
 132 ; 5 копеек ; 1764 ; СМ ; Cu ; VF- ; 13 ; eastern wind ; 7500 
 133 ; 5 копеек ; 1766 ; ММ ; Cu ; F-VF ; 23 ; electra ; 1200 
 134 ; 5 копеек (Петров-3р, Ильин-8р) ; 1767 ; СМ ; Cu ; F+ ; 21 ; klok ; 12000 
 135 ; 5 копеек. Герб (1763-1767гг.) Редкая ; 1770 ; ЕМ ; Cu ; F-VF ; 46 ; 🐈 ; 21000 
 136 ; 5 копеек (Ильин-3р.) ; 1779 ; ЕМ ; Cu ; VF+ ; 49 ; Zoltan 333 ; 5000 
 137 ; 5 копеек ; 1786 ; КМ ; Cu ; VF-XF ; 25 ; electra ; 2200 
