 24 ; 10 копеек ; 1894 ; СПБ АГ ; Ag ; AU ; 41 ; нумизмат ; 3578 
 25 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; AU/XF ; 67 ; ЛАВ-13 ; 3999 
 26 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 17 ; сапсан ; 5244 
 27 ; 5 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 37 ; ЛАВ-13 ; 5555 
 28 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 28 ; TaraskaPeter ; 9066 
 29 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; AU/XF ; 17 ; TaraskaPeter ; 5788 
 30 ; 5 копеек ; 1873 ; СПБ HI ; Ag ; AU/XF ; 18 ; sdv75-2010 ; 6028 
 31 ; 5 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 5 ; 06031983 ; 3401 
 32 ; 10 копеек. (Петров-6р.) ; 1766 ; "Сибирь" ; Cu ; F+ ; 29 ; Продано в зале ; 9000 
 33 ; 10 копеек. (Петров-3р.) ; 1839 ; СМ ; Cu ; F+ ; 16 ; жулик ; 7650 
 34 ; 5 копеек ; 1759 ;  ; Cu ; VF-XF ; 26 ; Продано в зале ; 8500 
 35 ; 5 копеек ; 1766 ; ММ ; Cu ; VF+ ; 25 ; энкантадо ; 1836 
 36 ; 5 копеек. (Петров-40р.) ; 1767? ; "Сибирь" ; Cu ; F ; 23 ; рад ; 12638 
 37 ; 5 копеек ; 1767 ; КМ "Сибирь" ; Cu ; VF+ ; 48 ; нумизмат ; 5253 
 38 ; 5 копеек ; 1775 ; КМ "Сибирь" ; Cu ; XF- ; 42 ; dsidorov ; 14433 
 39 ; 5 копеек ; 1776 ; КМ "Сибирь" ; Cu ; XF ; 44 ; Продано в зале ; 19000 
 40 ; 5 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF ; 65 ; Продано в зале ; 21000 
 41 ; 5 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 31 ; dsidorov ; 13587 
 42 ; 5 копеек (Петров-1р) ; 1788 ; ММ ; Cu ; VF+ ; 25 ; 439 ; 1326 
 43 ; 5 копеек ; 1790 ; АМ ; Cu ; VF-XF ; 19 ; триори ; 1663 
 44 ; 5 копеек ; 1790 ; КМ ; Cu ; XF- ; 17 ; ТОЧКА ; 8200 
 45 ; 5 копеек ; 1792 ; АМ ; Cu ; VF-XF ; 17 ; Продано в зале ; 1200 
 46 ; 5 копеек ; 1792 ; КМ ; Cu ; XF ; 17 ; Xxzx ; 8500 
 47 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 62 ; Продано в зале ; 12000 
 48 ; 5 копеек ; 1793 ; КМ ; Cu ; XF- ; 13 ; Продано в зале ; 8600 
 49 ; 5 копеек ; 1794 ; КМ ; Cu ; XF- ; 5 ; Продано в зале ; 8000 
 50 ; 5 копеек ; 1795 ; КМ ; Cu ; XF- ; 74 ; Продано в зале ; 8800 
