 198 ; 15 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 8 ; Участник № 30 ; 3600 
 199 ; 5 копеек ; 1887 ; СПБ АГ ; Ag ; AU ; 8 ; Peugene ; 600 
 200 ; 10 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 13 ; на рубль больше ; 3774 
 101 ; Деньга ; 1819 ; ЕМ НМ ; Cu ; VF-XF ; 7 ; Участник № 584 ; 1100 
 102 ; Копейка ; 1821 ; КМ АМ ; Cu ; XF- ; 13 ; Участник № 51 ; 4400 
 103 ; Рубль ; 1825 ; СПБ ПД ; Ag ; VF+ ; 20 ; лиса ; 3976 
 104 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF+ ; 15 ; hummer ; 5747 
 105 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; XF+/AU ; 25 ; Участник № 147 ; 3200 
 106 ; Деньга ; 1828 ; ЕМ ИК ; Cu ; XF ; 28 ; ravs ; 2103 
 107 ; 5 рублей ; 1830 ; СПБ ПД ; Au ; VF+ ; 28 ; Sky2 ; 34000 
 108 ; Полтина ; 1830 ; СПБ НГ ; Ag ; XF- ; 28 ; Участник № 135 ; 44000 
 109 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF- ; 59 ; Участник № 1176 ; 7500 
 110 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; VF+ ; 5 ; o.k. ; 510 
 111 ; 10 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF- ; 15 ; Участник № 584 ; 3600 
 112 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF ; 20 ; Участник № 147 ; 2500 
 113 ; 5 копеек ; 1834 ; ЕМ ФХ ; Cu ; VF+ ; 22 ; Участник № 114 ; 750 
 114 ; Копейка ; 1834 ; ЕМ ФХ ; Cu ; VF-XF ; 12 ; SАП ; 2800 
 115 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; VF-XF ; 4 ; батя ; 1041 
 116 ; Копейка ; 1835 ; ЕМ ФХ ; Cu ; XF+ ; 11 ; gerz ; 3400 
 117 ; 5 копеек ; 1837 ; ЕМ НА ; Cu ; VF+ ; 7 ; vovan100 ; 1020 
 118 ; Копейка ; 1837 ; ЕМ НА ; Cu ; VF+ ; 1 ; Участник № 584 ; 550 
 119 ; Полтина ; 1839 ; СПБ НГ ; Ag ; AU ; 3 ; Участник № 6 ; 7500 
 120 ; 5 копеек ; 1839 ; ЕМ НА ; Cu ; VF- ; 1 ; на рубль больше ; 500 
 121 ; 1 грош ; 1839 ; MW Рус.-Пол. ; Cu ; XF- ; 17 ; monos72 ; 3694 
 122 ; Рубль ; 1840 ; СПБ НГ ; Ag ; XF+ ; 7 ; Участник № 1176 ; 3800 
 123 ; 3 копейки ; 1840 ; СПМ ; Cu ; AU ; 21 ; Участник № 30 ; 21000 
 124 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; AU ; 20 ; Участник № 30 ; 8500 
 125 ; 5 копеек ; 1843 ; СПБ АЧ ; Ag ; VF+ ; 20 ; SАП ; 2990 
 126 ; Полтина ; 1844 ; СПБ КБ ; Ag ; XF ; 31 ; Участник № 6 ; 6500 
 127 ; Полтина ; 1845 ; СПБ КБ ; Ag ; XF+ ; 86 ; anvidmi ; 5266 
 128 ; 25 копеек ; 1845 ; СПБ КБ ; Ag ; XF+ ; 17 ; Участник № 30 ; 6000 
 129 ; 20 копеек-40 грошей ; 1845 ; MW Рус.-Пол. ; Ag ; VF-XF ; 25 ; Участник № 6 ; 12000 
 130 ; Полтина. (Ошибка: МОНЕТЛ) ; 1846 ; MW ; Ag ; VF+ ; 20 ; Mmm ; 11730 
 131 ; 25 копеек-50 грошей ; 1848 ; MW Рус.-Пол. ; Ag ; VF-XF ; 11 ; нумизмат ; 10088 
 132 ; Рубль ; 1849 ; СПБ ПА ; Ag ; AU ; 9 ; Участник № 1295 ; 16000 
 133 ; Рубль ; 1850 ; СПБ ПА ; Ag ; XF ; 32 ; Участник № 1179 ; 12000 
 134 ; 20 копеек ; 1850 ; СПБ ПА ; Ag ; XF ; 4 ; на рубль больше ; 2900 
 135 ; Полтина ; 1852 ; СПБ ПА ; Ag ; AU ; 9 ; gerz ; 8670 
 136 ; 10 копеек ; 1853 ; СПБ HI ; Ag ; XF+ ; 19 ; SАП ; 4159 
 137 ; Копейка ; 1853 ; ВМ ; Cu ; XF- ; 24 ; int1965708 ; 13101 
 138 ; 5 копеек ; 1854 ; СПБ HI ; Ag ; AU ; 35 ; Участник № 147 ; 4000 
 139 ; Денежка ; 1854 ; ЕМ ; Cu ; XF ; 11 ; Участник № 584 ; 1700 
 140 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 10 ; Участник № 133 ; 2900 
 141 ; Копейка (Петров-3р) ; 1855 ; ВМ ; Cu ; VF+ ; 7 ; int1965708 ; 3570 
 142 ; Лот снят ;  ;  ;  ;  ; 0 ;  ; 0 
 143 ; 20 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 13 ; Участник № 1204 ; 9500 
 144 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 1 ; Участник № 147 ; 2600 
 145 ; 2 копейки ; 1856 ; ЕМ ; Cu ; XF-/VF+ ; 2 ; kol ; 1400 
 146 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; AU ; 6 ; Участник № 135 ; 8500 
 147 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; AU ; 27 ; Участник № 133 ; 5000 
 148 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 20 ; ravs ; 5000 
 149 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 19 ; Участник № 30 ; 6500 
 150 ; Денежка ; 1859 ; ЕМ ; Cu ; AU ; 43 ; Участник № 1295 ; 2700 
 51 ; Рубль ; 1773 ; СПБ ЯЧ TИ ; Ag ; XF- ; 17 ; Участник № 746 ; 11000 
 52 ; 10 копеек ; 1775 ; КМ "Сибирь" ; Cu ; VF-XF ; 24 ; Участник № 168 ; 10000 
 53 ; Рубль ; 1776 ; СПБ ЯЧ TИ ; Ag ; AU ; 7 ; Участник № 1204 ; 42000 
 54 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 6 ; Участник № 133 ; 6000 
 55 ; 2 копейки ; 1777 ; ЕМ ; Cu ; VF+ ; 14 ; Участник № 18 ; 5000 
 56 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; XF+ ; 35 ; Участник № 30 ; 26000 
 57 ; Рубль ; 1778 ; СПБ ФЛ ; Ag ; VF-XF ; 29 ; ААФ ; 8394 
 58 ; Гривенник ; 1779 ; СПБ ; Ag ; XF/XF+ ; 21 ; Участник № 30 ; 5700 
 59 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; AU ; 26 ; Участник № 1204 ; 27000 
 60 ; Рубль ; 1780 ; СПБ ИЗ ; Ag ; XF ; 22 ; Участник № 51 ; 14000 
 61 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; VF-XF ; 39 ; на рубль больше ; 12069 
 62 ; Гривенник ; 1781 ; СПБ ; Ag ; XF-/XF+ ; 15 ; alex-05 ; 4400 
 63 ; 5 копеек ; 1782 ; КМ ; Cu ; XF+ ; 28 ; volod ; 2443 
 64 ; 5 копеек ; 1783 ; КМ ; Cu ; XF ; 27 ; Mmm ; 3700 
 65 ; 15 копеек ; 1784 ; СПБ ; Ag ; AU ; 15 ; Участник № 51 ; 17000 
 66 ; Гривенник ; 1784 ; СПБ ; Ag ; XF ; 5 ; Участник № 18 ; 3800 
 67 ; Гривенник ; 1784 ; СПБ ; Ag ; XF ; 5 ; Участник № 133 ; 2500 
 68 ; 5 копеек ; 1785 ; КМ ; Cu ; XF- ; 22 ; батя ; 2550 
 69 ; 5 копеек ; 1786 ; КМ ; Cu ; XF+ ; 20 ; Участник № 30 ; 4000 
 70 ; 2 копейки (Петров-8р, Ильин-3р) ; 1788 ; СПМ ; Cu ; F-VF ; 30 ; fikus ; 6936 
 71 ; Копейка ; 1789 ; ЕМ ; Cu ; VF+ ; 30 ; 439 ; 873 
 72 ; 5 копеек ; 1795 ; КМ ; Cu ; XF ; 62 ; kol ; 7854 
 73 ; 2 копейки (Петров-20р, Ильин-10р) ; 1795 ; АМ ; Cu ; VF-XF ; 31 ; Участник № 133 ; 80000 
 74 ; Копейка (М=13,30г) ; 1795 ; ЕМ ; Cu ; VF-XF ; 22 ; Участник № 30 ; 2600 
 75 ; Денга ; 1795 ; ЕМ ; Cu ; XF- ; 17 ; hugo ; 2500 
 76 ; Полушка (Петров-2,75р, Ильин-5р) ; 1795? ; КМ ; Cu ; VF+ ; 19 ; fikus ; 4126 
 77 ; 5 копеек (очень редкий, гурт- шнур) ; 1796 ; ЕМ Павл.перечек ; Cu ; VF ; 103 ; kol ; 51000 
 78 ; 5 копеек (Петров-3р) ; 1797 ; СМ ФЦ ; Ag ; AU ; 44 ; Участник № 30 ; 115000 
 79 ; 2 копейки ; 1797 ; АМ ; Cu ; VF+ ; 13 ; hugo ; 1022 
 80 ; Деньга ; 1797 ; ЕМ ; Cu ; XF+ ; 7 ; Участник № 51 ; 4000 
 81 ; Полушка ; 1797 ; АМ ; Cu ; AU ; 21 ; Участник № 51 ; 12000 
