 95 ; 10 копеек ; 1772 ; КМ "Сибирь" ; Cu ; VF+ ; 13 ; 222211 ; 9180 
 96 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; XF- ; 20 ; 222211 ; 9473 
 97 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 19 ; БАЗА К ; 12345 
 98 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 33 ; Продано в зале ; 12600 
 99 ; 10 копеек ; 1781 ; КМ "Сибирь" ; Cu ; VF+ ; 14 ; yrij ; 7933 
 100 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF ; 73 ; Брат ; 19896 
 1 ; 10 рублей. М - 12,88 г ; 1894 ; (АГ) АГ ; Au ; XF+ ; 57 ; Продано в зале ; 185000 
 2 ; 10 рублей. М - 8,6 г ; 1902 ; (АР) АГ ; Au ; XF+/AU ; 21 ; zuza ; 31875 
 3 ; 5 рублей. М - 4,3 г ; 1898 ; (АГ) ; Au ; XF+ ; 12 ; ctepanovich ; 12500 
 4 ; 5 рублей. М - 4,3 г ; 1900 ; (ФЗ) ; Au ; XF+ ; 10 ; cr59 ; 12500 
 5 ; Рубль ; 1705 ;  ; Ag ; VF-XF ; 87 ; Продано в зале ; 340000 
 6 ; Рубль Петров-10 руб ; 1707 ; Н ; Ag ; XF- ; 87 ; finger ; 460000 
 7 ; Рубль Петров-5 руб ; 1722 ;  ; Ag ; VF+ ; 63 ; Продано в зале ; 60000 
 8 ; Рубль (Петров - 10 руб) ; 1725 ; СПБ ; Ag ; VF-XF/VF+ ; 61 ; Продано в зале ; 80000 
 9 ; Рубль ; 1725 ; СПБ ; Ag ; VF+/VF-XF ; 32 ; Продано в зале ; 44000 
 10 ; Рубль ; 1726 ;  ; Ag ; VF-XF ; 37 ; Продано в зале ; 48000 
 11 ; Рубль ; 1727 ; СПБ ; Ag ; VF+ ; 88 ; 25 ; 115000 
 12 ; Рубль ; 1728 ;  ; Ag ; XF+ ; 44 ; Продано в зале ; 62000 
 13 ; Рубль ; 1729 ;  ; Ag ; XF+ ; 49 ; Продано в зале ; 82000 
 14 ; Рубль ; 1733 ;  ; Ag ; VF-XF ; 56 ; Продано в зале ; 27000 
 15 ; Рубль (Петров-100р, Ильин-100р) ; 1736 ;  ; Ag ; VF-XF ; 84 ; Продано в зале ; 4600000 
 16 ; Рубль ; 1742 ; СПБ ; Ag ; XF ; 32 ; to-to ; 19780 
 17 ; Рубль ; 1743 ; ММД ; Ag ; VF+ ; 24 ; mixey ; 16001 
 18 ; Рубль ; 1753 ; СПБ IM ; Ag ; XF ; 38 ; Продано в зале ; 32000 
 19 ; Рубль ; 1758 ; СПБ НК TI ; Ag ; XF- ; 108 ; Продано в зале ; 64000 
 20 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; XF- ; 9 ; OVOXO ; 12948 
 21 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; AU ; 38 ; Продано в зале ; 50000 
 22 ; Рубль (Грубый чекан) ; 1768 ; ММД EI ; Ag ; VF-XF ; 25 ; Продано в зале ; 36000 
 23 ; Рубль ; 1768 ; СПБ АШ TI ; Ag ; XF+ ; 48 ; RuByLa ; 26410 
 24 ; Рубль ; 1773 ; СПБ ЯЧ TИ ; Ag ; XF-/XF+ ; 31 ; Продано в зале ; 18000 
 25 ; Рубль ; 1774 ; СПБ QЛ TИ ; Ag ; XF/AU ; 66 ; Продано в зале ; 30000 
 26 ; Рубль ; 1777 ; СПБ ФЛ ; Ag ; XF ; 29 ; Роман Петрович ; 17922 
 27 ; Рубль ; 1792 ; СПБ ЯА TI ; Ag ; XF- ; 37 ; Продано в зале ; 26000 
 28 ; Рубль ; 1802 ; СПБ АИ ; Ag ; XF ; 34 ; Продано в зале ; 26000 
 29 ; Рубль ; 1807 ; СПБ ФГ ; Ag ; XF+ ; 115 ; lupus47 ; 92000 
 30 ; Рубль ; 1813 ; СПБ ПС ; Ag ; AU ; 32 ; Продано в зале ; 28000 
 31 ; Рубль ; 1816 ; СПБ МФ ; Ag ; AU ; 46 ; Продано в зале ; 28000 
 32 ; Рубль ; 1816 ; СПБ ПС ; Ag ; AU/XF+ ; 56 ; Продано в зале ; 28000 
 33 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF+ ; 26 ; Продано в зале ; 23000 
 34 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 30 ; Продано в зале ; 22000 
 35 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 52 ; Продано в зале ; 33000 
 36 ; Рубль ; 1829 ; СПБ НГ ; Ag ; XF+ ; 57 ; Продано в зале ; 20000 
 37 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF- ; 46 ; lupus47 ; 18796 
 38 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF- ; 30 ; pt ; 12261 
 39 ; Рубль ; 1833 ; СПБ НГ ; Ag ; AU/XF+ ; 29 ; Продано в зале ; 23000 
 40 ; Рубль ; 1837 ; СПБ НГ ; Ag ; XF+ ; 66 ; Продано в зале ; 24000 
 41 ; Рубль (4- в дате "открытые") ; 1844 ; СПБ КБ ; Ag ; XF ; 32 ; Продано в зале ; 21000 
 42 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF+ ; 32 ; sax ; 8103 
 43 ; Рубль ; 1885 ; СПБ АГ ; Ag ; AU/XF+ ; 41 ; Продано в зале ; 36000 
 44 ; Рубль ; 1886 ; (АГ) ; Ag ; VF-XF ; 48 ; ацетон ; 21329 
 45 ; Рубль ; 1898 ; ( ** ) ; Ag ; XF+ ; 34 ; Продано в зале ; 11500 
 46 ; Рубль ; 1899 ; ( ** ) ; Ag ; XF+ ; 28 ; icebreaker ; 22950 
 47 ; Рубль ; 1899 ; (ФЗ) ; Ag ; AU ; 39 ; pt ; 36720 
 48 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF+ ; 48 ; polevoy ; 130000 
 49 ; Рубль ; 1913 ; (ЭБ) ; Ag ; AU ; 48 ; Продано в зале ; 155000 
 50 ; Полтина ; 1704 ; МД ; Ag ; XF ; 49 ; Продано в зале ; 115000 
