 222 ; 25 копеек ; 1856 ; СПБ ФБ  ; Ag ; AU ; 18 ; Участник № 462 ; 4000 
 223 ; 20 копеек ; 1856 ; СПБ ФБ  ; Ag ; VF-XF ; 8 ; Участник № 262 ; 5000 
 224 ; 5 копеек (Ильин-3р) ; 1856 ; ВМ  ;  ; F-VF ; 39 ; Участник № 54 ; 22000 
 225 ; Денежка ; 1856 ; ЕМ  ; Cu ; XF+ ; 34 ; Участник № 541 ; 12699 
 226 ; 25 копеек ; 1857 ; СПБ ФБ  ; Ag ; AU ; 19 ; Участник № 458 ; 4488 
 227 ; Денежка ; 1857 ; ЕМ  ; Cu ; XF- ; 18 ; Участник № 262 ; 2400 
 228 ; Денежка ; 1857 ; ЕМ  ; Cu ; XF- ; 12 ; Участник № 133 ; 700 
 229 ; Рубль (Петров-3р) ; 1858 ; СПБ ФБ  ; Ag ; XF- ; 36 ; Участник № 62 ; 160000 
 230 ; Полтина ; 1858 ; СПБ ФБ  ; Ag ; VF-XF ; 16 ; Участник № 9 ; 5200 
 231 ; 25 копеек ; 1858 ; СПБ ФБ  ; Ag ; AU/XF+ ; 7 ; Участник № 183 ; 2800 
 232 ; 25 копеек ; 1858 ; СПБ ФБ  ; Ag ; XF- ; 9 ; Участник № 133 ; 2200 
 233 ; 10 копеек ; 1858 ; СПБ ФБ  ; Ag ; AU ; 30 ; Участник № 867 ; 7467 
 234 ; Копейка ; 1858 ; ЕМ  ; Cu ; VF+ ; 5 ; Участник № 262 ; 850 
 235 ; Рубль ; 1859 ; На открытие памятника Николаю  ; Ag ; XF+ ; 70 ; Участник № 9 ; 75000 
 236 ; Полтина ; 1859 ; СПБ ФБ  ; Ag ; XF- ; 21 ; Участник № 9 ; 6000 
 237 ; 25 копеек ; 1859 ; СПБ ФБ  ;  ; XF- ; 18 ; Участник № 701 ; 3400 
 238 ; 25 копеек ; 1859 ; СПБ ФБ  ; Ag ; XF ; 12 ; Участник № 541 ; 4000 
 239 ; 10 копеек ; 1859 ; СПБ ФБ  ; Ag ; XF ; 33 ; Участник № 701 ; 6250 
 240 ; 2 копейки ; 1859 ; ЕМ  ; Cu ; XF ; 36 ; Участник № 262 ; 21726 
 241 ; 25 копеек ; 1860 ; СПБ ФБ  ; Ag ; XF+ ; 9 ; Участник № 6 ; 6500 
 242 ; 20 копеек. Особый тип герба ; 1860 ; СПБ ФБ  ; Ag ; VF-XF ; 21 ; Участник № 262 ; 12000 
 243 ; 15 копеек. Особый тип герба ; 1860 ; СПБ ФБ  ;  ; XF ; 53 ; Участник № 9 ; 3800 
 244 ; 10 копеек. Особый тип герба ; 1860 ; СПБ ФБ  ; Ag ; VF-XF ; 9 ; Участник № 231 ; 4070 
 245 ; 5 копеек ; 1860 ; СПБ ФБ  ; Ag ; XF- ; 26 ; Участник № 4 ; 6000 
 246 ; 3 копейки ; 1860 ; ЕМ  ; Cu ; VF-XF ; 28 ; Участник № 262 ; 3048 
 247 ; 2 копейки ; 1860 ; ЕМ  ; Cu ; VF-XF ; 21 ; Участник № 750 ; 1600 
 248 ; 20 копеек ; 1861 ; СПБ ФБ  ; Ag ; AU ; 27 ; Участник № 9 ; 5500 
 249 ; 20 копеек ; 1861 ; СПБ  ; Ag ; AU ; 35 ; Участник № 9 ; 2000 
 250 ; 15 копеек ; 1861 ; СПБ  ; Ag ; AU ; 9 ; Участник № 431 ; 1275 
 151 ; 2 копейки ; 1827 ; ЕМ ИК  ; Cu ; XF- ; 12 ; Участник № 262 ; 600 
 152 ; 2 копейки ; 1827 ; КМ АМ  ; Cu ; VF-XF ; 13 ; Участник № 30 ; 5600 
 153 ; Рубль ; 1828 ; СПБ НГ  ; Ag ; VF-XF ; 16 ; Участник № 133 ; 6500 
 154 ; 25 копеек ; 1829 ; СПБ НГ  ; Ag ; VF-XF ; 21 ; Участник № 126 ; 11000 
 155 ; 25 копеек ; 1829 ; СПБ НГ  ; Ag ; XF ; 14 ; Участник № 6 ; 5600 
 156 ; Рубль ; 1831 ; СПБ НГ  ; Ag ; XF- ; 23 ; Участник № 62 ; 26000 
 157 ; 10 копеек ; 1831 ; СПБ НГ  ; Ag ; VF ; 9 ; Участник № 6 ; 6500 
 158 ; 5 копеек ; 1831 ; СПБ НГ  ; Ag ; VF+ ; 10 ; Участник № 4 ; 4800 
 159 ; Копейка ; 1831 ; СМ  ; Cu ; VF-XF ; 27 ; Участник № 16 ; 10000 
 160 ; 5 копеек ; 1832 ; СПБ НГ  ; Ag ; VF+ ; 38 ; Участник № 55 ; 3800 
 161 ; Копейка ; 1832 ; ЕМ ФХ  ; Cu ; XF- ; 18 ; Участник № 231 ; 3800 
 162 ; 5 копеек ; 1833 ; ЕМ ФХ  ; Cu ; VF-XF ; 18 ; Участник № 133 ; 800 
 163 ; 5 копеек ; 1833 ; ЕМ ФХ  ; Cu ; XF- ; 9 ; Участник № 431 ; 2800 
 164 ; Рубль ; 1834 ; СПБ НГ  ; Ag ; VF-XF ; 24 ; Участник № 11 ; 8206 
 165 ; 5 копеек ; 1834 ; СПБ НГ  ; Ag ; VF-XF ; 9 ; Участник № 67 ; 1134 
 166 ; 5 копеек ; 1835 ; СМ  ; Cu ; VF ; 7 ; Участник № 496 ; 3500 
 167 ; 25 копеек ; 1836 ; СПБ НГ  ; Ag ; VF+ ; 14 ; Участник № 495 ; 3627 
 168 ; 5 копеек ; 1836 ; СМ  ; Cu ; F-VF ; 3 ; Участник № 9 ; 357 
 169 ; Рубль (Ильин-4р) ; 1837 ; СПБ НГ  ; Ag ; VF ; 9 ; Участник № 637 ; 6834 
 170 ; 5 копеек (Ильин-5р) ; 1837 ; ЕМ ФХ  ;  ; F-VF ; 7 ; Участник № 9 ; 4600 
 171 ; 20 копеек ; 1839 ; СПБ НГ  ; Ag ; AU ; 34 ; Участник № 867 ; 20400 
 172 ; 10 копеек ; 1839 ; СПБ НГ  ; Ag ; VF-XF ; 13 ; Участник № 701 ; 2400 
 173 ; Рубль ; 1840 ; СПБ НГ  ; Ag ; AU ; 22 ; Участник № 748 ; 18136 
 174 ; Рубль ; 1840 ; СПБ НГ  ;  ; XF- ; 76 ; Участник № 607 ; 5781 
 175 ; 10 грошей ; 1840 ; MW Рус.-Пол.  ;  ; AU ; 13 ; Участник № 133 ; 1800 
 176 ; 1/2 копейки ; 1840 ; СПМ  ; Cu ; VF-XF ; 3 ; Участник № 6 ; 580 
 177 ; 1/4 копейки ; 1840 ; ЕМ  ; Cu ; XF+ ; 26 ; Участник № 541 ; 7732 
 178 ; Копейка ; 1841 ; ЕМ  ; Cu ; VF-XF ; 10 ; Участник № 262 ; 726 
 179 ; Рубль ; 1842 ; СПБ АЧ  ; Ag ; AU ; 14 ; Участник № 748 ; 55000 
 180 ; Рубль ; 1842 ; СПБ АЧ  ; Ag ; XF+ ; 16 ; Участник № 9 ; 8500 
 181 ; 3 копейки ; 1842 ; ЕМ  ; Cu ; VF+ ; 13 ; Участник № 390 ; 3621 
 182 ; 1/4 копейки ; 1842 ; СМ  ; Cu ; XF ; 11 ; Участник № 750 ; 3400 
 183 ; 1/4 копейки ; 1842 ; ЕМ  ; Cu ; XF ; 15 ; Участник № 541 ; 10037 
 184 ; Рубль ; 1844 ; СПБ КБ  ; Ag ; XF ; 15 ; Участник № 9 ; 9200 
 185 ; Рубль ; 1844 ; MW  ; Ag ; VF-XF ; 11 ; Участник № 607 ; 6000 
 186 ; 3 копейки ; 1844 ; ЕМ  ; Cu ; VF+ ; 15 ; Участник № 262 ; 2958 
