 28 ; 25 копеек ; 1836 ; СПБ НГ ; Ag ; XF- ; 34 ; Продано в зале ; 4400 
 29 ; 25 копеек-50 грошей ; 1847 ; MW Рус.-Пол. ; Ag ; XF ; 28 ; $$$ ; 12000 
 30 ; 25 копеек (ЧИCТЛГО) ; 1851 ; СПБ ПА ; Ag ; XF ; 48 ; Продано в зале ; 14000 
 31 ; 25 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 46 ; sheff78 ; 11220 
 32 ; 20 копеек ; 1784 ; СПБ ; Ag ; VF-XF ; 42 ; dsa ; 5109 
 33 ; 20 копеек (Ильин - 10 руб) ; 1816 ; СПБ МФ ; Ag ; F-VF ; 16 ; Продано в зале ; 7000 
 34 ; 20 копеек ; 1822 ; СПБ ПД ; Ag ; XF+ ; 25 ; Продано в зале ; 2400 
 35 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 25 ; Продано в зале ; 3800 
 36 ; 20 копеек ; 1840 ; СПБ НГ ; Ag ; XF ; 38 ; $$$ ; 5644 
 37 ; 20 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 38 ; нумизмат ; 7367 
 38 ; 20 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 26 ; Шпиль ; 3570 
 39 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 26 ; Продано в зале ; 2100 
 40 ; 20 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 19 ; Шпиль ; 3200 
 41 ; 20 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 7 ; Шпиль ; 2600 
 42 ; 20 копеек ; 1888 ; СПБ АГ ; Ag ; AU ; 13 ; andreyx  ; 4200 
 43 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 28 ; Продано в зале ; 1600 
 44 ; 15 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 12 ; Продано в зале ; 12000 
 45 ; 15 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 11 ; taa ; 3611 
 46 ; 15 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 24 ; ДМИТРИЙ С ; 6000 
 47 ; 15 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 24 ; Продано в зале ; 3800 
 48 ; 15 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 24 ; Karhu ; 7933 
 49 ; 15 копеек. Редка ; 1912 ; СПБ ВС ; Ag ; XF ; 84 ; ZOLTAN333 ; 61342 
 50 ; Гривенник ; 1747 ;  ; Ag ; XF+ ; 72 ; Продано в зале ; 17000 
