 12 ; Рубль ; 1751 ; ММД ; Ag ; VF+ ; 23 ; sotnik ; 19947 
 13 ; Рубль ; 1762 ; СПБ НК TI ; Ag ; VF-XF ; 21 ; nemoYA ; 11445 
 14 ; Рубль ; 1772 ; СПБ ЯЧ TI ; Ag ; VF-XF ; 39 ; sotnik ; 16000 
 15 ; Рубль ; 1802 ; СПБ АИ ; Ag ; VF-XF ; 30 ; sotnik ; 13952 
 16 ; Рубль ; 1829 ; СПБ НГ ; Ag ; VF-XF ; 26 ; OMT ; 11232 
 17 ; Рубль ; 1876 ; СПБ HI ; Ag ; VF-XF ; 38 ; нумизмат ; 19462 
 18 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU/XF ; 29 ; Продано в зале ; 18500 
 19 ; Рубль ; 1885 ; СПБ АГ ; Ag ; VF-XF ; 19 ; Продано в зале ; 12500 
 20 ; Рубль ; 1890 ; (АГ) ; Ag ; VF+ ; 26 ; Продано в зале ; 11500 
 21 ; Рубль ; 1893 ; (АГ) ; Ag ; AU ; 30 ; Продано в зале ; 62000 
 22 ; Рубль ; 1901 ; (ФЗ) ; Ag ; AU/XF ; 50 ; Продано в зале ; 30000 
 23 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU ; 23 ; Sky2 ; 66666 
 24 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU ; 32 ; volvoinblood ; 17338 
 25 ; Полтина ; 1799 ; СМ МБ ; Ag ; VF- ; 24 ; андрей&ка ; 31000 
 26 ; Полтина ; 1849 ; СПБ ПА ; Ag ; XF+ ; 42 ; sme15 ; 7419 
 27 ; 25 копеек ; 1848 ; СПБ HI ; Ag ; XF+ ; 21 ; robby ; 6674 
 28 ; 25 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 16 ; nemoYA ; 4246 
 29 ; 25 копеек ; 1894 ; (АГ) АГ ; Ag ; AU ; 33 ; robby ; 21762 
 30 ; 25 копеек ; 1895 ; АГ ; Ag ; AU ; 20 ; volvoinblood ; 7139 
 31 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 14 ; нумизмат ; 3000 
 32 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 13 ; robby ; 1887 
