 6406 ; Работа Дарьи Шадриной. Закат ;  ;  ;  ;  ; 23 ; MUPS ; 850 
 6407 ; Работа Дарьи Шадриной. Уединение ;  ;  ;  ;  ; 20 ; КСИФОС ; 459 
 6408 ; Работа Татьяны Викторовой. Венеция, 2018 ;  ;  ;  ;  ; 17 ; КСИФОС ; 893 
 6409 ; Работа Татьяны Викторовой. Мгновение, 2018 ;  ;  ;  ;  ; 20 ; von_Schwarz ; 652 
 6410 ; Папка для хранения рисунков и документов. Конрос ;  ;  ;  ;  ; 25 ; Sandello ; 102 
 6411 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 40 ; mask ; 2051 
 6412 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 45 ; crocus ; 2000 
 6413 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 29 ; voron-74-47 ; 357 
 6414 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 16 ; Anty152 ; 299 
 6415 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 12 ; Ю42 ; 182 
 6416 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 11 ; D-503 ; 179 
 6417 ; В.Е. Семенов. Куда уходят деньги ;  ;  ;  ;  ; 18 ; дилитант ; 123 
 6418 ; Подделки российских монет. В. Е. Семенов ;  ;  ;  ;  ; 75 ; Dmtriyy ; 357 
 6419 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 15 ; Ю42 ; 126 
 6420 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 15 ; crocus ; 126 
 6421 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 25 ; Elena76 ; 134 
 6422 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 66 ; Dmtriyy ; 138 
 6423 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 68 ; дилитант ; 137 
 6424 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 14 ; crocus ; 134 
 6425 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 10 ; Виталий 74 ; 152 
 6426 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2020 годов. Редакция 48 ;  ;  ;  ;  ; 7 ; crocus ; 152 
 6277 ; Фотокарточка "Пилот аэроплана"  Франция, 1911 ;  ;  ;  ;  ; 25 ; flutter ; 348 
 6278 ; Лот открыток (3 штуки) ;  ;  ;  ;  ; 27 ; Рыло 146 ; 356 
 6279 ; Лот фотокарточек (3 штуки) ;  ;  ;  ;  ; 20 ; Meshok ; 203 
 6280 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 33 ; Овсянка ; 125 
 6281 ; Почтовая карточка ; 1951 ;  ;  ;  ; 28 ; Овсянка ; 126 
 6282 ; Почтовая карточка. Москва ;  ;  ;  ;  ; 22 ; Овсянка ; 125 
 6283 ; Лот почтовых карточек (2 штуки) Германия ;  ;  ;  ;  ; 11 ; Meshok ; 42 
 6284 ; Почтовая карточка. С.-Петербург ;  ;  ;  ;  ; 15 ; hmel-v ; 294 
 6285 ; Почтовая карточка. С.-Петербург ;  ;  ;  ;  ; 17 ; flutter ; 510 
 6286 ; Почтовая карточка. С.-Петербург ;  ;  ;  ;  ; 15 ; hmel-v ; 294 
 6287 ; Почтовая карточка. С.-Петербург ;  ;  ;  ;  ; 22 ; tpls ; 421 
 6288 ; Почтовая карточка. С.-Петербург ;  ;  ;  ;  ; 18 ; flutter ; 329 
 6289 ; Почтовая карточка. С.-Петербург ;  ;  ;  ;  ; 18 ; coba ; 442 
 6290 ; Почтовая карточка. С.-Петербург ;  ;  ;  ;  ; 13 ; hmel-v ; 166 
 6291 ; Почтовая карточка. С.-Петербург ;  ;  ;  ;  ; 12 ; hmel-v ; 247 
 6292 ; Почтовая карточка. С.-Петербург ;  ;  ;  ;  ; 15 ; hmel-v ; 294 
 6293 ; Почтовая карточка. С.-Петербург ;  ;  ;  ;  ; 9 ; hmel-v ; 294 
