 71 ; Рубль ; 1893 ; (АГ) ; Ag ; XF+ ; 46 ; Продано в зале ; 75000 
 72 ; Рубль. В капсуле NGC ; 1897 ; ( ** ) ; Ag ;  ; 40 ; ZOLTAN 333 ; 8500 
 73 ; Рубль ; 1898 ; (АГ) ; Ag ; XF ; 30 ; Прокурор ; 6250 
 74 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF+ ; 53 ; 78gen ; 240000 
 75 ; Рубль ; 1898 ; (АГ) На открытие памятника Александру II ; Ag ; XF ; 67 ; Продано в зале ; 150000 
 76 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF+ ; 22 ; anna53 ; 10500 
 77 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU ; 37 ; Продано в зале ; 140000 
 78 ; Рубль ; 1914 ; На 200-летие гангутского сражения ; Ag ; XF+ ; 65 ; NB ; 925000 
 79 ; Полтина (Петров-3р) ; 1719 ;  ; Ag ; VF-XF ; 60 ; NB ; 62500 
 80 ; Полтина (Ильин-4р) ; 1728 ;  ; Ag ; VF-XF ; 43 ; Продано в зале ; 110000 
 81 ; Полтина (Петров-3р) ; 1740 ;  ; Ag ; VF ; 31 ; Сыч ; 25000 
 82 ; Полтина ; 1836 ; СПБ НГ ; Ag ; XF ; 55 ; обморок ; 29000 
 83 ; Полтина ; 1839 ; СПБ НГ ; Ag ; XF ; 25 ; ЛАВ-13 ; 10500 
 84 ; Полтина ; 1845 ; СПБ КБ ; Ag ; XF+ ; 50 ; Продано в зале ; 11000 
 85 ; Полтина ; 1856 ; СПБ ФБ ; Ag ; XF+ ; 19 ; Druja ; 14500 
 86 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF ; 51 ; Продано в зале ; 13000 
 87 ; Полтина. В капсуле ННР ; 1877 ; СПБ HI ; Ag ;  ; 31 ; REMS ; 6000 
 88 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF+ ; 25 ; mottura ; 9375 
 89 ; Полтина. В капсуле ННР ; 1912 ; (ЭБ) АГ ; Ag ;  ; 35 ; il468 ; 3400 
 90 ; Полтина ; 1913 ; (ВС) АГ ; Ag ; AU ; 52 ; Продано в зале ; 6500 
 91 ; 20 копеек ; 1784 ; СПБ ; Ag ; VF-XF ; 29 ; Сема ; 10000 
 92 ; 15 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 15 ; кве ; 3122 
 93 ; Гривенник. Капсула NGC ; 1769 ; СПБ TI ; Ag ;  ; 43 ; Продано в зале ; 9500 
 94 ; 10 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 19 ; Продано в зале ; 5500 
 95 ; 5 копеек. В капсуле NGC ; 1847 ; СПБ ПА ; Ag ;  ; 45 ; Продано в зале ; 5000 
