 23 ; Рубль ; 1763 ; СПБ НК TI ; Ag ; XF ; 8 ; Продано в зале ; 17000 
 24 ; Рубль (Петров-3р) ; 1764 ; ММД EI TI ; Ag ; XF- ; 26 ; Petrogradka ; 45390 
 25 ; Рубль ; 1769 ; СПБ СА TI ; Ag ; XF- ; 13 ; aleks-2007 ; 13770 
 26 ; Рубль ; 1800 ; СМ ОМ ; Ag ; XF ; 47 ; Petrogradka ; 35700 
 27 ; Рубль ; 1801 ; СМ АИ ; Ag ; VF-XF ; 53 ; verunk1 ; 27030 
 28 ; Рубль ; 1810 ; СПБ ФГ ; Ag ; VF-XF ; 33 ; bidder ; 12467 
 29 ; Рубль ; 1817 ; СПБ ПС ; Ag ; XF ; 30 ; Продано в зале ; 7000 
 30 ; Рубль ; 1818 ; СПБ ПС ; Ag ; XF+ ; 23 ; Galal ; 7933 
 31 ; Рубль ; 1828 ; СПБ НГ ; Ag ; VF-XF ; 21 ; Продано в зале ; 9000 
 32 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF- ; 24 ; Продано в зале ; 8000 
 33 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF- ; 20 ; aleks-2007 ; 7143 
 34 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF ; 33 ; OMT ; 12342 
 35 ; Рубль ; 1833 ; СПБ НГ ; Ag ; XF- ; 20 ; Продано в зале ; 8000 
 36 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF- ; 51 ; vvs ; 51204 
 37 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF ; 18 ; Продано в зале ; 10000 
 38 ; Рубль. Герб-1842 года ; 1840 ; СПБ НГ ; Ag ; XF- ; 36 ; Продано в зале ; 30000 
 39 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; XF+ ; 27 ; vvt ; 12240 
 40 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; AU ; 44 ; амбал ; 12450 
 41 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF ; 29 ; Zorrosha ; 7164 
 42 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF+ ; 53 ; Zorrosha ; 47034 
 43 ; Рубль ; 1872 ; СПБ HI ; Ag ; VF-XF ; 40 ; 222211 ; 22300 
 44 ; Рубль ; 1880 ; СПБ НФ ; Ag ; XF/XF- ; 38 ; Zorrosha ; 12761 
 45 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF+ ; 44 ; Lisik ; 14699 
 46 ; Рубль ; 1891 ; (АГ) ; Ag ; XF- ; 11 ; Zorrosha ; 15300 
 47 ; Рубль ; 1894 ; (АГ) ; Ag ; VF-XF ; 21 ; Продано в зале ; 7500 
 48 ; Рубль ; 1909 ; (ЭБ) ; Ag ; XF- ; 34 ; андрей&ка ; 30498 
 49 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; XF ; 36 ; Продано в зале ; 48000 
 50 ; 3/4 рубля-5 злотых ; 1840 ; MW Рус.-Пол. ; Ag ; XF- ; 29 ; Продано в зале ; 5500 
