 6448 ; Каталог-справочник. Награды Российской Империи. Часть I. Ордена и знаки отличия. Редакция 5 ;  ;  ;  ;  ; 23 ; himak ; 228 
 6449 ; Каталог-справочник "Бумажные деньги России". Часть II. Редакция 8, 2015 год ;  ;  ;  ;  ; 26 ; himak ; 430 
 6450 ; Каталог-справочник «Монеты Казахстана 1993 – 2021 гг.», 5-я редакция ;  ;  ;  ;  ; 32 ; Vol4en0k ; 171 
 6451 ; Каталог-справочник. Монеты Латвии, Литвы и Эстонии. Редакция 2, 2013 год ;  ;  ;  ;  ; 13 ; SupERGood ; 30 
 6452 ; Каталог-справочник. Юбилейные и памятные монеты Польши 1995-2013 гг. Редакция 3, 2013 год ;  ;  ;  ;  ; 23 ; Wireless oyster ; 31 
 6453 ; В. П. Малышев. ЭНЦИКЛОПЕДИЯ. Денежные эмиссии региональных и местных правительств России 1917-1923 гг ;  ;  ;  ;  ; 11 ; oscar_gold ; 182 
 6454 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 8, 2008 год ;  ;  ;  ;  ; 13 ; Wireless oyster ; 160 
 6455 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2015 годов. Редакция 40 ;  ;  ;  ;  ; 13 ; Wireless oyster ; 59 
 6456 ; А. Ильин. Русские монеты 1700-1725 гг. Петра I. Медная монета. Репринтное издание ;  ;  ;  ;  ; 11 ; Wireless oyster ; 80 
 6457 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов, 38 редакция ;  ;  ;  ;  ; 7 ; Wireless oyster ; 40 
 6458 ; Каталог-справочник. Монеты Украины 1992-2013 гг. Редакция 5, 2013 год ;  ;  ;  ;  ; 17 ; Wireless oyster ; 126 
 6459 ; Монеты Беларуси 1996-2006. Редакция 1, 2007 г ;  ;  ;  ;  ; 23 ; Wireless oyster ; 31 
 6460 ; Аукционный каталог Конрос, номер 37. Петербургские продажи ;  ;  ;  ;  ; 5 ; Wireless oyster ; 136 
 6461 ; М.М. Максимов. Очерк о золоте. Москва "Недра" 1977 ;  ;  ;  ;  ; 23 ; vit2503 ; 181 
 6462 ; Г.М. Семар. Среди монет. Москва "Просвещение" 1990 ;  ;  ;  ;  ; 16 ; vit2503 ; 162 
 6463 ; Аукционный каталог SINCONA. Аукцион 26. 14/15 октября 2015г ;  ;  ;  ;  ; 21 ; Wireless oyster ; 159 
 6464 ; Кудряшов Е.В. Бесфамильный В.А. Капитульный список пожалованных знаком отличия военного ордена 4 степени №81000-91100. Издательство: "Миттель Пресс". Москва 2016г ;  ;  ;  ;  ; 16 ; vjacha ; 1234 
 6465 ; Аукционный каталог.HESS-DIVO AG. Аукцион 313. 4 мая 2009г ;  ;  ;  ;  ; 8 ; Wireless oyster ; 136 
 6466 ; Журнал Золотой червонец №2 (51) 2020г ;  ;  ;  ;  ; 105 ; Иван II Красный ; 252 
 6467 ; Аукционный каталог. Нико. Нумизматический аукцион 4 апреля 2009г ;  ;  ;  ;  ; 14 ; Wireless oyster ; 171 
 6468 ; Гомулин Е.В., Ишенин М.А. Капитульные списки пожалованных знаком отлиичя военного ордена Св. Георгия №№2-30000 ;  ;  ;  ;  ; 35 ; Vladzers ; 3634 
 6469 ; Аукционный каталог. "Медали и Монеты" № 9325 февраля 2009г ;  ;  ;  ;  ; 12 ; Affliction ; 155 
 6470 ; В.Н. Рябцевич. О чем рассказывают монеты ;  ;  ;  ;  ; 7 ; Affliction ; 222 
 6471 ; Сборник статей. Прошлое нашей родины в памятниках нумизматики. Издательство "Аврора" Ленинград 1977 ;  ;  ;  ;  ; 10 ; vit2503 ; 322 
 6472 ; Л.П. Павлов. Нумизматические таблицы ( с рисунками) к собиранию редких монет: медных, серебрянных, золотых и платиновых. С 1425 по 1916г. ИПС "Коллекционер" Москва 1990 ;  ;  ;  ;  ; 9 ; МАХАЙРА ; 225 
 6473 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 68 ; Rjn ; 278 
 6474 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 24 ; ежик ; 246 
 6475 ; Специализированный каталогзнаков почтовой оплаты Российской Империи 1845-1917гг ;  ;  ;  ;  ; 15 ; porte33 ; 233 
 6476 ; Коллекция служит людям. Лениздат 1973г. ;  ;  ;  ;  ; 14 ; PROFAN2020 ; 162 
 6477 ; К.А. Калинин. Награды для восточных народов ;  ;  ;  ;  ; 32 ; vladimirV ; 1001 
 6478 ; Каталог листов почтовых марок РФ 1992-2009гг. Санкт-Петербург 2009г ;  ;  ;  ;  ; 21 ; vladimirV ; 155 
 6479 ; Специализированный каталог почтовых марок СССР 1923-1940. Том 5 часть 1. Санкт-Петербург 1999г ;  ;  ;  ;  ; 13 ; jachin ; 257 
 6480 ; Справочник цен закрытые письма СССР 1941-1945гг. Санкт-Петербург 2008г ;  ;  ;  ;  ; 15 ; gbp ; 383 
 6481 ; Каталог Первые почтовые марки России. История выпуска. Санкт-Петербург 2007г ;  ;  ;  ;  ; 9 ; oscar_gold ; 203 
 6482 ; Сергей Соломко. Каталог почтовых карточек. Санкт-Петербург 2005г ;  ;  ;  ;  ; 31 ; vladimirV ; 206 
 6483 ; Jan Divis. Фирменные знаки на серебре. ARTIA 1976г. ;  ;  ;  ;  ; 40 ; МАХАЙРА ; 3060 
 6484 ; Оптовый лот, 20 книг. Каталог-справочник. Монеты РСФСР, СССР и России 1921-2014 годов, 38 редакция ;  ;  ;  ;  ; 27 ; торгаш ; 122 
 6485 ; Оптовый лот, 10 книг.  Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 24 ; Agava ; 722 
 6486 ; Оптовый лот. 7 книг (коробка).  В.Е. Семенов. Монетный передел 1700-1917 гг ;  ;  ;  ;  ; 12 ; торгаш ; 976 
 6487 ; Оптовый лот, 52 книги (коробка). Псевдонимы российского рубля ;  ;  ;  ;  ; 39 ; торгаш ; 1156 
 6488 ; Оптовый лот. 10 книг. Русские деньги X-XVII вв. Редакция 7, 2019. В. Е. Семенов ;  ;  ;  ;  ; 7 ; статир ; 408 
 6489 ; Оптовый лот. 8 книг (коробка). Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 11 ; торгаш ; 1030 
 6490 ; Оптовый лот. 4 книги.  БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 41 ; торгаш ; 3942 
 6601 ; Мужской перстень золото,  большой камень синего цвета, 12 прозрачных камней. ;  ;  ;  ;  ; 44 ; филлин ; 37890 
 6602 ; Кольцо с бриллиантами М-6,47 гр. С геммологическим заключением №01058 ;  ;  ; Au583 ;  ; 68 ; 111111 ; 49638 
 6603 ; Кольцо с бриллиантами М-5,05 гр. С геммологическим заключением №01057 ;  ;  ; Au583 ;  ; 39 ; Vova1950 ; 31525 
 6604 ; Брошь с голубым камнем, золото. ;  ;  ; Au585 ;  ; 35 ; Dahan ; 3811 
 6605 ; Кулон золото, янтарь. ;  ;  ; Au583 ;  ; 40 ; БерегСлоновойКости ; 3208 
 6330 ; Почтовая карточка. Серия: Георгиевские кавалеры ;  ;  ;  ;  ; 2 ; cr2952 ; 137 
 6331 ; Почтовая карточка. Серия: Георгиевские кавалеры ;  ;  ;  ;  ; 2 ; cr2952 ; 137 
 6332 ; Почтовая карточка. Серия: Георгиевские кавалеры ;  ;  ;  ;  ; 2 ; cr2952 ; 137 
 6333 ; Почтовая карточка. Коронация ;  ;  ;  ;  ; 5 ; nikitingpms ; 140 
 6334 ; Почтовая карточка. Коронация ;  ;  ;  ;  ; 5 ; nikitingpms ; 140 
 6401 ; Работа Татьяны Викторовой. Новый поворот ;  ;  ;  ;  ; 19 ; schwab ; 404 
 6402 ; Работа Татьяны Викторовой. Мир ;  ;  ;  ;  ; 49 ; sandau ; 310 
 6403 ; Авторскиий принт Марии Мишкарёвой. Пионы ;  ;  ;  ;  ; 27 ; 12345lal ; 366 
 6404 ; Разделитель картонный в альбом "Numis". Упаковка (20 шт.) Производство "Lindner" ;  ;  ;  ;  ; 14 ; irino4ka ; 417 
 6405 ; Капсулы для монет – 23 мм Quadrum INTERCEPT, упаковка 6 шт. Leuchtturm, #344148 ;  ;  ;  ;  ; 25 ; az717 ; 166 
 6406 ; Капсулы для монет – 23 мм Quadrum INTERCEPT, упаковка 6 шт. Leuchtturm, #344148 ;  ;  ;  ;  ; 25 ; az717 ; 168 
 6407 ; Капсулы Quadrum для монет – 25 мм, упаковка 10 шт. Leuchtturm, #331951 ;  ;  ;  ;  ; 52 ; Arlekino82 ; 317 
 6408 ; Листы GRANDE SH312 на 1 банкноту. Упаковка (5 шт.). Leuchtturm, #358072 ;  ;  ;  ;  ; 38 ; Torro ; 487 
 6409 ; Листы GRANDE SH312 на 2 банкноты. Упаковка (5 шт.). Leuchtturm, #358073 ;  ;  ;  ;  ; 24 ; Torro ; 487 
 6410 ; Листы GRANDE SH312 на 3 банкноты. Упаковка (5 шт.). Leuchtturm, #358074 ;  ;  ;  ;  ; 19 ; Torro ; 419 
 6411 ; Листы GRANDE SH312 на 4 ячейки. Упаковка (5 шт.). Leuchtturm, #358076 ;  ;  ;  ;  ; 19 ; sharapov.s21 ; 354 
 6412 ; Листы GRANDE SH312 на 4 банкноты. Упаковка (5 шт.). Leuchtturm, #358075 ;  ;  ;  ;  ; 30 ; феникс55 ; 429 
 6413 ; Листы GRANDE SH312 на 9 ячеек. Упаковка (5 шт.). Leuchtturm, #358077 ;  ;  ;  ;  ; 26 ; Декарт ; 242 
 6414 ; Капсулы для монет – 14 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 22 ; az717 ; 161 
 6415 ; Капсулы для монет – 15 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 12 ; 220W ; 197 
 6416 ; Капсулы для монет – 16 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343993 ;  ;  ;  ;  ; 11 ; az717 ; 162 
 6417 ; Капсулы для монет – 17 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 20 ; az717 ; 166 
 6418 ; Капсулы для монет – 18 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343995 ;  ;  ;  ;  ; 14 ; az717 ; 170 
 6419 ; Капсулы для монет – 19 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343996 ;  ;  ;  ;  ; 10 ; az717 ; 162 
 6420 ; Капсулы для монет – 23 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344000 ;  ;  ;  ;  ; 23 ; an78gg ; 201 
 6421 ; Капсулы для монет – 24 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344001 ;  ;  ;  ;  ; 12 ; SNL ; 200 
 6422 ; Капсулы для монет – 28 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #334005 ;  ;  ;  ;  ; 17 ; az717 ; 91 
 6423 ; Капсулы для монет – 29 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344006 ;  ;  ;  ;  ; 9 ; az717 ; 91 
 6424 ; Капсулы для монет – 30 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344007 ;  ;  ;  ;  ; 15 ; SNL ; 202 
 6425 ; "Капсулы для монет – 34 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344011 " ;  ;  ;  ;  ; 14 ; az717 ; 145 
 6426 ; Капсулы для монет – 35 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #334012 ;  ;  ;  ;  ; 43 ; an78gg ; 198 
 6427 ; Капсулы для монет – 36 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #334013 ;  ;  ;  ;  ; 16 ; az717 ; 142 
 6428 ; Капсулы для монет – 37 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #334014 ;  ;  ;  ;  ; 19 ; az717 ; 102 
 6429 ; Капсулы для монет – 38 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #343988 ;  ;  ;  ;  ; 13 ; SNL ; 202 
 6430 ; Капсулы для монет – 39 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344016 ;  ;  ;  ;  ; 16 ; VITAL!!! ; 255 
 6431 ; Капсулы для монет – 40 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344017 ;  ;  ;  ;  ; 11 ; kalita ; 206 
 6432 ; Капсулы для монет – 41 мм Quadrum NOTE, упаковка 10 шт. Leuchtturm, #344018 ;  ;  ;  ;  ; 24 ; Ok203 ; 240 
 6433 ; БАЗОВЫЙ каталог монеты России 1700-1917 гг. Выпуск 2018 год. В. Е. Семенов ;  ;  ;  ;  ; 64 ; himak ; 1259 
 6434 ; Монетный передел 1700-1917 гг. В. Е. Семенов ;  ;  ;  ;  ; 11 ; Wireless oyster ; 363 
 6435 ; В. Е. Семенов. Куда уходят деньги ;  ;  ;  ;  ; 14 ; himak ; 94 
 6436 ; Псевдонимы российского рубля ;  ;  ;  ;  ; 19 ; himak ; 159 
 6437 ; Рюрик и Владимир. Самоучитель по русской истории. Издание 2-ое, дополненное. В. Е. Семенов ;  ;  ;  ;  ; 24 ; yura83 ; 557 
 6438 ; Монетное дело Российской империи. В. Е. Семенов ;  ;  ;  ;  ; 43 ; himak ; 420 
 6439 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 14 ; himak ; 127 
 6440 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 15 ; canario ; 126 
 6441 ; Русские деньги X-XVII вв. Редакция 7, 2018 ;  ;  ;  ;  ; 11 ; vborisevich1 ; 102 
 6442 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 29 ; himak ; 120 
 6443 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 21 ; vonrussel ; 117 
 6444 ; Монеты России 1700-1917 гг. Редакция 15, 2018 год ;  ;  ;  ;  ; 29 ; Angstrem ; 120 
 6445 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921–2021 годов. Редакция 49, 2020 год ;  ;  ;  ;  ; 9 ; Angstrem ; 227 
 6280 ; Почтовая карточка. Анджелина Джоли ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6281 ; Почтовая карточка. Анджелина Джоли ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6282 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 6 ; птичка16 ; 140 
 6283 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 10 ; Тульма ; 158 
 6284 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 10 ; Бигль ; 145 
 6285 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 9 ; Бигль ; 145 
 6286 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 7 ; птичка16 ; 140 
 6287 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 10 ; Бигль ; 151 
 6288 ; Почтовая карточка. Худ. Константин Разумов ;  ;  ;  ;  ; 7 ; птичка16 ; 140 
 6289 ; Почтовая карточка. Pin-Ups Vintage ;  ;  ;  ;  ; 2 ; cr2952 ; 137 
 6290 ; Почтовая карточка. Pin-Ups Vintage ;  ;  ;  ;  ; 2 ; cr2952 ; 137 
 6291 ; Почтовая карточка. Pin-Ups Vintage ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6292 ; Почтовая карточка. Pin-Ups Vintage ;  ;  ;  ;  ; 5 ; контраст ; 143 
 6293 ; Почтовая карточка. Pin-Ups Vintage ;  ;  ;  ;  ; 2 ; cr2952 ; 137 
 6294 ; Почтовая карточка. Pin-Ups Vintage ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6295 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 7 ; attila375 ; 150 
 6296 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6297 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 4 ; птичка16 ; 140 
 6298 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 2 ; контраст ; 140 
 6299 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 1 ; cr2952 ; 137 
 6300 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 6 ; igaist ; 140 
 6301 ; Почтовая карточка. Glamour Erotica ;  ;  ;  ;  ; 3 ; cr2952 ; 137 
