 40 ; Рубль (Ильин-3 руб) ; 1816 ; СПБ ПС ; Ag ; XF+ ; 44 ; Продано в зале ; 32000 
 41 ; Рубль ; 1816 ; СПБ ПС ; Ag ; XF+ ; 45 ; Продано в зале ; 16000 
 42 ; Рубль. Орел А. Скипетр длиннее ; 1817 ; СПБ ПС ; Ag ; AU ; 47 ; Продано в зале ; 20000 
 43 ; Рубль. Орел А. Скипетр короче ; 1817 ; СПБ ПС ; Ag ; AU ; 69 ; Продано в зале ; 30000 
 44 ; Рубль ; 1818 ; СПБ ПС ; Ag ; AU ; 55 ; Продано в зале ; 38000 
 45 ; Рубль ; 1891 ; (АГ) ; Ag ; XF ; 52 ; finger ; 43441 
 46 ; Рубль (Аверс-реверс - 180 градусов. Петров - 10 р., Конрос - R3) ; 1896 ; ( * ) ; Ag ; XF+ ; 92 ; sotnik ; 150000 
 47 ; Рубль ; 1898 ; (АГ) ; Ag ; UNC полир ; 40 ; Продано в зале ; 150000 
 48 ; Рубль ; 1898 ; ( * ) ; Ag ; UNC полир ; 36 ; Продано в зале ; 300000 
 49 ; Рубль ; 1899 ; ( ** ) ; Ag ; UNC полир ; 32 ; Продано в зале ; 340000 
 50 ; Рубль ; 1901 ; (ФЗ) ; Ag ; UNC полир ; 41 ; Продано в зале ; 230000 
