 18 ; Рубль. В капсуле ННР ; 1737 ;  ; Ag ;  ; 21 ; Продано в зале ; 20000 
 19 ; Рубль. В капсуле ННР ; 1738 ; СПБ ; Ag ;  ; 21 ; Продано в зале ; 27000 
 20 ; Рубль. В капсуле HHP ; 1739 ;  ; Ag ;  ; 22 ; Продано в зале ; 22000 
 21 ; Рубль. В капсуле ННР ; 1742 ; СПБ ; Ag ;  ; 8 ; Продано в зале ; 19000 
 22 ; Рубль. В капсуле ННР ; 1742 ; СПБ ; Ag ;  ; 22 ; Алексеев71 ; 28764 
 23 ; Рубль. В капсуле ННР ; 1743 ; СПБ ; Ag ;  ; 16 ; Borada ; 26010 
 24 ; Рубль. В капсуле ННР ; 1743 ; ММД ; Ag ;  ; 9 ; Borada ; 23000 
 25 ; Рубль. В капсуле ННР ; 1749 ; ММД ; Ag ;  ; 19 ; Продано в зале ; 19000 
 26 ; Рубль. В капсуле ННР ; 1750 ; СПБ ; Ag ;  ; 22 ; Borada ; 36000 
 27 ; Рубль. В капсуле ННР ; 1750 ; СПБ ; Ag ;  ; 29 ; Borada ; 27000 
 28 ; Рубль. В капсуле ННР ; 1750 ; ММД ; Ag ;  ; 11 ; Продано в зале ; 20000 
 29 ; Рубль. В капсуле ННР ; 1750 ; ММД ; Ag ;  ; 22 ; Borada ; 29000 
 30 ; Рубль. В капсуле ННР ; 1752 ; ММД IШ ; Ag ;  ; 23 ; Продано в зале ; 19000 
 31 ; Рубль. В капсуле ННР ; 1755 ; СПБ ЯI BS ; Ag ;  ; 23 ; krugerrand ; 42840 
 32 ; Рубль. В капсуле ННР. Сертификат ; 1762 ; СПБ НК ; Ag ;  ; 18 ; A-Stral ; 45000 
 33 ; Рубль. В капсуле ННР ; 1762 ; СПБ НК TI ; Ag ;  ; 9 ; Olimpia ; 10000 
 34 ; Рубль. В капсуле ННР ; 1763 ; СПБ НК TI ; Ag ;  ; 16 ; Продано в зале ; 25500 
 35 ; Рубль. В капсуле ННР ; 1763 ; СПБ ЯI TI ; Ag ;  ; 15 ; sotnik ; 15300 
 36 ; Рубль. В капсуле ННР ; 1764 ; СПБ ЯI TI ; Ag ;  ; 11 ; RUC ; 6895 
 37 ; Рубль. В капсуле ННР ; 1764 ; ММД EI TI ; Ag ;  ; 9 ; Продано в зале ; 13000 
 38 ; Рубль. В капсуле ННР ; 1765 ; СПБ СА TI ; Ag ;  ; 21 ; Алексеев71 ; 25500 
 39 ; Рубль. В капсуле ННР ; 1767 ; СПБ АШ TI ; Ag ;  ; 15 ; Borada ; 15302 
 40 ; Рубль. В капсуле ННР ; 1769 ; СПБ СА TI ; Ag ;  ; 15 ; Borada ; 15810 
 41 ; Рубль. В капсуле ННР ; 1769 ; СПБ СА TI ; Ag ;  ; 19 ; sotnik ; 16000 
 42 ; Рубль. В капсуле ННР ; 1771 ; СПБ АШ TI ; Ag ;  ; 11 ; Продано в зале ; 8800 
 43 ; Рубль. В капсуле ННР ; 1772 ; СПБ АШ TI ; Ag ;  ; 28 ; Продано в зале ; 42000 
 44 ; Рубль. В капсуле ННР ; 1772 ; СПБ ЯЧ TI ; Ag ;  ; 24 ; Колхозы ; 16405 
 45 ; Рубль. В капсуле ННР ; 1773 ; СПБ ЯЧ TИ ; Ag ;  ; 16 ; Алексеев71 ; 16830 
 46 ; Рубль. В капсуле ННР ; 1775 ; СПБ QЛ TИ ; Ag ;  ; 13 ; sax ; 17342 
 47 ; Рубль. В капсуле ННР ; 1778 ; СПБ ФЛ ; Ag ;  ; 28 ; sotnik ; 18911 
 48 ; Рубль. В капсуле ННР ; 1783 ; СПБ ИЗ TI ; Ag ;  ; 11 ; swoon ; 15204 
 49 ; Рубль. В капсуле ННР ; 1795 ; СПБ АК TI ; Ag ;  ; 7 ; Продано в зале ; 10000 
 50 ; Рубль. В капсуле ННР. Сертификат ; 1796 ; БМ ; Ag ;  ; 30 ; Изид ; 153876 
