 16 ; 20 копеек ; 1784 ; СПБ ; Ag ; VF-XF ; 26 ; Продано в зале ; 8500 
 17 ; 20 копеек ; 1822 ; СПБ ПД ; Ag ; XF ; 29 ; Продано в зале ; 6500 
 18 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; AU ; 33 ; romik ; 15000 
 19 ; 20 копеек (Петров-10р, Ильин-6р) ; 1825 ; СПБ НГ ; Ag ; F+ ; 68 ; gelo ; 10500 
 20 ; 20 копеек ; 1825 ; СПБ ПД ; Ag ; XF ; 36 ; Dude8220 ; 8500 
 21 ; 20 копеек (Ильин-6р) ; 1831 ; СПБ НГ ; Ag ; XF+ ; 93 ; CapsulЪ ; 57500 
 22 ; 20 копеек (Ильин-6р) ; 1831 ; СПБ НГ ; Ag ; VF-XF ; 55 ; CapsulЪ ; 19000 
 23 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 29 ; CapsulЪ ; 1900 
 24 ; 20 копеек ; 1877 ; СПБ HI ; Ag ; XF ; 17 ; Dude8220 ; 1530 
 25 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 33 ; Kudima ; 19514 
 26 ; Гривенник ; 1794 ; СПБ ; Ag ; XF ; 58 ; Продано в зале ; 15500 
 27 ; 10 копеек  (Петров-1р) ; 1804 ; СПБ ФГ ; Ag ; VF- ; 18 ; gelo ; 15527 
 28 ; 10 копеек ; 1819 ; СПБ ПС ; Ag ; VF-XF ; 12 ; Dude8220 ; 4593 
 29 ; 10 копеек ; 1826 ; СПБ НГ ; Ag ; XF+ ; 51 ; Dude8220 ; 18000 
 30 ; 10 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 44 ; primetime ; 17000 
 31 ; 10 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 34 ; primetime ; 8000 
 32 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 47 ; Shootnic ; 9500 
 33 ; 10 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 40 ; Dude8220 ; 13000 
 34 ; 10 копеек ; 1861 ; СПБ ; Ag ; XF+ ; 22 ; Shootnic ; 2500 
 35 ; 10 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 24 ; Торт ; 3600 
 36 ; 10 копеек ; 1873 ; СПБ HI ; Ag ; VF-XF ; 20 ; моряк ; 1800 
 37 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 20 ; Продано в зале ; 7000 
 38 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 31 ; CapsulЪ ; 5500 
 39 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 50 ; CapsulЪ ; 26000 
