 6 ; Копейка ; 1713 ; М Д ; Cu ; F-VF ; 4 ; AGAT D ; 2000 
 7 ; Алтын ; 1718 ; L перевернута ; Ag ; XF+/XF- ; 25 ; Глол ; 30600 
 8 ; Рубль ; 1726 ;  ; Ag ; VF+ ; 24 ; Участник № 640 ; 105000 
 9 ; Рубль ; 1727 ; СПБ ; Ag ; VF+ ; 12 ; Участник № 62 ; 46000 
 10 ; Рубль. Брак монетного двора Ав/Рев 90 градусов ; 1727 ; СПБ ; Ag ; F-VF/VF+ ; 15 ; Участник № 1 ; 26000 
 11 ; 5 копеек ; 1727 ; НД Дата снизу вверх ; Cu ; VF ; 19 ; Участник № 51 ; 10000 
 12 ; Полтина ; 1728 ;  ; Ag ; VF+ ; 33 ; Глол ; 85000 
 13 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 27 ; Girus_ ; 19153 
 14 ; 5 копеек ; 1729 ; МД Хвост узкий ; Cu ; VF-XF ; 53 ; Участник № 148 ; 26000 
 15 ; 5 копеек ; 1730 ; МД Хвост широкий ; Cu ; VF- ; 11 ; Участник № 114 ; 3400 
 16 ; 5 копеек ; 1730 ; МД Хвост узкий ; Cu ; VF/VF+ ; 21 ; Участник № 55 ; 8500 
 17 ; Рубль ; 1732 ;  ; Ag ; VF+ ; 24 ; Girus_ ; 17136 
 18 ; Полтина ; 1732 ;  ; Ag ; VF+/VF ; 35 ; boroda ; 36431 
 19 ; Полтина (Петров-3р) ; 1733 ;  ; Ag ; VF+ ; 27 ; Участник № 51 ; 38000 
 20 ; Полтина ; 1739? ;  ; Ag ; VF-XF/VF+ ; 35 ; Участник № 55 ; 46000 
 21 ; Гривенник ; 1744 ;  ; Ag ; XF+ ; 29 ; igorf ; 12240 
 22 ; Рубль ; 1753 ; СПБ IM ; Ag ; XF- ; 35 ; Участник № 62 ; 40000 
 23 ; Полтина (Петров-5р, Ильин-4р) ; 1754 ; СПБ IM BS ; Ag ; VF+ ; 44 ; Глол ; 83913 
 24 ; Копейка (Петров-1р) ; 1756 ; СПБ ; Cu ; VF+ ; 21 ; SDF ; 26520 
 25 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF+ ; 7 ; Girus_ ; 5500 
 26 ; Копейка ; 1757 ;  ; Cu ; VF ; 23 ; кабан ; 1938 
 27 ; 5 копеек ; 1758 ; СПБ ; Ag ; VF+ ; 18 ; neman100 ; 3501 
 28 ; 2 копейки ; 1758 ;  ; Cu ; VF+ ; 25 ; Участник № 9 ; 1700 
 29 ; Копейка ; 1758 ;  ; Cu ; VF-/VF+ ; 9 ; Участник № 9 ; 1300 
 30 ; 4 копейки ; 1762 ;  ; Cu ; VF ; 11 ; Участник № 9 ; 13000 
 31 ; Полтина ; 1762 ; ММД ДМ ; Ag ; VF+ ; 21 ; Глол ; 81600 
 32 ; Рубль ; 1763 ; СПБ ЯI TI ; Ag ; XF- ; 11 ; Участник № 55 ; 15000 
 33 ; 5 копеек ; 1763 ; СМ ; Cu ; VF- ; 11 ; Girus_ ; 3740 
 34 ; 5 копеек ; 1763 ; ММ ; Cu ; VF ; 9 ; Girus_ ; 3500 
 35 ; Рубль ; 1764 ; СПБ ЯI TI ; Ag ; VF-XF ; 28 ; SDF ; 33823 
 36 ; Рубль ; 1764 ; СПБ СА TI ; Ag ; VF+ ; 7 ; Участник № 51 ; 16000 
 37 ; 20 копеек (Петров-20р, Ильин-5р) ; 1764 ; ММД TI ; Ag ; VF-XF ; 34 ; Глол ; 136514 
 38 ; Полтина ; 1765 ; СПБ СА ; Ag ; VF-XF ; 24 ; Глол ; 61200 
