 6504 ; Каталог-справочник "Бумажные деньги России". Часть II. Редакция 8, 2015 год ;  ;  ;  ;  ; 16 ; аймир ; 102 
 6505 ; Каталог-справочник. Монеты Молдовы и Приднестровья. Редакция 1, 2019 год ;  ;  ;  ;  ; 12 ; Rober ; 58 
 6506 ; Каталог-справочник. Монеты Беларуси 1996-2018 гг. Редакция 5, 2018 год ;  ;  ;  ;  ; 5 ; glad447 ; 114 
 6507 ; Каталог-справочник. Монеты РСФСР, СССР и России 1921-2019 годов. Редакция 46 ;  ;  ;  ;  ; 11 ; glad447 ; 35 
 6508 ; Каталог-справочник "Бумажные деньги России". Часть I. Редакция 8, 2008 год ;  ;  ;  ;  ; 14 ; аймир ; 133 
 6509 ; Клады в вашем доме. 2009 год ;  ;  ;  ;  ; 3 ; stas007 ; 51 
 6510 ; А.В. Орешников. Русские монеты до 1547 года. Репринтное издание ;  ;  ;  ;  ; 45 ; marSal8Q ; 357 
 6511 ; Каталог частной коллекции. Античные монеты и артефакты. Санкт-Петербург. 2019 ;  ;  ;  ;  ; 15 ; Бигль ; 314 
 6512 ; Советская мемориальная медаль 1917-1967гг. На русском и английском языке. Издательство "Советская Россия". Каунас 1970 ;  ;  ;  ;  ; 22 ; sm-dc ; 161 
 6513 ; Подборка журналов "Ленинградская правда" (4 штуки) ;  ;  ;  ;  ; 50 ; Maxim914 ; 328 
 6514 ; Пухов Е.В. Монета "Ефимок с признаком" ;  ;  ;  ;  ; 29 ; vladimirV ; 346 
 6515 ; Новейшие исследования в области нумизматики. Нумизматический сборник. Часть XIII. Москва 1998 ;  ;  ;  ;  ; 26 ; Пионерская правда ; 335 
 6516 ; Нумизматические чтения ГИМа 2016 года. Материалы докладов и сообщений. Москва 2016 ;  ;  ;  ;  ; 39 ; Aurum ; 501 
 6517 ; Нумизматический словарь 3. Москва 1994 ;  ;  ;  ;  ; 20 ; Лик 143 ; 228 
 6518 ; Нумизматический словарь 5. Издательство, "УРСС". Москва 1997 ;  ;  ;  ;  ; 12 ; Лик 143 ; 277 
 6519 ; Каталог Российских монет и жетонов 1700-1917гг. Аукцион Волмар. X выпуск. 2014 ;  ;  ;  ;  ; 15 ; kvs ; 70 
 6420 ; Капсулы для монет – 36 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 11 ; птичка16 ; 155 
 6421 ; Капсулы CAPS 35 для монет – 35 мм, упаковка 10 шт. Leuchtturm, #318983 ;  ;  ;  ;  ; 12 ; металлург ; 169 
 6422 ; Капсулы для монет – 34 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 10 ; Goshka ; 159 
 6423 ; Капсулы для монет – 33 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 8 ; металлург ; 184 
 6424 ; Капсулы для монет – 32,5 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 4 ; металлург ; 159 
 6425 ; Капсулы для монет – 32 мм, упаковка 10 шт. Leuchtturm. ;  ;  ;  ;  ; 3 ; лампедуза ; 155 
 6426 ; Капсулы для монет – 31 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 9 ; металлург ; 180 
 6427 ; Капсулы для монет – 30 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 13 ; glad447 ; 149 
 6428 ; Капсулы для монет – 29 мм, упаковка 10 шт. Leuchtturm. ;  ;  ;  ;  ; 13 ; unicorn ; 155 
 6429 ; Капсулы CAPS 28 для монет – 28 мм, упаковка 10 шт. Leuchtturm, #312236 ;  ;  ;  ;  ; 25 ; unicorn ; 155 
 6430 ; Капсулы для монет – 27 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 15 ; Нельсон ; 159 
 6431 ; Капсулы для монет – 26 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 19 ; Декарт ; 138 
 6432 ; Капсулы для монет – 25 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 7 ; Goshka ; 114 
 6433 ; Капсулы для монет – 24,5 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 9 ; Декарт ; 105 
 6434 ; Капсулы для монет – 24 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 7 ; Goshka ; 114 
 6435 ; Капсулы для монет – 23 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 25 ; Oк ; 101 
 6436 ; Капсулы для монет – 22,5 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 8 ; Terem ; 114 
 6437 ; Капсулы для монет – 22 мм, упаковка 10 шт. Leuchtturm. ;  ;  ;  ;  ; 9 ; лампедуза ; 128 
 6438 ; Капсулы для монет – 21,5 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 8 ; Terem ; 104 
 6439 ; Капсулы для монет – 21 мм, упаковка 10 шт. Leuchtturm, #327401 ;  ;  ;  ;  ; 9 ; лампедуза ; 124 
 6440 ; Капсулы CAPS 20 для монет – 20 мм, упаковка 10 шт. Leuchtturm, #303557 ;  ;  ;  ;  ; 7 ; Goshka ; 159 
 6441 ; Капсулы для монет – 19,5 мм, упаковка 10 шт. Leuchtturm. ;  ;  ;  ;  ; 17 ; Terem ; 104 
 6442 ; Капсулы для монет – 19 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 15 ; Terem ; 107 
 6443 ; Капсулы для монет – 18 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 12 ; Terem ; 108 
 6444 ; Капсулы для монет – 17 мм, упаковка 10 шт. Leuchtturm. ;  ;  ;  ;  ; 9 ; Terem ; 107 
 6445 ; Капсулы CAPS 16,5 для монет – 16,5 мм, упаковка 10 шт. Leuchtturm, #331022 ;  ;  ;  ;  ; 9 ; Terem ; 107 
 6446 ; Капсулы для монет – 16 мм, упаковка 10 шт. Leuchtturm ;  ;  ;  ;  ; 10 ; Terem ; 104 
 6447 ; Капсулы для монет – 15 мм, упаковка 10 шт. Производство Leuchtturm #327665 ;  ;  ;  ;  ; 25 ; лампедуза ; 104 
 6448 ; Капсулы CAPS 14 для монет – 14 мм, упаковка 10 шт. Leuchtturm, #314071 ;  ;  ;  ;  ; 9 ; лампедуза ; 101 
 6449 ; Капсулы для монет – 12 мм, упаковка 10 шт. Россия ;  ;  ;  ;  ; 24 ; аймир ; 102 
 6450 ; Капсулы для монет – 16 мм (круг), упаковка 10 шт. Россия ;  ;  ;  ;  ; 23 ; Terem ; 74 
 6451 ; Капсулы для монет – 16 мм, упаковка 10 шт. Россия ;  ;  ;  ;  ; 7 ; Terem ; 84 
 6452 ; Капсулы для монет – 30 мм (круг), упаковка 10 шт. Россия ;  ;  ;  ;  ; 8 ; Снежный Барс ; 107 
 6453 ; Капсулы для монет – 33 мм, упаковка 10 шт. Россия ;  ;  ;  ;  ; 17 ; glad447 ; 139 
 6454 ; Холдеры для монет, самоклеющиеся - 32,5 мм, упаковка 25 шт."Lindner" ;  ;  ;  ;  ; 29 ; Андрей/Пермь ; 193 
 6455 ; Коробка Nobile 32 на 1 монету. Leuchtturm, #334418 ;  ;  ;  ;  ; 11 ; Dimitr1 ; 153 
 6456 ; Футляр EXPO-4 для 1 монеты. Lindner, #2074 ;  ;  ;  ;  ; 14 ; Asandr ; 160 
 6457 ; Футляр EXPO-3 для 1 монеты. Lindner, #2073 ;  ;  ;  ;  ; 17 ; Goshka ; 172 
 6458 ; Лупа TH-7007 со светодиодной подсветкой, увеличение 3 ;  ;  ;  ;  ; 49 ; Asandr ; 219 
 6459 ; Лупа TH-600559 ;  ;  ;  ;  ; 30 ; U2 ; 216 
 6460 ; Пинцет для монет пластиковый, 124 мм. Shine Coins, #PI-124 ;  ;  ;  ;  ; 22 ; Юкс ; 97 
 6461 ; Пинцет для монет пластиковый, 150 мм. Shine Coins, #PI-125 ;  ;  ;  ;  ; 29 ; альгран ; 118 
 6462 ; Нумизматические перчатки, размер 7/S. Shine Coins, #PS007 ;  ;  ;  ;  ; 12 ; Goshka ; 124 
 6463 ; Нумизматические перчатки, размер 9/L. Shine Coins, #PS007 ;  ;  ;  ;  ; 19 ; Sergey Pavlov ; 134 
 6464 ; Перчатки нитриловые, размер 9/L. Упаковка ( 3 шт.). Shine Coins ;  ;  ;  ;  ; 21 ; aleks1753 ; 117 
 6465 ; Кассета MB CAPS 31 для монет, на 30 ячеек. Leuchtturm, #307910 ;  ;  ;  ;  ; 21 ; металлург ; 850 
