 113 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 32 ; нумизмат ; 4080 
 114 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 27 ; Салют ; 3774 
 115 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 14 ; Продано в зале ; 2800 
 116 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 15 ; papinazu ; 5000 
 117 ; 20 копеек ; 1883 ; СПБ ДС ; Ag ; AU ; 11 ; cotangens ; 5202 
 118 ; 15 копеек ; 1771 ; ММД ; Ag ; XF- ; 16 ; Продано в зале ; 10500 
 119 ; 15 копеек ; 1771 ; ММД ; Ag ; VF-XF ; 19 ; кантемир ; 5500 
 120 ; 15 копеек ; 1783 ; СПБ ; Ag ; XF+ ; 17 ; Продано в зале ; 10500 
 121 ; 15 копеек ; 1784 ; СПБ ; Ag ; XF+/AU ; 13 ; Продано в зале ; 13000 
 122 ; 15 копеек ; 1785 ; СПБ ; Ag ; XF+ ; 25 ; кантемир ; 10000 
 123 ; 15 копеек-1 злотый ; 1840 ; НГ Рус.-Пол. ; Ag ; XF ; 3 ; Продано в зале ; 3500 
 124 ; 15 копеек ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 33 ; 222211 ; 9180 
 125 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 21 ; хаус ; 7276 
 126 ; Гривенник ; 1756 ; МБ ; Ag ; XF ; 31 ; Продано в зале ; 9500 
 127 ; Гривенник ; 1772 ; СПБ TI ; Ag ; XF- ; 17 ; sotnik ; 5100 
 128 ; Гривенник ; 1775 ; СПБ TI ; Ag ; VF ; 24 ; Салют ; 11832 
 129 ; Гривенник ; 1778 ; СПБ ; Ag ; XF+ ; 7 ; TaraskaPeter ; 6120 
 130 ; 10 копеек ; 1802 ; СПБ АИ ; Ag ; VF- ; 18 ; кантемир ; 15867 
 131 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; XF+ ; 24 ; 25 ; 4647 
 132 ; 10 копеек (Петров-5р) ; 1832 ; СПБ НГ ; Ag ; XF ; 9 ; Olimpia ; 25500 
 133 ; 10 копеек ; 1917 ; ВС ; Ag ; AU ; 19 ; хаус ; 5361 
 134 ; 5 копеек ; 1798 ; СМ МБ ; Ag ; VF+ ; 21 ; Салют ; 10062 
 135 ; 5 копеек (Петров-3р. Ильин-4р) ; 1817 ; СПБ ПС ; Ag ; XF ; 30 ; Продано в зале ; 36000 
 136 ; 5 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 3 ; хаус ; 15000 
 137 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 32 ; Салют ; 7140 
 138 ; 5 копеек ; 1827 ; СПБ НГ ; Ag ; XF- ; 23 ; Салют ; 7752 
 139 ; 5 копеек ; 1829 ; СПБ НГ ; Ag ; XF+ ; 34 ; Салют ; 20400 
 140 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; XF+ ; 40 ; хаус ; 25500 
 141 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 27 ; Продано в зале ; 7500 
 142 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 19 ; Продано в зале ; 10000 
 143 ; 5 копеек ; 1859 ; СПБ ФБ ; Ag ; XF ; 13 ; Продано в зале ; 13000 
 144 ; 5 копеек ; 1883 ; СПБ ДС ; Ag ; XF+ ; 13 ; Салют ; 6426 
 145 ; 10 копеек ; 1773 ; КМ "Сибирь" ; Cu ; VF+ ; 19 ; Продано в зале ; 8000 
 146 ; 10 копеек ; 1774 ; КМ "Сибирь" ; Cu ; VF-XF ; 26 ; Продано в зале ; 12500 
 147 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 27 ; Кеннер ; 11000 
 148 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 15 ; $$$ ; 10082 
 149 ; 10 копеек ; 1779 ; КМ "Сибирь" ; Cu ; VF-XF ; 31 ; Кеннер ; 10199 
 150 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; VF-XF ; 36 ; slando ; 11220 
 51 ; Рубль (Петров - 8 руб, Ильин - 4 руб) ; 1818 ; СПБ СП ; Ag ; XF/VF-XF ; 52 ; Продано в зале ; 65000 
 52 ; Рубль ; 1819 ; СПБ ПС ; Ag ; AU ; 37 ; Продано в зале ; 20000 
 53 ; Рубль ; 1831 ; СПБ НГ ; Ag ; XF ; 24 ; Салют ; 24378 
 54 ; Рубль ; 1832 ; СПБ НГ ; Ag ; XF+/XF ; 61 ; нумизмат ; 26000 
 55 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; XF ; 51 ; Продано в зале ; 76000 
 56 ; Рубль. Св. Георгий без плаща ; 1835 ; СПБ НГ ; Ag ; XF ; 34 ; Продано в зале ; 39000 
 57 ; Рубль (Ильин - 4 руб) ; 1837 ; СПБ НГ ; Ag ; XF- ; 24 ; sergius ; 10225 
 58 ; Рубль (Ильин-5р) "Золотинка" ; 1842 ; СПБ АЧ ; Ag ; VF-XF ; 48 ; нумизмат ; 20400 
 59 ; Рубль (Петров - 5 руб) ; 1844 ; MW ; Ag ; XF ; 46 ; sotnik ; 21273 
 60 ; Рубль ; 1844 ; MW ; Ag ; XF- ; 16 ; Салют ; 12699 
 61 ; Рубль ; 1845 ; СПБ КБ ; Ag ; XF+ ; 25 ; Продано в зале ; 13000 
 62 ; Рубль ; 1846 ; MW ; Ag ; XF+ ; 71 ; волька76 ; 17113 
 63 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; XF+ ; 28 ; кантемир ; 60000 
 64 ; Рубль ; 1867 ; СПБ HI ; Ag ; XF ; 49 ; Продано в зале ; 30000 
 65 ; Рубль ; 1878 ; СПБ НФ ; Ag ; AU ; 34 ; 462 ; 14053 
 66 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 30 ; Продано в зале ; 26000 
 67 ; Рубль ; 1886 ; (АГ) ; Ag ; XF ; 44 ; ravs ; 41027 
 68 ; Рубль ; 1891 ; (АГ) ; Ag ; AU ; 46 ; Продано в зале ; 82000 
 69 ; Рубль. (Без гаст) ; 1897 ; ( ** ) ; Ag ; XF ; 52 ; Vitalik1 ; 15156 
 70 ; Рубль ; 1898 ; (АГ) ; Ag ; AU ; 66 ; Продано в зале ; 42000 
 71 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; AU ; 53 ; амбал ; 11424 
