 12 ; Рубль ; 1898 ; (АГ) ; Ag ; XF+ ; 28 ; амбал ; 11059 
 13 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF ; 44 ; каламбурчик ; 7659 
 14 ; Рубль ; 1900 ; (ФЗ) ; Ag ; XF+ ; 24 ; Продано в зале ; 42000 
 15 ; Рубль ; 1911 ; (ЭБ) ; Ag ; XF ; 42 ; Папа любит ; 17000 
 16 ; Рубль ; 1912 ; (ЭБ) ; Ag ; AU/XF ; 38 ; serg2010 ; 18133 
 17 ; Полтина ; 1733 ;  ; Ag ; VF+ ; 44 ; Продано в зале ; 19000 
 18 ; Полтина ; 1820 ; СПБ ПД ; Ag ; XF- ; 71 ; Продано в зале ; 16000 
 19 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; XF+ ; 27 ; каламбурчик ; 12240 
 20 ; Полтина. В капсуле PCGS ; 1896 ; (АГ) АГ ; Ag ; AU58 ; 47 ; novikoff12006 ; 8915 
 21 ; Полтина ; 1909 ; (ЭБ) АГ ; Ag ; XF+ ; 31 ; каламбурчик ; 48000 
 22 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF+ ; 26 ; Продано в зале ; 4200 
 23 ; Полтина. В капсуле PCGS ; 1912 ; (ЭБ) АГ ; Ag ; MS62 ; 23 ; Начальник ; 5070 
 24 ; Полуполтинник ; 1750 ; ММД ; Ag ; XF- ; 54 ; каламбурчик ; 14000 
 25 ; 25 копеек. В капсуле PCGS ; 1878 ; СПБ НФ ; Ag ; MS62 ; 37 ; Продано в зале ; 7000 
 26 ; 25 копеек. В капсуле PCGS ; 1896 ; АГ ; Ag ; Audetails ; 48 ; Молот ; 7473 
 27 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 37 ; sergius ; 1850 
 28 ; 15 копеек ; 1902 ; СПБ АР ; Ag ; AU ; 50 ; каламбурчик ; 5200 
 29 ; 10 копеек ; 1805 ; СПБ ФГ ; Ag ; VF- ; 19 ; l1 ; 7650 
 30 ; 10 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 38 ; Продано в зале ; 3800 
 31 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 61 ; DXK ; 6255 
 32 ; 5 копеек ; 1829 ; СПБ НГ ; Ag ; VF+ ; 54 ; Р У Б Л Ь ; 6869 
 33 ; 5 копеек ; 1871 ; СПБ HI ; Ag ; AU/XF ; 34 ; serg2010 ; 3267 
 34 ; Алтын ; 1704 ; БК ; Ag ; XF- ; 27 ; птичкин ; 10000 
 35 ; 10 копеек (Петров-2р) ; 1767 ; КМ "Сибирь" ; Cu ; VF ; 13 ; нумизмат ; 4080 
 36 ; 10 копеек ; 1770 ; КМ "Сибирь" ; Cu ; VF-XF ; 18 ; ravs ; 8670 
