 113 ; 1/2 копейки ; 1842 ; СПМ ; Cu ; XF+ ; 10 ; Участник № 1205 ; 1600 
 114 ; 1/4 копейки ; 1842 ; СПМ ; Cu ; XF ; 15 ; Участник № 133 ; 700 
 115 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF ; 21 ; AVA01 ; 8283 
 116 ; Рубль ; 1843 ; СПБ АЧ ; Ag ; XF+ ; 23 ; батя ; 10000 
 117 ; Полтина ; 1843 ; MW ; Ag ; VF-XF ; 24 ; Участник № 1204 ; 26000 
 118 ; 3 копейки ; 1843 ; ЕМ ; Cu ; XF ; 9 ; hugo ; 1800 
 119 ; 3 копейки ; 1843 ; СПМ ; Cu ; XF- ; 9 ; Участник № 133 ; 1900 
 120 ; Рубль ; 1844 ; СПБ КБ ; Ag ; XF+ ; 21 ; батя ; 8001 
 121 ; Рубль ; 1844 ; MW ; Ag ; XF ; 19 ; батя ; 8283 
 122 ; Рубль ; 1844 ; MW ; Ag ; XF+ ; 17 ; Участник № 147 ; 36000 
 123 ; 25 копеек ; 1844 ; СПБ КБ ; Ag ; VF ; 9 ; Участник № 9 ; 10000 
 124 ; 2 копейки ; 1844 ; ЕМ ; Cu ; VF-XF ; 12 ; Участник № 9 ; 2600 
 125 ; Рубль ; 1845 ; СПБ КБ ; Ag ; XF- ; 33 ; батя ; 7650 
 126 ; Рубль ; 1846 ; СПБ ПА ; Ag ; XF ; 19 ; 4758 ; 7142 
 127 ; Полтина ; 1847 ; MW ; Ag ; VF+ ; 44 ; Участник № 1204 ; 7400 
 128 ; 25 копеек-50 грошей ; 1847 ; MW Рус.-Пол. ; Ag ; XF+ ; 25 ; Ghb ; 21726 
 129 ; 10 копеек ; 1850 ; СПБ ПА ; Ag ; XF ; 43 ; батя ; 3181 
 130 ; Полушка ; 1850 ; ЕМ ; Cu ; AU ; 23 ; ZOLTAN333 ; 3200 
 131 ; Рубль (Ильин-4р) ; 1851 ; СПБ ПА ; Ag ; XF- ; 82 ; AVA01 ; 47474 
 132 ; Полтина ; 1851 ; СПБ ПА ; Ag ; AU ; 26 ; TDN ; 7028 
 133 ; 2 копейки ; 1851 ; ЕМ ; Cu ; VF-XF ; 17 ; Участник № 1204 ; 3000 
 134 ; Денежка ; 1851 ; ЕМ ; Cu ; XF+ ; 5 ; Участник № 51 ; 700 
 135 ; 25 копеек (Ильин-3р) ; 1852 ; СПБ HI ; Ag ; XF ; 58 ; Участник № 135 ; 30000 
 136 ; 20 копеек ; 1852 ; СПБ ПА ; Ag ; VF-XF ; 13 ; пятак ; 3072 
 137 ; 10 копеек ; 1852 ; СПБ ПА ; Ag ; VF-XF ; 30 ; TDN ; 1870 
 138 ; 2 копейки ; 1852 ; ЕМ ; Cu ; VF+ ; 15 ; Участник № 1205 ; 1300 
 139 ; Копейка ; 1852 ; ЕМ ; Cu ; XF+ ; 88 ; Глол ; 4403 
 140 ; Рубль ; 1853 ; СПБ HI ; Ag ; VF-XF ; 7 ; 4758 ; 4194 
 141 ; Денежка ; 1853 ; ЕМ ; Cu ; XF+ ; 15 ; vvt ; 1452 
 142 ; Рубль ; 1854 ; СПБ HI ; Ag ; AU ; 24 ; Участник № 1204 ; 17000 
 143 ; 3 копейки ; 1854 ; ВМ ; Cu ; VF-XF ; 31 ; Участник № 30 ; 13000 
 144 ; 25 копеек ; 1855 ; СПБ HI ; Ag ; XF ; 32 ; Aleksey ; 3570 
 145 ; 10 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 23 ; Участник № 30 ; 7500 
 146 ; 2 копейки ; 1855 ; ЕМ ; Cu ; XF+ ; 55 ; Участник № 30 ; 21000 
 147 ; 2 копейки (Ильин-2р) ; 1855 ; ВМ ; Cu ; VF+ ; 34 ; Участник № 1204 ; 6200 
 148 ; Копейка (Петров-3р) ; 1855 ; ВМ ; Cu ; VF-XF ; 20 ; Участник № 114 ; 4000 
 149 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 19 ; Участник № 1204 ; 2600 
 150 ; 2 копейки ; 1856 ; ЕМ ; Cu ; VF-XF ; 19 ; Участник № 30 ; 2300 
 51 ; Денга (Ильин-1р) ; 1793 ; КМ ; Cu ; VF- ; 5 ; кабан ; 317 
 52 ; Полушка (Петров-5р, Ильин-5р) ; 1793 ;  ; Cu ; VF+ ; 25 ; igorf ; 14000 
 53 ; Гривенник ; 1795 ; СПБ ; Ag ; XF+ ; 72 ; AVA01 ; 15000 
 54 ; 5 копеек ; 1795 ; КМ ; Cu ; XF+ ; 15 ; Участник № 114 ; 7000 
 55 ; 5 копеек ; 1796 ; ЕМ ; Cu ; XF ; 34 ; o.k. ; 567 
 56 ; 5 копеек ; 1796 ; ЕМ Павл.перечек. ; Cu ; VF+ ; 29 ; Участник № 147 ; 11000 
 57 ; 2 копейки (Ильин-20р). Очень редкая ; 1796 ; АМ ; Cu ; F+ ; 37 ; overshtag ; 20400 
 58 ; Копейка ; 1796 ; ЕМ ; Cu ; XF ; 9 ; Участник № 410 ; 750 
 59 ; Копейка (Ильин-3р) ; 1798 ; КМ ; Cu ; VF- ; 34 ; VAG ; 3672 
 60 ; Рубль ; 1799 ; СМ МБ ; Ag ; XF+ ; 41 ; Участник № 1168 ; 62000 
 61 ; 2 копейки ; 1801 ; ЕМ ; Cu ; AU ; 11 ; AVA01 ; 900 
 62 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF-XF ; 47 ; Участник № 30 ; 34000 
 63 ; 5 копеек (Петров-4р, Ильин-3р) ; 1808 ; КМ ; Cu ; VF-XF ; 92 ; батя ; 15867 
 64 ; 5 копеек (Петров-5р, Ильин-3р) ; 1809 ; КМ ; Cu ; VF-XF ; 53 ; Участник № 147 ; 13500 
 65 ; 20 копеек (Петров-1р) ; 1810 ; СПБ ФГ ; Ag ; VF-XF ; 21 ; TDN ; 3570 
 66 ; 2 копейки (Ильин-8р) ; 1810 ; СПБ ПС ; Cu ; VF- ; 25 ; Глол ; 30602 
 67 ; Рубль ; 1811 ; СПБ ФГ ; Ag ; XF- ; 27 ; aleks-2007 ; 6222 
 68 ; 2 копейки ; 1812 ; ЕМ НМ ; Cu ; XF- ; 5 ; hummer ; 227 
 69 ; 2 копейки ; 1812 ; СПБ ПС ; Cu ; XF+ ; 39 ; Глол ; 4811 
 70 ; Рубль ; 1813 ; СПБ ПС ; Ag ; VF-XF ; 13 ; mishelev ; 2763 
 71 ; Рубль ; 1813 ; СПБ ПС ; Ag ; VF-XF ; 21 ; 4758 ; 7000 
 72 ; 10 копеек ; 1814 ; СПБ ПС ; Ag ; VF-XF ; 13 ; Ghb ; 1847 
 73 ; Рубль ; 1815 ; СПБ МФ ; Ag ; XF ; 20 ; Участник № 1179 ; 8800 
