 22 ; 3/4 рубля-5 злотых ; 1841 ; MW Рус.-Пол. ; Ag ; VF-XF ; 14 ; $$$ ; 3000 
 23 ; Полтина ; 1725 ;  ; Ag ; VF-XF ; 35 ; lupus47 ; 55957 
 24 ; Полтина ; 1751 ; СПБ ; Ag ; VF- ; 39 ; Вот я вам ужо! ; 25514 
 25 ; Полтина ; 1763 ; СПБ ЯI ; Ag ; XF- ; 87 ; ZOLTAN333 ; 34121 
 26 ; Полтина ; 1765 ; СПБ СА ; Ag ; VF- ; 33 ; JM ; 8160 
 27 ; Полтина ; 1817 ; СПБ ПС ; Ag ; XF ; 44 ; Банк ; 21387 
 28 ; Полтина ; 1818 ; СПБ ПС ; Ag ; XF ; 21 ; Банк ; 19607 
 29 ; Полтина ; 1880 ; СПБ НФ ; Ag ; VF-XF ; 25 ; tarroman ; 4910 
 30 ; Полтина. В капсуле ННР. AU50 ; 1911 ; (ЭБ) АГ ; Ag ;  ; 13 ; Продано в зале ; 5200 
 31 ; 25 копеек (Петров - 2 руб) ; 1828 ; СПБ НГ ; Ag ; XF- ; 40 ; нумизмат ; 13418 
 32 ; 25 копеек-50 грошей ; 1847 ; MW Рус.-Пол. ; Ag ; XF- ; 48 ; $$$ ; 10613 
 33 ; 20 копеек ; 1827 ; СПБ НГ ; Ag ; VF-XF ; 31 ; Продано в зале ; 3400 
 34 ; 20 копеек-40 грошей ; 1850 ; MW Рус.-Пол. ; Ag ; XF- ; 39 ; Продано в зале ; 12000 
 35 ; 20 копеек (Ильин - 6р) ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 74 ; Продано в зале ; 18000 
 36 ; 20 копеек. В капсуле NGC. MS62 ; 1865 ; СПБ НФ ; Ag ;  ; 23 ; dsidorov ; 2257 
 37 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 40 ; TaraskaPeter ; 2395 
 38 ; 20 копеек ; 1907 ; СПБ ЭБ ; Ag ; AU ; 44 ; cr4068 ; 3062 
 39 ; 20 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 11 ; 462 ; 1600 
 40 ; 15 копеек ; 1767 ; ММД ; Ag ; VF+ ; 52 ; Sky2 ; 5000 
 41 ; 15 копеек (Петров - 5 руб, Ильин - 4 руб) ; 1778 ; СПБ ; Ag ; VF-XF/VF+ ; 36 ; Продано в зале ; 16000 
 42 ; 15 копеек-1 злотый ; 1838 ; MW Рус.-Пол. ; Ag ; XF- ; 52 ; викарий ; 3264 
 43 ; 15 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 43 ; TaraskaPeter ; 2064 
 44 ; 15 копеек ; 1898 ; СПБ АГ ; Ag ; AU ; 18 ; ZOLTAN333 ; 5667 
 45 ; 15 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 54 ; max96 ; 3479 
 46 ; 10 копеек ; 1820 ; СПБ ПС ; Ag ; XF ; 63 ; нумизмат ; 7140 
 47 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; XF ; 24 ; max96 ; 6018 
 48 ; 10 копеек. В капсуле PCGS MS 63 ; 1845 ; СПБ КБ ; Ag ;  ; 48 ; ZOLTAN333 ; 15390 
 49 ; 10 копеек. В капсуле HHP. AU53 ; 1852 ; СПБ ПА ; Ag ;  ; 22 ; нумизмат ; 5100 
 50 ; 10 копеек (Петров - 2 руб) ; 1861 ; СПБ МИ ; Ag ; XF- ; 61 ; Продано в зале ; 14000 
