 296 ; 3 копейки ; 1883 ; СПБ ; Cu ; AU ; 24 ; Участник № 30 ; 4800 
 297 ; 5 рублей ; 1884 ; СПБ АГ Новый орел ; Au ; AU ; 22 ; Глол ; 85068 
 298 ; 15 копеек ; 1885 ; СПБ АГ ; Ag ; AU ; 31 ; Gop ; 20514 
 299 ; 1/2 копейки ; 1885 ; СПБ ; Cu ; AU ; 15 ; zerkalozemli ; 2655 
 300 ; 1/4 копейки ; 1886 ; СПБ ; Cu ; AU ; 18 ; igorf ; 2244 
 201 ; Рубль (Петров-1,5р) ; 1846 ; СПБ ПА ; Ag ; VF-XF ; 18 ; лиса ; 6122 
 202 ; Полтина ; 1846 ; MW ; Ag ; VF+ ; 27 ; Участник № 55 ; 4600 
 203 ; 25 копеек-50 грошей ; 1847 ; MW Рус.-Пол. ; Ag ; VF+ ; 21 ; федя ; 3059 
 204 ; 10 копеек ; 1847 ; СПБ ПА ; Ag ; XF- ; 14 ; Участник № 62 ; 2300 
 205 ; 2 копейки ; 1847 ; СМ ; Cu ; VF+ ; 17 ; Глол ; 2395 
 206 ; 20 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 38 ; Участник № 222 ; 22000 
 207 ; 10 копеек ; 1848 ; СПБ HI ; Ag ; AU ; 48 ; Участник № 222 ; 15000 
 208 ; Дукат. Нидерланды. Петербургский чекан ; 1849 ;  ; Au ; AU ; 31 ; Gatchina ; 25000 
 209 ; Рубль ; 1849 ; СПБ ПА ; Ag ; XF- ; 29 ; Участник № 147 ; 10000 
 210 ; 20 копеек ; 1849 ; СПБ ПА ; Ag ; AU ; 23 ; zerkalozemli ; 17339 
 211 ; 25 копеек ; 1850 ; СПБ ПА ; Ag ; XF+/XF ; 8 ; ААФ ; 3501 
 212 ; 20 копеек ; 1850 ; СПБ ПА ; Ag ; XF ; 26 ; AVA01 ; 4935 
 213 ; 5 копеек ; 1850 ; СПБ ПА ; Ag ; AU ; 17 ; zerkalozemli ; 7000 
 214 ; 5 рублей ; 1851 ; СПБ АГ ; Au ; XF+ ; 21 ; AAE2006 ; 50082 
 215 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; XF- ; 13 ; Участник № 133 ; 1700 
 216 ; Копейка ; 1851 ; ВМ ; Cu ; VF+ ; 16 ; ААФ ; 3570 
 217 ; 2 копейки ; 1852 ; ЕМ ; Cu ; VF-XF ; 58 ; Gop ; 8052 
 218 ; Денежка ; 1852 ; ЕМ ; Cu ; VF-XF ; 1 ; ZOLTAN333 ; 900 
 219 ; Денежка ; 1852 ; ЕМ ; Cu ; VF-XF ; 17 ; foma71 ; 1360 
 220 ; 5 рублей ; 1853 ; СПБ АГ ; Au ; XF ; 23 ; AVA01 ; 56893 
 221 ; 5 копеек ; 1853 ; СПБ HI ; Ag ; AU ; 37 ; zerkalozemli ; 4592 
 222 ; 5 рублей ; 1854 ; СПБ АГ ; Au ; AU ; 35 ; DMT ; 56893 
 223 ; 3 копейки (Ильин-1р) ; 1854 ; ВМ ; Cu ; VF+ ; 25 ; Gop ; 24000 
 224 ; 25 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 22 ; Kolya-kms ; 3800 
 225 ; 20 копеек ; 1855 ; СПБ HI ; Ag ; VF-XF ; 5 ; Участник № 133 ; 2300 
 226 ; 5 копеек ; 1855 ; СПБ HI ; Ag ; XF+ ; 50 ; zerkalozemli ; 2996 
 227 ; Копейка ; 1855 ; ЕМ ; Cu ; VF+ ; 9 ; sem ; 431 
 228 ; Копейка ; 1855 ; ВМ ; Cu ; VF-XF ; 22 ; Gop ; 4592 
 229 ; Денежка ; 1855 ; ЕМ ; Cu ; XF ; 44 ; Глол ; 2477 
 230 ; Полушка ; 1855 ; ЕМ ; Cu ; AU ; 15 ; 1999 ; 2400 
 231 ; 5 рублей ; 1856 ; СПБ АГ ; Au ; AU ; 34 ; Участник № 222 ; 120000 
 232 ; Рубль (Петров-2р) ; 1856 ; СПБ ФБ ; Ag ; VF-XF ; 31 ; Gatchina ; 14000 
 233 ; Полтина ; 1856 ; СПБ ФБ ; Ag ; VF-XF ; 17 ; Gop ; 6834 
 234 ; 25 копеек ; 1856 ; СПБ ФБ ; Ag ; VF-XF ; 8 ; Участник № 133 ; 1800 
 235 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; AU ; 13 ; Участник № 133 ; 5000 
 236 ; 5 копеек ; 1856 ; СПБ ФБ ; Ag ; XF+/XF ; 38 ; Участник № 147 ; 3600 
 237 ; 3 копейки ; 1856 ; ЕМ ; Cu ; VF-XF ; 31 ; Участник № 9 ; 10000 
 238 ; Копейка ; 1856 ; ЕМ ; Cu ; AU ; 60 ; Gop ; 7000 
 239 ; Полтина ; 1857 ; СПБ ФБ ; Ag ; AU ; 25 ; Kolya-kms ; 18297 
 240 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 30 ; ААФ ; 3853 
 241 ; 25 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 4 ; ААФ ; 3400 
 242 ; 20 копеек ; 1857 ; СПБ ФБ ; Ag ; AU ; 27 ; Конрос бид 32 ; 6881 
 243 ; 5 копеек ; 1857 ; СПБ ФБ ; Ag ; XF ; 15 ; Gop ; 12000 
 244 ; 5 копеек ; 1857 ; СПБ ФБ ; Ag ; XF ; 29 ; Участник № 62 ; 15000 
 245 ; 3 копейки ; 1858 ; ЕМ ; Cu ; VF+ ; 14 ; Участник № 751 ; 1600 
 246 ; Рубль ; 1859 ; На открытие памятника Николаю  ; Ag ; AU ; 31 ; Участник № 183 ; 90000 
 247 ; 25 копеек ; 1859 ; СПБ ФБ ; Ag ; AU/XF+ ; 9 ; mneval ; 4082 
 248 ; 5 копеек ; 1859 ; ЕМ ; Cu ; XF- ; 11 ; Участник № 751 ; 2100 
 249 ; 3 копейки ; 1859 ; ЕМ ; Cu ; VF+ ; 17 ; Gop ; 10326 
 250 ; Копейка ; 1859 ; ЕМ Корона у основ.уже ; Cu ; XF+ ; 39 ; DevilD ; 5570 
 151 ; Полтина ; 1820 ; СПБ ПД ; Ag ; VF+ ; 15 ; Участник № 62 ; 5400 
 152 ; 10 копеек ; 1821 ; СПБ ПД ; Ag ; XF ; 25 ; AVA01 ; 6500 
 153 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF ; 14 ; luda ; 2833 
 154 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF- ; 33 ; Участник № 133 ; 2200 
 155 ; 5 копеек ; 1826 ; СПБ НГ ; Ag ; XF- ; 34 ; sail ; 6120 
 156 ; 25 копеек ; 1827 ; СПБ НГ ; Ag ; XF+ ; 30 ; Участник № 1 ; 23000 
 157 ; 2 копейки ; 1827 ; КМ АМ ; Cu ; XF ; 32 ; AVA01 ; 3900 
 158 ; Копейка ; 1828 ; ЕМ ИК ; Cu ; XF+ ; 27 ; Gop ; 3570 
 159 ; Рубль ; 1830 ; СПБ НГ ; Ag ; VF-XF ; 22 ; Участник № 147 ; 7000 
 160 ; 25 копеек ; 1830 ; СПБ НГ ; Ag ; VF ; 45 ; Gop ; 5202 
 161 ; 5 копеек ; 1830 ; СПБ НГ ; Ag ; XF- ; 17 ; Глол ; 4589 
 162 ; 3 рубля ; 1831 ; СПБ ; Pt ; VF+ ; 29 ; тнн ; 73000 
 163 ; 5 злотых ; 1831 ; KG польское восстание 1830-183 ; Ag ; XF- ; 41 ; федя ; 14892 
 164 ; 10 грошей ; 1831 ; KG Польша ; Ag ; XF- ; 40 ; Участник № 9 ; 10000 
 165 ; 25 копеек ; 1832 ; СПБ НГ ; Ag ; XF ; 37 ; Зубарев ; 25986 
 166 ; 10 копеек ; 1832 ; ЕМ ФХ ; Cu ; XF/VF-XF ; 31 ; AVA01 ; 35374 
 167 ; Полтина (Ильин-3р) ; 1833 ; СПБ НГ ; Ag ; VF- ; 22 ; ААФ ; 5500 
 168 ; 5 копеек ; 1833 ; ЕМ ФХ ; Cu ; XF ; 22 ; luda ; 7956 
 169 ; 5 рублей ; 1834 ; СПБ ПД ; Au ; VF-XF ; 28 ; alla ; 47028 
 170 ; 1,5 рубля-10 злотых ; 1834 ; НГ Рус.-Пол. ; Ag ; VF+ ; 46 ; Gop ; 13374 
 171 ; 3/4 рубля-5 злотых ; 1834 ; НГ Рус.-Пол. ; Ag ; VF-XF ; 34 ; федя ; 4998 
 172 ; 10 копеек ; 1834 ; ЕМ ФХ ; Cu ; VF+ ; 38 ; ААФ ; 2200 
 173 ; 5 копеек ; 1834 ; СМ ; Cu ; VF ; 40 ; Gop ; 2550 
 174 ; 3 рубля-20 злотых ; 1835 ; СПБ ПД Рус.-Пол. ; Au ; XF/VF-XF ; 19 ; Глол ; 120000 
 175 ; 1,5 рубля-10 злотых ; 1835 ; НГ Рус.-Пол. ; Ag ; XF- ; 27 ; тнн ; 10102 
 176 ; 25 копеек ; 1835 ; СПБ НГ ; Ag ; VF-XF ; 19 ; red ; 10000 
 177 ; 5 копеек ; 1835 ; ЕМ ФХ ; Cu ; XF+ ; 21 ; Конрос бид 32 ; 8874 
 178 ; 5 копеек ; 1835 ; СМ ; Cu ; VF+ ; 18 ; Gop ; 8970 
 179 ; Рубль ; 1836 ; СПБ НГ ; Ag ; XF- ; 29 ; Маша-растеряша ; 8500 
 180 ; 30 копеек-2 злотых ; 1836 ; MW Рус.-Пол. ; Ag ; VF-XF ; 44 ; Gop ; 5894 
 181 ; 5 копеек ; 1836 ; СМ ; Cu ; VF+ ; 21 ; Gop ; 5803 
 182 ; Рубль ; 1837 ; СПБ НГ ; Ag ; AU ; 19 ; тнн ; 17342 
 183 ; 3/4 рубля-5 злотых ; 1837 ; MW Рус.-Пол. ; Ag ; VF-XF ; 13 ; федя ; 3366 
 184 ; Копейка ; 1837 ; ЕМ НА ; Cu ; AU ; 37 ; Gop ; 7933 
 185 ; 25 копеек ; 1839 ; СПБ НГ ; Ag ; XF ; 16 ; Kolya-kms ; 3400 
 186 ; 10 копеек (Петров-3р, Ильин-4р) ; 1839 ; СМ ; Cu ; F-VF ; 18 ; Глол ; 14178 
 187 ; 25 копеек ; 1840 ; СПБ НГ ; Ag ; VF+ ; 19 ; Участник № 607 ; 1900 
 188 ; 20 копеек ; 1840 ; СПБ НГ ; Ag ; XF- ; 15 ; Глол ; 2800 
 189 ; 3 гроша ; 1840 ; MW Рус.-Пол. ; Cu ; VF-XF ; 13 ; luda ; 2267 
 190 ; 5 рублей ; 1841 ; СПБ АЧ ; Au ; AU ; 22 ; Глол ; 50000 
 191 ; Дукат. Нидерланды. Петербургский чекан. Признаки № 8,10,12 ; 1841 ;  ; Au ; AU ; 53 ; Участник № 222 ; 28000 
 192 ; "Рубль (ошибка-""МОНЕТЛ"")" ; 1841 ; СПБ НГ ; Ag ; VF-XF ; 64 ; Глол ; 26434 
 193 ; 3 копейки ; 1841 ; ЕМ ; Cu ; VF-XF ; 74 ; ААФ ; 1001 
 194 ; 1/4 копейки ; 1841 ; СПМ ; Cu ; XF+ ; 44 ; Глол ; 5102 
 195 ; Рубль (Петров-2р) ; 1842 ; MW ; Ag ; VF-XF ; 30 ; ААФ ; 7944 
 196 ; 2 копейки ; 1842 ; ЕМ ; Cu ; VF+ ; 53 ; Gop ; 8052 
 197 ; Рубль ; 1844 ; СПБ КБ ; Ag ; VF-XF ; 38 ; лиса ; 5619 
 198 ; Рубль ; 1844 ; MW ; Ag ; XF- ; 25 ; ~~~~~~~~ ; 9690 
 199 ; 3 копейки ; 1844 ; ЕМ ; Cu ; VF ; 10 ; priwet ; 888 
 200 ; 5 копеек ; 1845 ; СПБ КБ ; Ag ; AU ; 30 ; zerkalozemli ; 7000 
 101 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF ; 16 ; Участник № 51 ; 2800 
 102 ; 5 копеек ; 1793 ; АМ ; Cu ; VF+ ; 4 ; igors1969 ; 1509 
 103 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF-XF ; 56 ; Участник № 114 ; 3200 
 104 ; 2 копейки ; 1793 ; Е- М Павл.перечекан ; Cu ; VF ; 23 ; igorf ; 7000 
 105 ; Денга ; 1794 ; КМ ; Cu ; VF- ; 24 ; Участник № 51 ; 3400 
 106 ; Денга ; 1795 ; ЕМ ; Cu ; VF ; 14 ; кабан ; 806 
 107 ; 2 копейки ; 1797 ; АМ ; Cu ; VF+ ; 2 ; федя ; 1530 
 108 ; Копейка ; 1797 ; АМ ; Cu ; VF ; 21 ; sinisha ; 2142 
 109 ; Рубль ; 1798 ; СМ МБ ; Ag ; VF+ ; 1 ; AGAT D ; 45000 
 110 ; 5 копеек ; 1798 ; СМ МБ ; Ag ; VF ; 21 ; sas ; 6347 
 111 ; Рубль ; 1801 ; СМ АИ ; Ag ; VF+ ; 1 ; AGAT D ; 42500 
 112 ; Полуполтинник (Петров-2,25р) ; 1802 ; СПБ АИ ; Ag ; VF- ; 66 ; Глол ; 80003 
 113 ; 2 копейки ; 1802 ; ЕМ ; Cu ; VF+ ; 2 ; foma71 ; 7650 
 114 ; 2 копейки ; 1802 ; ЕМ ; Cu ; XF ; 18 ; Участник № 62 ; 15000 
 115 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF+ ; 28 ; Участник № 30 ; 3200 
 116 ; 5 копеек ; 1803 ; ЕМ ; Cu ; XF- ; 33 ; федя ; 2595 
 117 ; 10 копеек ; 1804 ; СПБ ФГ ; Ag ; VF/VF+ ; 13 ; boroda ; 12240 
 118 ; 5 копеек ; 1804 ; КМ ; Cu ; VF+ ; 39 ; Gop ; 8896 
