 9 ; Рубль ; 1765 ; СПБ ЯI TI ; Ag ; AU ; 47 ; Продано в зале ; 38000 
 10 ; Рубль ; 1799 ; СМ ФЦ ; Ag ; XF ; 74 ; Продано в зале ; 54000 
 11 ; Рубль ; 1842 ; СПБ АЧ ; Ag ; AU/XF ; 42 ; Продано в зале ; 15000 
 12 ; Рубль (Ильин-10р) ; 1851 ; СПБ ПА ; Ag ; VF-XF ; 55 ; Продано в зале ; 70000 
 13 ; Рубль ; 1859 ; На открытие памятника Николаю I ; Ag ; VF-XF ; 36 ; Продано в зале ; 42000 
 14 ; Рубль ; 1879 ; СПБ НФ ; Ag ; XF ; 41 ; Продано в зале ; 26000 
 15 ; Рубль ; 1884 ; СПБ АГ ; Ag ; XF ; 38 ; Продано в зале ; 34000 
 16 ; Рубль ; 1885 ; СПБ АГ ; Ag ; XF- ; 27 ; Продано в зале ; 18000 
 17 ; Рубль ; 1893 ; (АГ) ; Ag ; XF+/AU ; 49 ; elac ; 36000 
 18 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; AU ; 46 ; фигаро ; 58140 
 19 ; Рубль ; 1896 ; ( * ) ; Ag ; XF/AU ; 38 ; Продано в зале ; 15000 
 20 ; Рубль ; 1897 ; ( ** ) ; Ag ; XF+ ; 35 ; Продано в зале ; 15000 
 21 ; Рубль ; 1897 ; (АГ) ; Ag ; AU ; 22 ; Продано в зале ; 17000 
 22 ; Рубль ; 1898 ; ( * ) ; Ag ; XF+ ; 51 ; asp ; 21100 
 23 ; Рубль ; 1899 ; ( ** ) ; Ag ; AU ; 51 ; verunk1 ; 26928 
 24 ; Рубль ; 1899 ; (ФЗ) ; Ag ; XF ; 76 ; Продано в зале ; 11000 
 25 ; Рубль ; 1907 ; (ЭБ) ; Ag ; AU ; 13 ; Эфес ; 16320 
 26 ; Рубль ; 1912 ; На столетие отечественной войны 1812 г. ; Ag ; AU/XF ; 21 ; Продано в зале ; 86000 
 27 ; Рубль ; 1914 ; (ВС) ; Ag ; XF+ ; 46 ; Продано в зале ; 28000 
 28 ; Полтина ; 1763 ; СПБ ЯI ; Ag ; VF+ ; 38 ; фигаро ; 30600 
 29 ; Полтина ; 1895 ; (АГ) АГ ; Ag ; Unc/AU ; 27 ; Продано в зале ; 27000 
 30 ; Полтина ; 1899 ; (ЭБ) АГ ; Ag ; XF+ ; 31 ; Продано в зале ; 30000 
 31 ; Полтина ; 1909 ; (ЭБ) АГ ; Ag ; VF-XF ; 29 ; zorrosha ; 30100 
 32 ; Полтина ; 1914 ; (ВС) АГ ; Ag ; XF+ ; 22 ; Продано в зале ; 9500 
 33 ; Полуполтинник ; 1746 ; ММД ; Ag ; XF+ ; 39 ; Продано в зале ; 20000 
 34 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 48 ; Продано в зале ; 4000 
 35 ; 20 копеек-40 грошей ; 1843 ; MW Рус.-Пол. ; Ag ; VF+ ; 29 ; Продано в зале ; 16500 
 36 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 39 ; Продано в зале ; 3600 
 37 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 13 ; Petrogradka ; 1742 
 38 ; 20 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 18 ; Продано в зале ; 3200 
 39 ; 20 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 18 ; Продано в зале ; 3200 
 40 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 25 ; romik ; 3400 
 41 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 21 ; Алексей Викторович ; 2800 
 42 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 25 ; Продано в зале ; 3600 
 43 ; 20 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 18 ; Продано в зале ; 3600 
 44 ; 15 копеек ; 1861 ; СПБ ; Ag ; AU ; 16 ; alex550 ; 1900 
 45 ; 15 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 19 ; romik ; 4200 
 46 ; Гривна ; 1705 ; БК ; Ag ; VF ; 27 ; benc ; 29649 
 47 ; Гривенник ; 1747 ;  ; Ag ; XF- ; 47 ; Продано в зале ; 4400 
 48 ; Гривенник ; 1748 ;  ; Ag ; XF- ; 21 ; Продано в зале ; 3600 
 49 ; 10 копеек ; 1798 ; СМ МБ ; Ag ; VF-XF ; 18 ; Lisik ; 15000 
 50 ; 10 копеек ; 1837 ; СПБ НГ ; Ag ; XF+ ; 30 ; Lisik ; 4200 
