 58 ; 20 копеек. Тип герба предыдущих лет ; 1860 ; СПБ ФБ ; Ag ; AU/XF ; 27 ; НумБум ; 10203 
 59 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 27 ; птичкин ; 7367 
 60 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 25 ; Продано в зале ; 3200 
 61 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 21 ; Продано в зале ; 2300 
 62 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 7 ; Продано в зале ; 2600 
 63 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 11 ; Продано в зале ; 3400 
 64 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; AU ; 13 ; каламбурчик ; 3000 
 65 ; 20 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 27 ; 439 ; 5700 
 66 ; 20 копеек ; 1871 ; СПБ HI ; Ag ; AU ; 13 ; 439 ; 1587 
 67 ; 20 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 29 ; Алексей Викторович ; 2660 
 68 ; 20 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 33 ; est4o ; 2946 
 69 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 17 ; Продано в зале ; 2600 
 70 ; 20 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 7 ; Продано в зале ; 1200 
 71 ; 20 копеек ; 1879 ; СПБ НФ ; Ag ; AU ; 15 ; Продано в зале ; 5200 
 72 ; 20 копеек ; 1881 ; СПБ НФ ; Ag ; AU ; 101 ; tisa66 ; 8208 
 73 ; 20 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 31 ; Продано в зале ; 5200 
 74 ; 15 копеек ; 1778 ; СПБ ; Ag ; VF+ ; 32 ; ru ; 5985 
 75 ; 15 копеек-1 злотый ; 1838 ; MW Рус.-Пол. ; Ag ; XF+ ; 23 ; Продано в зале ; 3800 
 76 ; 15 копеек. Особый тип герба ; 1860 ; СПБ ФБ ; Ag ; AU ; 32 ; Продано в зале ; 13500 
 77 ; 15 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 28 ; Продано в зале ; 5400 
 78 ; 15 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 27 ; tisa66 ; 8600 
 79 ; Гривна ; 1709 ; БК ; Ag ; VF-XF ; 51 ; Продано в зале ; 32000 
 80 ; Гривенник (Петров-2р) ; 1733 ;  ; Ag ; XF ; 50 ; Продано в зале ; 36000 
 81 ; Гривенник ; 1767 ; СПБ TI ; Ag ; XF+ ; 7 ; cotangens ; 6400 
 82 ; Гривенник ; 1772 ; СПБ TI ; Ag ; VF-XF ; 19 ; нумизмат ; 10000 
 83 ; Гривенник ; 1784 ; СПБ ; Ag ; VF-XF ; 22 ; ru ; 2770 
 84 ; 10 копеек. В пластиковой капсуле  PCGS ; 1847 ; СПБ ПА ; Ag ; MS 62 ; 24 ; verunk1 ; 8262 
 85 ; 5 копеек. В капсуле NGC ; 1853 ; СПБ HI ; Ag ; AU50 ; 41 ; verunk1 ; 3000 
 86 ; 10 копеек. В капсуле PCGS ; 1855 ; СПБ HI ; Ag ; Unc details ; 11 ; Серьезный ; 5667 
 87 ; 10 копеек ; 1859 ; СПБ ФБ ; Ag ; AU ; 19 ; птичкин ; 7707 
 88 ; 10 копеек. Тип герба предидущих лет ; 1860 ; СПБ ФБ ; Ag ; XF+ ; 23 ; Продано в зале ; 6400 
 89 ; 10 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 19 ; Продано в зале ; 4400 
 90 ; 10 копеек ; 1882 ; СПБ НФ ; Ag ; AU ; 13 ; Продано в зале ; 8400 
 91 ; 10 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 25 ; Продано в зале ; 3800 
 92 ; 10 копеек ; 1896 ; СПБ АГ ; Ag ; AU/XF ; 10 ; Lisik ; 4000 
 93 ; 10 копеек ; 1903 ; СПБ АР ; Ag ; AU/XF ; 9 ; СВИ ; 2856 
 94 ; 5 копеек (Петров-25р, Ильин-20р) ; 1839 ; СПБ НГ ; Ag ; AU ; 47 ; Продано в зале ; 350000 
 95 ; 5 копеек ; 1861 ; СПБ ФБ ; Ag ; XF/AU ; 24 ; Алексей Викторович ; 4418 
 96 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 24 ; каламбурчик ; 5339 
 97 ; 5 копеек ; 1880 ; СПБ НФ ; Ag ; AU ; 16 ; Продано в зале ; 5200 
 98 ; 5 злотых ; 1816 ; IB Польша ; Ag ; VF+ ; 79 ; AlexdavR ; 15056 
 99 ; 5 злотых ; 1817 ; IB Польша ; Ag ; XF- ; 23 ; caperang ; 13812 
