 117 ; 10 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 11 ; Sc ; 3060 
 118 ; 5 копеек ; 1864 ; СПБ НФ ; Ag ; XF+ ; 74 ; Участник № 4 ; 5000 
 119 ; 5 копеек ; 1865 ; СПБ НФ ; Ag ; XF+ ; 8 ; pmaster ; 867 
 120 ; 10 копеек ; 1866 ; СПБ НФ ; Ag ; AU ; 8 ; krokodil ; 5712 
 121 ; Полтина (Петров-2,5р) ; 1867 ; СПБ HI ; Ag ; VF-XF ; 21 ; Участник № 51 ; 36000 
 122 ; 10 копеек ; 1868 ; СПБ HI ; Ag ; AU ; 11 ; Участник № 42 ; 2400 
 123 ; 1/4 копейки ; 1869 ; ЕМ ; Cu ; AU ; 15 ; Участник № 147 ; 3200 
 124 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 9 ; Участник № 4 ; 1900 
 125 ; 20 копеек ; 1871 ; СПБ HI ; Ag ; XF ; 7 ; dimon46 ; 340 
 126 ; 5 рублей. М-6,54гр ; 1874 ; СПБ НI ; Au ; AU ; 12 ; Участник № 584 ; 26000 
 127 ; 5 копеек ; 1875 ; ЕМ ; Cu ; VF-XF ; 9 ; toto ; 600 
 128 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 10 ; Участник № 147 ; 1400 
 129 ; 5 копеек ; 1876 ; СПБ ; Cu ; XF ; 5 ; toto ; 1581 
 130 ; 1/2 копейки ; 1876 ; СПБ ; Cu ; XF- ; 34 ; Участник № 147 ; 1300 
 131 ; 1/4 копейки ; 1876 ; СПБ ; Cu ; XF- ; 26 ; Участник № 147 ; 1200 
 132 ; Полтина ; 1877 ; СПБ HI ; Ag ; AU ; 8 ; Olimpia ; 7500 
 133 ; Полтина ; 1877 ; СПБ HI ; Ag ; XF+/XF- ; 17 ; laserjet ; 4674 
 134 ; 25 копеек ; 1877 ; СПБ HI ; Ag ; XF+ ; 50 ; fanfan ; 2146 
 135 ; 5 копеек ; 1877 ; СПБ HI ; Ag ; XF+ ; 10 ; Участник № 4 ; 3200 
 136 ; Рубль ; 1878 ; СПБ НФ ; Ag ; AU ; 33 ; Misha ; 16087 
 137 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 35 ; СВл ; 6120 
 138 ; 5 копеек ; 1878 ; СПБ НФ ; Ag ; AU/XF ; 36 ; СВл ; 4080 
 139 ; 1/4 копейки ; 1878 ; СПБ ; Cu ; XF+ ; 26 ; toto ; 2457 
 140 ; 3 копейки ; 1879 ; СПБ ; Cu ; XF+ ; 13 ; АЦТЕК ; 2142 
 141 ; Копейка ; 1879 ; СПБ ; Cu ; XF+ ; 5 ; Участник № 523 ; 450 
 142 ; 1/4 копейки (Ильин-2р) ; 1882 ; СПБ ; Cu ; VF+ ; 53 ; overshtag ; 11000 
 143 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF+ ; 28 ; Участник № 1176 ; 14000 
 144 ; 20 копеек ; 1883 ; СПБ АГ ; Ag ; AU ; 67 ; Sc ; 26000 
 145 ; 20 копеек ; 1889 ; СПБ АГ ; Ag ; XF/AU ; 94 ; Участник № 147 ; 1100 
