 25 ; Рубль. в капсуле NGC ; 1818 ; СПБ ПС ; Ag ;  ; 24 ; Продано в зале ; 32000 
 26 ; Рубль В капсуле NGC ; 1823 ; СПБ ПД ; Ag ;  ; 15 ; sdv75-2010 ; 5750 
 27 ; Рубль ; 1834 ; "На открытие Александровской колонны" ; Ag ; VF-XF ; 49 ; CapsulЪ ; 57322 
 28 ; Рубль ; 1839 ; H.Gube F. "На открытие Бородинского памятника-часовни" ; Ag ; XF ; 38 ; ВС ; 90000 
 29 ; Рубль ; 1848 ; СПБ HI ; Ag ; VF-XF ; 22 ; eastern wind ; 4590 
 30 ; Рубль ; 1878 ; СПБ НФ ; Ag ; XF ; 26 ; anna53 ; 8000 
 31 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; XF ; 11 ; sergius ; 21000 
 32 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; XF ; 24 ; ацетон ; 32000 
 33 ; Рубль ; 1901 ; (ФЗ) ; Ag ; XF+ ; 62 ; Продано в зале ; 47000 
 34 ; Рубль ; 1912 ; (ЭБ) ; Ag ; XF+ ; 35 ; Великий Могол ; 8150 
 35 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; XF+ ; 31 ; а1945 ; 9000 
 36 ; Рубль ; 1914 ; (ВС) ; Ag ; XF+ ; 50 ; w w w * NUMAR * ru ; 80000 
 37 ; Рубль ; 1914 ; (ВС) ; Ag ; XF ; 62 ; vic-dmitri ; 48000 
 38 ; Полтина ; 1820 ; СПБ ПД ; Ag ; XF ; 19 ; обморок ; 11000 
 39 ; Полтина (Петров-5р) ; 1852 ; СПБ HI ; Ag ; VF-XF ; 27 ; волька76 ; 20502 
 40 ; Полтина ; 1859 ; СПБ ФБ ; Ag ; XF+ ; 37 ; vic-dmitri ; 10500 
 41 ; Полтина ; 1877 ; СПБ HI ; Ag ; XF ; 21 ; Raritet ; 4400 
 42 ; Полтина ; 1906 ; (ЭБ) АГ ; Ag ; VF-XF ; 32 ; Продано в зале ; 33000 
 43 ; 25 копеек ; 1853 ; СПБ HI ; Ag ; XF+ ; 42 ; Продано в зале ; 11000 
 44 ; 20 копеек ; 1826 ; СПБ НГ ; Ag ; VF-XF ; 13 ; CapsulЪ ; 1700 
 45 ; 20 копеек ; 1840 ; СПБ НГ ; Ag ; VF+ ; 8 ; Eichhörnchen ; 1001 
 46 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; XF ; 15 ; Mashinist2019 ; 918 
 47 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 30 ; bratss ; 1037 
 48 ; 20 копеек ; 1867 ; СПБ HI ; Ag ; XF+ ; 9 ; Лидер ; 1134 
 49 ; 20 копеек. Капсула ННР ; 1887 ; СПБ АГ ; Ag ;  ; 44 ; Лидер ; 2284 
 50 ; 20 копеек. Капсула ННР ; 1889 ; СПБ АГ ; Ag ;  ; 45 ; Лидер ; 2192 
