 27 ; Полтина ; 1840 ; СПБ НГ ; Ag ; VF-XF ; 27 ; sergius ; 15867 
 28 ; Полуполтинник ; 1748 ; ММД ; Ag ; VF-XF ; 39 ; Sky2 ; 10000 
 29 ; 25 копеек ; 1847 ; СПБ ПА ; Ag ; AU/XF ; 51 ; Продано в зале ; 8000 
 30 ; 25 копеек. "Чистлго" ; 1851 ; СПБ ПА ; Ag ; VF-XF ; 64 ; Торгонавтус ; 11274 
 31 ; 25 копеек. В капсуле NGC ; 1891 ; (АГ) АГ ; Ag ; AU53 ; 83 ; Logik68 ; 56988 
 32 ; 20 копеек ; 1832 ; СПБ НГ ; Ag ; VF+ ; 93 ; ОСА ; 6124 
 33 ; 20 копеек ; 1838 ; СПБ НГ ; Ag ; XF ; 18 ; 3273 ; 2278 
 34 ; 20 копеек ; 1839 ; СПБ НГ ; Ag ; XF- ; 30 ; double ; 2267 
 35 ; 20 копеек ; 1850 ; СПБ ПА ; Ag ; XF+ ; 50 ; ЛАВ-13 ; 5808 
 36 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 23 ; Продано в зале ; 2400 
 37 ; 20 копеек. В капсуле NGC ; 1883 ; СПБ ДС ; Ag ; MS62 ; 86 ; Продано в зале ; 7000 
 38 ; 20 копеек ; 1886 ; СПБ АГ ; Ag ; AU ; 13 ; Olimpia ; 4182 
 39 ; 20 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 50 ; alien34 ; 2267 
 40 ; 20 копеек ; 1906 ; СПБ ЭБ ; Ag ; AU ; 38 ; Продано в зале ; 3400 
 41 ; 15 копеек ; 1873 ; СПБ HI ; Ag ; AU ; 35 ; Продано в зале ; 6000 
 42 ; 15 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 32 ; verunk1 ; 5555 
 43 ; 10 копеек ; 1823 ; СПБ ПД ; Ag ; XF- ; 12 ; sax ; 1733 
 44 ; 10 копеек ; 1833 ; СПБ НГ ; Ag ; XF ; 45 ; Sky2 ; 3282 
 45 ; 10 копеек ; 1838 ; СПБ НГ ; Ag ; XF- ; 33 ; Sky2 ; 1734 
 46 ; 10 копеек ; 1878 ; СПБ НФ ; Ag ; AU ; 17 ; ZOLTAN333 ; 3518 
 47 ; 10 копеек ; 1900 ; СПБ ФЗ ; Ag ; AU ; 33 ; Продано в зале ; 3800 
 48 ; 10 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 43 ; tisa66 ; 17000 
 49 ; 5 копеек ; 1842 ; СПБ АЧ ; Ag ; VF-XF ; 75 ; Торгонавтус ; 10226 
 50 ; 5 копеек ; 1852 ; СПБ ПА ; Ag ; AU ; 21 ; azsilver ; 3400 
