 70 ; 5 копеек ; 1791 ; АМ ; Cu ; VF-XF ; 15 ; Продано в зале ; 1300 
 71 ; 5 копеек ; 1792 ; АМ ; Cu ; XF- ; 9 ; $$$ ; 1500 
 72 ; 5 копеек ; 1793 ; АМ ; Cu ; VF-XF ; 9 ; Продано в зале ; 1300 
 73 ; 5 копеек ; 1793 ; ЕМ Павл.перечекан ; Cu ; VF+ ; 42 ; золотник ; 8500 
 74 ; 5 копеек ; 1796 ; АМ ; Cu ; VF-XF ; 11 ; Продано в зале ; 1600 
 75 ; 5 копеек ; 1804 ; КМ ; Cu ; VF-XF ; 31 ; Продано в зале ; 10000 
 76 ; 5 копеек (Петров-4р, Ильин-3р) ; 1808 ; КМ ; Cu ; XF- ; 28 ; Продано в зале ; 14000 
 77 ; 5 копеек ; 1831 ; ЕМ ФХ ; Cu ; XF+ ; 32 ; Продано в зале ; 7500 
 78 ; 5 копеек ; 1836 ; ЕМ ФХ ; Cu ; XF- ; 13 ; Продано в зале ; 2600 
 79 ; 5 копеек ; 1865 ; ЕМ ; Cu ; XF ; 31 ; бегемот ; 5555 
 80 ; 4 копейки ; 1762 ;  ; Cu ; XF- ; 54 ; Продано в зале ; 42000 
 81 ; 3 копейки (Ильин-2р) ; 1853 ; ВМ ; Cu ; VF+ ; 50 ; Продано в зале ; 17500 
 82 ; 3 копейки ; 1899 ; СПБ ; Cu ; AU ; 43 ; Продано в зале ; 7500 
 83 ; 3 копейки ; 1912 ; СПБ ; Cu ; AU/XF ; 31 ; Продано в зале ; 1600 
 84 ; 2 копейки ; 1757 ; Номинал под гербом ; Cu ; VF+ ; 11 ; Продано в зале ; 1600 
 85 ; 2 копейки ; 1779 ; КМ "Сибирь" ; Cu ; XF- ; 47 ; Продано в зале ; 14000 
 86 ; 2 копейки ; 1788 ; ММ ; Cu ; VF+ ; 27 ; Isay ; 3200 
 87 ; 2 копейки ; 1790 ; ЕМ ; Cu ; VF-XF ; 33 ; МСКВ ; 3650 
 88 ; 2 копейки ; 1791 ; ЕМ ; Cu ; VF-XF ; 45 ; МСКВ ; 11787 
 89 ; 2 копейки (Петров-6р, Ильин-8р) ; 1793 ; АМ ; Cu ; F-VF ; 48 ; нумизмат ; 15827 
 90 ; 2 копейки ; 1857 ; ЕМ ; Cu ; XF ; 68 ; Продано в зале ; 15500 
 91 ; 2 копейки ; 1874 ; ЕМ ; Cu ; AU ; 44 ; Продано в зале ; 6000 
 92 ; 2 копейки ; 1912 ; СПБ ; Cu ; AU ; 9 ; Продано в зале ; 1600 
 93 ; Копейка ; 1713 ; М Д ; Cu ; VF ; 70 ; Продано в зале ; 10500 
 94 ; Копейка ; 1714 ; НД ; Cu ; VF+ ; 22 ; aureo2 ; 5667 
 95 ; Копейка ; 1715 ; НД ; Cu ; VF ; 13 ; вапрос ; 2607 
 96 ; Копейка (Петров - 20р, Ильин - 8р) ; 1724 ;  ; Cu ; F-VF ; 78 ; привет227 ; 127890 
 97 ; Копейка ; 1728 ;  ; Cu ; VF+ ; 42 ; Продано в зале ; 13000 
 98 ; Копейка (Ильин-1р) ; 1728 ;  ; Cu ; VF- ; 36 ; Продано в зале ; 15000 
 99 ; Копейка ; 1756 ; СПБ ; Cu ; VF ; 53 ; Продано в зале ; 16000 
 100 ; Копейка. Перечекан из шведскоого оре ; 1757 ;  ; Cu ; VF- ; 23 ; Продано в зале ; 8000 
 1 ; Рубль. (Петров - 25р.) Убрана напайка - 12 час. ; 1723 ; ОК ; Ag ; VF- ; 35 ; ddv kv ; 36040 
 2 ; Рубль ; 1725 ;  ; Ag ; VF+ ; 38 ; Продано в зале ; 23000 
 3 ; Рубль ; 1742 ; СПБ ; Ag ; VF-XF ; 41 ; 333985 ; 23007 
 4 ; Рубль ; 1753 ; ММД IП ; Ag ; XF ; 40 ; 78gen ; 41957 
 5 ; Рубль ; 1755 ; ММД МБ ; Ag ; XF ; 71 ; Продано в зале ; 63000 
 6 ; Рубль ; 1756 ; ММД МБ ; Ag ; XF- ; 43 ; Продано в зале ; 36000 
 7 ; Рубль (Петров-3р) ; 1756 ; СПБ IM BS ; Ag ; VF-XF ; 36 ; Sky2 ; 36000 
 8 ; Рубль ; 1826 ; СПБ НГ ; Ag ; XF+ ; 68 ; 333985 ; 132000 
 9 ; Рубль ; 1830 ; СПБ НГ ; Ag ; XF ; 35 ; Продано в зале ; 21000 
 10 ; Рубль ; 1848 ; СПБ HI ; Ag ; XF+ ; 15 ; 78gen ; 24000 
 11 ; Рубль (Петров-4р) ; 1852 ; СПБ HI ; Ag ; XF+ ; 41 ; ddv kv ; 70380 
 12 ; Рубль ; 1868 ; СПБ HI ; Ag ; AU/XF ; 31 ; Продано в зале ; 40000 
 13 ; Рубль ; 1872 ; СПБ HI ; Ag ; VF-XF ; 13 ; acad ; 13600 
 14 ; Рубль ; 1883 ; СПБ ДС ; Ag ; XF ; 35 ; Продано в зале ; 52000 
 15 ; Рубль ; 1883 ; ЛШ На коронацию Александра III ; Ag ; AU ; 38 ; Продано в зале ; 34000 
 16 ; Рубль ; 1896 ; (АГ) На коронацию Николая II ; Ag ; AU ; 67 ; Продано в зале ; 45000 
 17 ; Рубль ; 1911 ; (ЭБ) ; Ag ; XF/AU ; 63 ; CR1104 ; 39780 
 18 ; Полтина ; 1763 ; СПБ ЯI ; Ag ; XF- ; 42 ; Маша-растеряша ; 39270 
 19 ; Полтина ; 1911 ; (ЭБ) АГ ; Ag ; XF+ ; 20 ; Продано в зале ; 6000 
 20 ; Полуполтинник ; 1803 ; СПБ АИ ; Ag ; VF+ ; 64 ; Продано в зале ; 48000 
 21 ; 25 копеек ; 1886 ; (АГ) АГ ; Ag ; XF+ ; 55 ; каламбурчик ; 95000 
 22 ; 25 копеек ; 1895 ; АГ ; Ag ; AU ; 30 ; sergius ; 14280 
 23 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; AU ; 33 ; Продано в зале ; 12000 
 24 ; 20 копеек ; 1823 ; СПБ ПД ; Ag ; XF+ ; 21 ; Продано в зале ; 6000 
 25 ; 20 копеек-40 грошей ; 1850 ; MW Рус.-Пол. ; Ag ; VF-XF ; 38 ; ГдРъ ; 6222 
 26 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 16 ; Продано в зале ; 3600 
 27 ; 15 копеек ; 1891 ; СПБ АГ ; Ag ; AU ; 20 ; Продано в зале ; 7500 
 28 ; 15 копеек ; 1893 ; СПБ АГ ; Ag ; AU ; 16 ; Продано в зале ; 6500 
 29 ; 15 копеек ; 1905 ; СПБ АР ; Ag ; AU ; 22 ; 37577 ; 4200 
 30 ; Гривенник ; 1784 ; СПБ ; Ag ; XF/AU ; 41 ; Сыч ; 6069 
 31 ; 10 копеек ; 1815 ; СПБ МФ ; Ag ; XF+/XF- ; 12 ; Продано в зале ; 3200 
 32 ; 10 копеек ; 1874 ; СПБ HI ; Ag ; AU ; 29 ; Продано в зале ; 3000 
 33 ; 5 копеек ; 1834 ; СПБ НГ ; Ag ; AU ; 45 ; Продано в зале ; 7500 
 34 ; 5 копеек ; 1846 ; СПБ ПА ; Ag ; AU ; 50 ; Продано в зале ; 9000 
 35 ; 5 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 27 ; Продано в зале ; 37000 
 36 ; 5 копеек ; 1870 ; СПБ HI ; Ag ; AU ; 26 ; Продано в зале ; 6000 
 37 ; 5 копеек ; 1872 ; СПБ HI ; Ag ; AU ; 38 ; Lisik ; 24000 
 38 ; 5 копеек ; 1875 ; СПБ HI ; Ag ; AU ; 54 ; Продано в зале ; 13000 
 39 ; 5 копеек. (Петров - 3р.) ; 1878 ; СПБ HI ; Ag ; VF+ ; 58 ; legallegal ; 43723 
 40 ; 5 копеек ; 1908 ; СПБ ЭБ ; Ag ; AU ; 9 ; Продано в зале ; 1400 
 41 ; 10 грошей ; 1831 ; KG польское восстание 1830-1831 гг. ; Ag ; AU ; 78 ; Продано в зале ; 36000 
 42 ; 5 грошей ; 1840 ; MW Рус.-Пол. ; Ag ; AU/XF ; 19 ; Маша-растеряша ; 5634 
 43 ; 1 марка ; 1864 ; S Финляндия ; Ag ; VF-XF ; 15 ; нумизмат ; 12240 
 44 ; 1 марка ; 1892 ; L Финляндия ; Ag ; AU ; 55 ; Продано в зале ; 11000 
 45 ; 50 пенни ; 1908 ; L Финляндия ; Ag ; AU ; 10 ; Продано в зале ; 1800 
 46 ; 25 пенни ; 1873 ; S Финляндия ; Ag ; AU ; 26 ; Продано в зале ; 5000 
 47 ; 25 пенни ; 1875 ; S Финляндия ; Ag ; AU ; 24 ; Продано в зале ; 4000 
 48 ; 10 копеек ; 1777 ; КМ "Сибирь" ; Cu ; VF-XF ; 20 ; $$$ ; 10732 
 49 ; 10 копеек ; 1778 ; КМ "Сибирь" ; Cu ; VF-XF ; 18 ; ravs ; 9942 
 50 ; 10 копеек ; 1780 ; КМ "Сибирь" ; Cu ; VF-XF ; 55 ; Продано в зале ; 13500 
