 20 ; Рубль ; 1913 ; АГ На 300-летие Дома Романовых ; Ag ; AU ; 21 ; Продано в зале ; 12000 
 21 ; Полтина ; 1723 ;  ; Ag ; VF-XF ; 25 ; Продано в зале ; 64000 
 22 ; Полтина ; 1733 ;  ; Ag ; VF-XF ; 51 ; Продано в зале ; 27000 
 23 ; Полтина ; 1755 ; СПБ ЯI BS ; Ag ; VF-XF ; 28 ; Продано в зале ; 31000 
 24 ; Полтина ; 1846 ; MW ; Ag ; XF+ ; 65 ; Продано в зале ; 22000 
 25 ; Полтина ; 1854 ; СПБ HI ; Ag ; XF-/VF-XF ; 29 ; Продано в зале ; 7000 
 26 ; Полтина ; 1899 ; (ФЗ) АГ ; Ag ; AU ; 63 ; Продано в зале ; 105000 
 27 ; Полуполтинник (Петров-1,25р) ; 1775 ; ММД СА ; Ag ; XF ; 50 ; Продано в зале ; 27000 
 28 ; 25 копеек ; 1855 ; СПБ HI ; Ag ; AU ; 37 ; Продано в зале ; 11000 
 29 ; 25 копеек ; 1858 ; СПБ ФБ ; Ag ; AU ; 21 ; 222211 ; 4692 
 30 ; 25 копеек ; 1896 ; АГ ; Ag ; AU ; 22 ; Продано в зале ; 11000 
 31 ; 20 копеек ; 1772 ; СПБ TI ; Ag ; XF- ; 32 ; Продано в зале ; 18000 
 32 ; 20 копеек (Петров-1р) ; 1810 ; СПБ ФГ ; Ag ; XF ; 39 ; Продано в зале ; 16000 
 33 ; 20 копеек ; 1837 ; СПБ НГ ; Ag ; XF+ ; 16 ; Продано в зале ; 14000 
 34 ; 20 копеек ; 1839 ; СПБ НГ ; Ag ; XF+ ; 29 ; Продано в зале ; 3600 
 35 ; 20 копеек ; 1848 ; СПБ HI ; Ag ; AU/XF ; 16 ; 222211 ; 4206 
 36 ; 20 копеек (Ильин-6р) ; 1849 ; СПБ ПА ; Ag ; VF- ; 28 ; Продано в зале ; 34000 
 37 ; 20 копеек ; 1850 ; СПБ ПА ; Ag ; AU/XF ; 25 ; тюря ; 5349 
 38 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 29 ; Продано в зале ; 18000 
 39 ; 20 копеек ; 1860 ; СПБ ФБ ; Ag ; AU ; 35 ; Продано в зале ; 2300 
 40 ; 20 копеек ; 1861 ; СПБ ФБ ; Ag ; AU ; 23 ; ervin ; 2042 
 41 ; 20 копеек ; 1861 ; СПБ ; Ag ; AU ; 28 ; ervin ; 2444 
 42 ; 20 копеек ; 1862 ; СПБ МИ ; Ag ; AU ; 17 ; Продано в зале ; 3200 
 43 ; 20 копеек ; 1863 ; СПБ АБ ; Ag ; AU ; 23 ; Продано в зале ; 3400 
 44 ; 20 копеек ; 1864 ; СПБ НФ ; Ag ; AU ; 42 ; Продано в зале ; 3400 
 45 ; 20 копеек ; 1865 ; СПБ НФ ; Ag ; AU ; 50 ; букан ; 3060 
 46 ; 20 копеек ; 1876 ; СПБ HI ; Ag ; AU ; 48 ; 7777777 ; 3200 
 47 ; 15 копеек ; 1917 ; ВС ; Ag ; AU ; 7 ; Продано в зале ; 5700 
 48 ; Гривенник ; 1781 ; СПБ ; Ag ; AU/XF ; 17 ; Продано в зале ; 8000 
 49 ; 10 копеек ; 1804 ; СПБ ФГ ; Ag ; VF-XF ; 34 ; Продано в зале ; 23000 
 50 ; 10 копеек (Петров - 5р, Ильин - 4р.) ; 1810 ; СПБ ФГ ; Ag ; VF+ ; 12 ; Продано в зале ; 9000 
